STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
4,13,103205,4013103205,1032.05,Census Tract 1032.05,G5020,S,2635515,0,33.6042712,-111.9694857,1400000US04013103205,"Census Tract 1032.05, Maricopa County, Arizona",13,98088,4,2928,103205,2801,320.52934564506074
4,13,103206,4013103206,1032.06,Census Tract 1032.06,G5020,S,2573798,0,33.6042060,-111.9519100,1400000US04013103206,"Census Tract 1032.06, Maricopa County, Arizona",13,113889,4,2587,103206,2276,321.0484573607061
4,13,104501,4013104501,1045.01,Census Tract 1045.01,G5020,S,1227304,23667,33.5709186,-112.0944957,1400000US04013104501,"Census Tract 1045.01, Maricopa County, Arizona",13,25404,4,3872,104501,2671,323.30850347361496
4,13,104502,4013104502,1045.02,Census Tract 1045.02,G5020,S,1342092,0,33.5782693,-112.0905724,1400000US04013104502,"Census Tract 1045.02, Maricopa County, Arizona",13,26986,4,5691,104502,4893,324.19356607313216
4,13,107900,4013107900,1079,Census Tract 1079,G5020,S,7776244,4519,33.5121470,-111.9639086,1400000US04013107900,"Census Tract 1079, Maricopa County, Arizona",13,59159,4,3501,107900,2977,319.90992232316006
4,13,108000,4013108000,1080,Census Tract 1080,G5020,S,3793384,16550,33.4970552,-111.9596525,1400000US04013108000,"Census Tract 1080, Maricopa County, Arizona",13,192708,4,3242,108000,3134,318.84718015494093
4,13,116721,4013116721,1167.21,Census Tract 1167.21,G5020,S,2295744,0,33.3092109,-112.0136469,1400000US04013116721,"Census Tract 1167.21, Maricopa County, Arizona",13,105673,4,3614,116721,3150,321.4127017852364
4,13,116725,4013116725,1167.25,Census Tract 1167.25,G5020,S,4158254,0,33.2974010,-112.0469872,1400000US04013116725,"Census Tract 1167.25, Maricopa County, Arizona",13,72340,4,4904,116725,4312,320.9388030296579
4,13,116727,4013116727,1167.27,Census Tract 1167.27,G5020,S,4556247,0,33.2990220,-112.0736650,1400000US04013116727,"Census Tract 1167.27, Maricopa County, Arizona",13,146818,4,3786,116727,3152,322.84869186043323
4,13,116728,4013116728,1167.28,Census Tract 1167.28,G5020,S,5703864,6930,33.3119365,-112.0601268,1400000US04013116728,"Census Tract 1167.28, Maricopa County, Arizona",13,149602,4,4634,116728,3770,322.2945867560348
4,13,82010,4013082010,820.10,Census Tract 820.10,G5020,S,1297867,0,33.4870407,-112.2421267,1400000US04013082010,"Census Tract 820.10, Maricopa County, Arizona",13,34162,4,4546,82010,2560,324.571382412415
4,13,103207,4013103207,1032.07,Census Tract 1032.07,G5020,S,2420553,0,33.6044145,-111.9345066,1400000US04013103207,"Census Tract 1032.07, Maricopa County, Arizona",13,101806,4,2565,103207,2439,321.01058631021016
4,13,103208,4013103208,1032.08,Census Tract 1032.08,G5020,S,2777562,0,33.5904316,-111.9870920,1400000US04013103208,"Census Tract 1032.08, Maricopa County, Arizona",13,58789,4,4256,103208,3685,320.65930129407025
4,13,103209,4013103209,1032.09,Census Tract 1032.09,G5020,S,6477023,120914,33.5849736,-111.9621695,1400000US04013103209,"Census Tract 1032.09, Maricopa County, Arizona",13,93398,4,5051,103209,4666,319.94808816914815
4,13,116729,4013116729,1167.29,Census Tract 1167.29,G5020,S,3749384,0,33.3149004,-112.0267104,1400000US04013116729,"Census Tract 1167.29, Maricopa County, Arizona",13,146655,4,4291,116729,3495,321.3212304332941
4,13,103210,4013103210,1032.10,Census Tract 1032.10,G5020,S,2335894,0,33.6053327,-111.9874082,1400000US04013103210,"Census Tract 1032.10, Maricopa County, Arizona",13,45931,4,6824,103210,5682,322.18983679197567
4,13,103211,4013103211,1032.11,Census Tract 1032.11,G5020,S,2713638,0,33.6189983,-111.9869134,1400000US04013103211,"Census Tract 1032.11, Maricopa County, Arizona",13,85341,4,4035,103211,3686,322.0335583934055
4,13,103212,4013103212,1032.12,Census Tract 1032.12,G5020,S,2606852,0,33.6188319,-111.9691440,1400000US04013103212,"Census Tract 1032.12, Maricopa County, Arizona",13,101402,4,4280,103212,3969,320.96971415267626
4,13,103214,4013103214,1032.14,Census Tract 1032.14,G5020,S,2590325,7908,33.6186525,-111.9512025,1400000US04013103214,"Census Tract 1032.14, Maricopa County, Arizona",13,104196,4,4088,103214,3480,321.6947015866292
4,13,103215,4013103215,1032.15,Census Tract 1032.15,G5020,S,2710633,0,33.6334564,-111.9869239,1400000US04013103215,"Census Tract 1032.15, Maricopa County, Arizona",13,103750,4,3236,103215,2903,322.16808667933856
4,13,105101,4013105101,1051.01,Census Tract 1051.01,G5020,S,6209104,1791,33.5734281,-111.9970468,1400000US04013105101,"Census Tract 1051.01, Maricopa County, Arizona",13,115089,4,4378,105101,4049,321.39878600610217
4,13,105200,4013105200,1052,Census Tract 1052,G5020,S,4048348,10200,33.5658625,-112.0523785,1400000US04013105200,"Census Tract 1052, Maricopa County, Arizona",13,46761,4,6342,105200,5216,322.714797199316
4,13,105300,4013105300,1053,Census Tract 1053,G5020,S,2628242,25994,33.5585552,-112.0712786,1400000US04013105300,"Census Tract 1053, Maricopa County, Arizona",13,57667,4,5594,105300,5334,320.4603208428378
4,13,108100,4013108100,1081,Census Tract 1081,G5020,S,1452097,16185,33.5033702,-111.9805171,1400000US04013108100,"Census Tract 1081, Maricopa County, Arizona",13,104122,4,2126,108100,1739,319.37653010208095
4,13,110001,4013110001,1100.01,Census Tract 1100.01,G5020,S,1384430,9061,33.4868383,-112.1642623,1400000US04013110001,"Census Tract 1100.01, Maricopa County, Arizona",13,41086,4,4740,110001,3304,325.0558603026883
4,13,112301,4013112301,1123.01,Census Tract 1123.01,G5020,S,1309388,0,33.4696322,-112.1604808,1400000US04013112301,"Census Tract 1123.01, Maricopa County, Arizona",13,28471,4,5743,112301,3414,325.0568296004531
4,13,112402,4013112402,1124.02,Census Tract 1124.02,G5020,S,1299464,0,33.4696103,-112.1777424,1400000US04013112402,"Census Tract 1124.02, Maricopa County, Arizona",13,44597,4,5463,112402,2980,325.5049317100276
4,13,104600,4013104600,1046,Census Tract 1046,G5020,S,2617902,3388,33.5767665,-112.0729281,1400000US04013104600,"Census Tract 1046, Maricopa County, Arizona",13,44214,4,4390,104600,3502,323.055197983958
4,13,111203,4013111203,1112.03,Census Tract 1112.03,G5020,S,408181,0,33.4534134,-111.9746086,1400000US04013111203,"Census Tract 1112.03, Maricopa County, Arizona",13,31410,4,1642,111203,695,322.5551429945247
4,13,111204,4013111204,1112.04,Census Tract 1112.04,G5020,S,6566503,89237,33.4586576,-111.9551042,1400000US04013111204,"Census Tract 1112.04, Maricopa County, Arizona",13,43671,4,2372,111204,1580,323.26141033240265
4,13,111300,4013111300,1113,Census Tract 1113,G5020,S,2621017,0,33.4729842,-111.9868751,1400000US04013111300,"Census Tract 1113, Maricopa County, Arizona",13,53328,4,5972,111300,4174,321.5239793142286
4,13,111402,4013111402,1114.02,Census Tract 1114.02,G5020,S,1316507,0,33.4730668,-111.9998735,1400000US04013111402,"Census Tract 1114.02, Maricopa County, Arizona",13,36536,4,4600,111402,2675,322.401234855021
4,13,618300,4013618300,6183,Census Tract 6183,G5020,S,1413808,0,33.6433998,-112.1431656,1400000US04013618300,"Census Tract 6183, Maricopa County, Arizona",13,66691,4,3256,618300,2823,324.4166733909587
4,13,116605,4013116605,1166.05,Census Tract 1166.05,G5020,S,2581154,0,33.3848158,-112.1596188,1400000US04013116605,"Census Tract 1166.05, Maricopa County, Arizona",13,59975,4,6471,116605,2974,322.7000218115764
4,13,116606,4013116606,1166.06,Census Tract 1166.06,G5020,S,2577690,0,33.3848675,-112.1423292,1400000US04013116606,"Census Tract 1166.06, Maricopa County, Arizona",13,61306,4,7267,116606,4026,323.25552261577695
4,13,613000,4013613000,6130,Census Tract 6130,G5020,S,10032375,1855,33.7793097,-111.9569306,1400000US04013613000,"Census Tract 6130, Maricopa County, Arizona",13,126786,4,4590,613000,4355,321.31327363579635
4,13,619100,4013619100,6191,Census Tract 6191,G5020,S,326526,0,33.6439455,-112.0633646,1400000US04013619100,"Census Tract 6191, Maricopa County, Arizona",13,35801,4,3631,619100,2635,321.67089208296716
4,13,611300,4013611300,6113,Census Tract 6113,G5020,S,56135262,33839,33.7800563,-112.1502101,1400000US04013611300,"Census Tract 6113, Maricopa County, Arizona",13,66894,4,5423,611300,4707,326.0643605120987
4,13,117100,4013117100,1171,Census Tract 1171,G5020,S,1594700,10062,33.4991021,-112.0751245,1400000US04013117100,"Census Tract 1171, Maricopa County, Arizona",13,63607,4,2287,117100,1896,322.1542439868433
4,13,117300,4013117300,1173,Census Tract 1173,G5020,S,8090019,100686,33.4200630,-112.1144023,1400000US04013117300,"Census Tract 1173, Maricopa County, Arizona",13,17857,4,1265,117300,1118,323.82356915852364
4,13,116607,4013116607,1166.07,Census Tract 1166.07,G5020,S,2583291,722,33.3990267,-112.1233480,1400000US04013116607,"Census Tract 1166.07, Maricopa County, Arizona",13,62292,4,3015,116607,1589,323.65534505270165
4,13,116608,4013116608,1166.08,Census Tract 1166.08,G5020,S,6855599,604,33.3671923,-112.2025579,1400000US04013116608,"Census Tract 1166.08, Maricopa County, Arizona",13,48333,4,4364,116608,2692,321.97812778701086
4,13,116609,4013116609,1166.09,Census Tract 1166.09,G5020,S,7861095,0,33.3551974,-112.1771339,1400000US04013116609,"Census Tract 1166.09, Maricopa County, Arizona",13,87589,4,4814,116609,3205,321.2157668859454
4,13,116610,4013116610,1166.10,Census Tract 1166.10,G5020,S,5050417,103256,33.3687260,-112.1508815,1400000US04013116610,"Census Tract 1166.10, Maricopa County, Arizona",13,78375,4,5482,116610,3199,321.23965224516627
4,13,116611,4013116611,1166.11,Census Tract 1166.11,G5020,S,12657211,0,33.3438650,-112.1537874,1400000US04013116611,"Census Tract 1166.11, Maricopa County, Arizona",13,88281,4,3697,116611,2179,322.2432095028655
4,13,116612,4013116612,1166.12,Census Tract 1166.12,G5020,S,7769303,0,33.3704008,-112.1258061,1400000US04013116612,"Census Tract 1166.12, Maricopa County, Arizona",13,80547,4,5693,116612,2484,321.99792688654094
4,13,116613,4013116613,1166.13,Census Tract 1166.13,G5020,S,7727812,0,33.3746295,-112.1052606,1400000US04013116613,"Census Tract 1166.13, Maricopa County, Arizona",13,69918,4,7059,116613,4023,321.78890875753893
4,13,92720,4013092720,927.20,Census Tract 927.20,G5020,S,23746920,7662,33.5282486,-112.2763289,1400000US04013092720,"Census Tract 927.20, Maricopa County, Arizona",13,61885,4,5342,92720,4038,323.2672978102955
4,13,116732,4013116732,1167.32,Census Tract 1167.32,G5020,S,6728068,0,33.3543656,-112.1033073,1400000US04013116732,"Census Tract 1167.32, Maricopa County, Arizona",13,58854,4,4267,116732,3142,323.24570922413307
4,13,320100,4013320100,3201,Census Tract 3201,G5020,S,4891538,92933,33.4435312,-111.9429174,1400000US04013320100,"Census Tract 3201, Maricopa County, Arizona",13,50641,4,2972,320100,2419,322.60443781337045
4,13,612500,4013612500,6125,Census Tract 6125,G5020,S,6822789,0,33.7865315,-111.9835402,1400000US04013612500,"Census Tract 6125, Maricopa County, Arizona",13,109333,4,4404,612500,4072,320.82307604772984
4,13,614600,4013614600,6146,Census Tract 6146,G5020,S,3382352,0,33.6764140,-112.1236581,1400000US04013614600,"Census Tract 6146, Maricopa County, Arizona",13,52340,4,6316,614600,5096,322.897886702367
4,13,618400,4013618400,6184,Census Tract 6184,G5020,S,1488787,0,33.6510443,-112.1245354,1400000US04013618400,"Census Tract 6184, Maricopa County, Arizona",13,47302,4,3662,618400,2947,324.6617970443803
4,13,618900,4013618900,6189,Census Tract 6189,G5020,S,2571784,91,33.6465683,-112.0756239,1400000US04013618900,"Census Tract 6189, Maricopa County, Arizona",13,54139,4,6927,618900,5417,322.87033965090313
4,13,611700,4013611700,6117,Census Tract 6117,G5020,S,7559773,0,33.7051897,-112.1776261,1400000US04013611700,"Census Tract 6117, Maricopa County, Arizona",13,122917,4,6494,611700,5844,322.2827320933628
4,13,611800,4013611800,6118,Census Tract 6118,G5020,S,2577142,0,33.7055157,-112.1436291,1400000US04013611800,"Census Tract 6118, Maricopa County, Arizona",13,77992,4,6707,611800,6030,322.4663698764102
4,13,612600,4013612600,6126,Census Tract 6126,G5020,S,1327101,0,33.7643660,-111.9903161,1400000US04013612600,"Census Tract 6126, Maricopa County, Arizona",13,74615,4,2351,612600,2162,320.1888978994535
4,13,612700,4013612700,6127,Census Tract 6127,G5020,S,2288891,6787,33.7597212,-111.9796477,1400000US04013612700,"Census Tract 6127, Maricopa County, Arizona",13,100250,4,2307,612700,2186,319.03126479276125
4,13,612800,4013612800,6128,Census Tract 6128,G5020,S,2193739,0,33.7467964,-111.9875678,1400000US04013612800,"Census Tract 6128, Maricopa County, Arizona",13,98472,4,2106,612800,1911,320.57434374796117
4,13,613300,4013613300,6133,Census Tract 6133,G5020,S,37876889,10908,33.7193678,-111.9670813,1400000US04013613300,"Census Tract 6133, Maricopa County, Arizona",13,104915,4,7541,613300,6831,323.9564463420958
4,13,61011,4013061011,610.11,Census Tract 610.11,G5020,S,15629319,285194,33.5326284,-112.3282847,1400000US04013061011,"Census Tract 610.11, Maricopa County, Arizona",13,74016,4,7226,61011,4912,324.6229158546377
4,13,61013,4013061013,610.13,Census Tract 610.13,G5020,S,4578974,9845,33.5013470,-112.3261418,1400000US04013061013,"Census Tract 610.13, Maricopa County, Arizona",13,77120,4,6273,61013,4206,325.4101984328977
4,13,104301,4013104301,1043.01,Census Tract 1043.01,G5020,S,1486942,0,33.5891286,-112.1287875,1400000US04013104301,"Census Tract 1043.01, Maricopa County, Arizona",13,58862,4,3740,104301,3211,324.31344326066284
4,13,104302,4013104302,1043.02,Census Tract 1043.02,G5020,S,1000952,79804,33.5896579,-112.1208241,1400000US04013104302,"Census Tract 1043.02, Maricopa County, Arizona",13,30265,4,3473,104302,2641,321.86918393361583
4,13,106501,4013106501,1065.01,Census Tract 1065.01,G5020,S,1313676,0,33.5309985,-112.0606354,1400000US04013106501,"Census Tract 1065.01, Maricopa County, Arizona",13,55369,4,3296,106501,2746,320.9986249406751
4,13,110801,4013110801,1108.01,Census Tract 1108.01,G5020,S,1296654,0,33.4913915,-112.0215630,1400000US04013110801,"Census Tract 1108.01, Maricopa County, Arizona",13,37552,4,5710,110801,3667,321.6053955434819
