STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
42,3,270400,42003270400,2704,Census Tract 2704,G5020,S,396816,0,40.4653995,-80.0285113,1400000US42003270400,"Census Tract 2704, Allegheny County, Pennsylvania",3,48525,42,1029,270400,550,302.6946119298866
42,3,270800,42003270800,2708,Census Tract 2708,G5020,S,1270794,0,40.4856961,-80.0319964,1400000US42003270800,"Census Tract 2708, Allegheny County, Pennsylvania",3,64803,42,2462,270800,1875,301.5370853111636
42,3,271500,42003271500,2715,Census Tract 2715,G5020,S,1393801,0,40.4730210,-80.0282218,1400000US42003271500,"Census Tract 2715, Allegheny County, Pennsylvania",3,43578,42,2723,271500,1345,301.30563875128956
42,3,281400,42003281400,2814,Census Tract 2814,G5020,S,1328964,0,40.4471360,-80.0519580,1400000US42003281400,"Census Tract 2814, Allegheny County, Pennsylvania",3,32969,42,2720,281400,1367,300.62143687451726
42,3,281500,42003281500,2815,Census Tract 2815,G5020,S,617106,0,40.4404623,-80.0539288,1400000US42003281500,"Census Tract 2815, Allegheny County, Pennsylvania",3,46818,42,1473,281500,1227,301.83961211342154
42,3,290200,42003290200,2902,Census Tract 2902,G5020,S,1453893,0,40.3993660,-79.9838310,1400000US42003290200,"Census Tract 2902, Allegheny County, Pennsylvania",3,40139,42,4185,290200,3351,301.8972605464098
42,3,300100,42003300100,3001,Census Tract 3001,G5020,S,775644,0,40.4135548,-79.9930075,1400000US42003300100,"Census Tract 3001, Allegheny County, Pennsylvania",3,36210,42,3365,300100,1357,303.2362237505481
42,3,310300,42003310300,3103,Census Tract 3103,G5020,S,2046497,0,40.3879253,-79.9225468,1400000US42003310300,"Census Tract 3103, Allegheny County, Pennsylvania",3,71058,42,930,310300,761,297.5808578462528
42,3,320600,42003320600,3206,Census Tract 3206,G5020,S,1479651,0,40.3946674,-80.0050642,1400000US42003320600,"Census Tract 3206, Allegheny County, Pennsylvania",3,52217,42,2259,320600,1979,300.6342505674595
42,3,261500,42003261500,2615,Census Tract 2615,G5020,S,1135926,0,40.4709542,-80.0163501,1400000US42003261500,"Census Tract 2615, Allegheny County, Pennsylvania",3,-666666666,42,1533,261500,444,300.28896758959576
42,3,262000,42003262000,2620,Census Tract 2620,G5020,S,1645935,0,40.4671766,-79.9952185,1400000US42003262000,"Census Tract 2620, Allegheny County, Pennsylvania",3,29167,42,2635,262000,1706,299.76447419411227
