STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
48,85,31621,48085031621,316.21,Census Tract 316.21,G5020,S,4561416,398,33.0186833,-96.7813709,1400000US48085031621,"Census Tract 316.21, Collin County, Texas",85,77969,48,5948,31621,4373,307.05333554368
48,85,31622,48085031622,316.22,Census Tract 316.22,G5020,S,3862743,0,33.0339193,-96.7204964,1400000US48085031622,"Census Tract 316.22, Collin County, Texas",85,99972,48,5911,31622,4150,307.1682842102142
48,85,31623,48085031623,316.23,Census Tract 316.23,G5020,S,1827605,0,33.0230562,-96.7211515,1400000US48085031623,"Census Tract 316.23, Collin County, Texas",85,61036,48,2687,31623,2162,307.2124675372365
48,85,31624,48085031624,316.24,Census Tract 316.24,G5020,S,1372395,0,33.0228906,-96.7599660,1400000US48085031624,"Census Tract 316.24, Collin County, Texas",85,50459,48,3970,31624,2450,307.2787137276289
48,85,31626,48085031626,316.26,Census Tract 316.26,G5020,S,1285797,0,33.0230459,-96.7423723,1400000US48085031626,"Census Tract 316.26, Collin County, Texas",85,111641,48,2452,31626,2043,307.05112397160804
48,85,31627,48085031627,316.27,Census Tract 316.27,G5020,S,3004205,1795,33.0349760,-96.7422925,1400000US48085031627,"Census Tract 316.27, Collin County, Texas",85,82974,48,5050,31627,4035,306.74112236745486
48,85,31628,48085031628,316.28,Census Tract 316.28,G5020,S,1872301,0,33.0528261,-96.7219504,1400000US48085031628,"Census Tract 316.28, Collin County, Texas",85,72610,48,3704,31628,3276,306.6679398781288
48,85,31630,48085031630,316.30,Census Tract 316.30,G5020,S,1963051,0,33.0791798,-96.7300522,1400000US48085031630,"Census Tract 316.30, Collin County, Texas",85,115594,48,4398,31630,3213,306.43924887580533
48,85,31611,48085031611,316.11,Census Tract 316.11,G5020,S,2523303,0,33.0486352,-96.7051228,1400000US48085031611,"Census Tract 316.11, Collin County, Texas",85,82292,48,4126,31611,2968,307.2257195388451
48,85,31612,48085031612,316.12,Census Tract 316.12,G5020,S,2884380,0,33.0490717,-96.7610943,1400000US48085031612,"Census Tract 316.12, Collin County, Texas",85,102342,48,6420,31612,4622,306.6879029388795
