STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
41,5,20900,41005020900,209,Census Tract 209,G5020,S,1763510,0,45.4550889,-122.6277083,1400000US41005020900,"Census Tract 209, Clackamas County, Oregon",5,60234,41,3940,20900,3514,301.5498020283094
41,5,21000,41005021000,210,Census Tract 210,G5020,S,2458552,247,45.4533417,-122.6109135,1400000US41005021000,"Census Tract 210, Clackamas County, Oregon",5,65478,41,4738,21000,4345,302.67857845896077
41,51,802,41051000802,8.02,Census Tract 8.02,G5020,S,1331382,0,45.4938318,-122.6119783,1400000US41051000802,"Census Tract 8.02, Multnomah County, Oregon",51,59583,41,4709,802,4181,304.1223207122529
41,51,10200,41051010200,102,Census Tract 102,G5020,S,27658255,14923194,45.5773825,-122.5014590,1400000US41051010200,"Census Tract 102, Multnomah County, Oregon",51,58866,41,6251,10200,4878,302.6052557836815
41,51,2401,41051002401,24.01,Census Tract 24.01,G5020,S,842797,0,45.5437065,-122.6525587,1400000US41051002401,"Census Tract 24.01, Multnomah County, Oregon",51,117125,41,2781,2401,2517,301.1132006679184
41,51,2402,41051002402,24.02,Census Tract 24.02,G5020,S,878222,0,45.5342042,-122.6519588,1400000US41051002402,"Census Tract 24.02, Multnomah County, Oregon",51,52522,41,3621,2402,2917,303.0148407754615
41,51,2501,41051002501,25.01,Census Tract 25.01,G5020,S,1338433,0,45.5435963,-122.6389909,1400000US41051002501,"Census Tract 25.01, Multnomah County, Oregon",51,125129,41,4672,2501,4150,301.7600122576686
41,51,2502,41051002502,25.02,Census Tract 25.02,G5020,S,1098243,0,45.5349762,-122.6391678,1400000US41051002502,"Census Tract 25.02, Multnomah County, Oregon",51,65317,41,4602,2502,3992,302.66139740515337
41,51,6502,41051006502,65.02,Census Tract 65.02,G5020,S,1906704,0,45.4617392,-122.7136466,1400000US41051006502,"Census Tract 65.02, Multnomah County, Oregon",51,65938,41,4438,6502,3751,301.2001835986029
41,51,6601,41051006601,66.01,Census Tract 66.01,G5020,S,1575380,0,45.4719194,-122.7334213,1400000US41051006601,"Census Tract 66.01, Multnomah County, Oregon",51,102200,41,2557,6601,2438,300.1381775170276
41,51,6602,41051006602,66.02,Census Tract 66.02,G5020,S,2534565,0,45.4710766,-122.7072840,1400000US41051006602,"Census Tract 66.02, Multnomah County, Oregon",51,68156,41,5667,6602,5196,301.44340284111416
41,51,6701,41051006701,67.01,Census Tract 67.01,G5020,S,1850323,2883,45.4809184,-122.7314615,1400000US41051006701,"Census Tract 67.01, Multnomah County, Oregon",51,81071,41,3295,6701,2872,300.89488711140274
41,51,6702,41051006702,67.02,Census Tract 67.02,G5020,S,1386620,0,45.4797135,-122.7133389,1400000US41051006702,"Census Tract 67.02, Multnomah County, Oregon",51,67589,41,3505,6702,2883,300.4057285390361
41,51,6801,41051006801,68.01,Census Tract 68.01,G5020,S,1421539,0,45.4926832,-122.7354809,1400000US41051006801,"Census Tract 68.01, Multnomah County, Oregon",51,69773,41,2411,6801,2062,300.008275502058
