STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
37,183,52301,37183052301,523.01,Census Tract 523.01,G5020,S,4014315,375579,35.7571349,-78.7042883,1400000US37183052301,"Census Tract 523.01, Wake County, North Carolina",183,43320,37,6386,52301,4307,302.359762709895
37,183,54114,37183054114,541.14,Census Tract 541.14,G5020,S,12563543,0,35.7722071,-78.5212519,1400000US37183054114,"Census Tract 541.14, Wake County, North Carolina",183,78417,37,5706,54114,3281,299.5765947353526
37,183,51600,37183051600,516,Census Tract 516,G5020,S,3945709,0,35.8069390,-78.6593515,1400000US37183051600,"Census Tract 516, Wake County, North Carolina",183,131806,37,4865,51600,4758,303.548220380827
37,183,50500,37183050500,505,Census Tract 505,G5020,S,3371824,0,35.7972616,-78.6203634,1400000US37183050500,"Census Tract 505, Wake County, North Carolina",183,54167,37,3887,50500,3049,303.8753083773403
37,183,53716,37183053716,537.16,Census Tract 537.16,G5020,S,3192919,62880,35.8610519,-78.6499927,1400000US37183053716,"Census Tract 537.16, Wake County, North Carolina",183,51901,37,3598,53716,2261,302.64650520388733
37,183,52602,37183052602,526.02,Census Tract 526.02,G5020,S,3394110,0,35.8439384,-78.6343311,1400000US37183052602,"Census Tract 526.02, Wake County, North Carolina",183,72981,37,4579,52602,3798,303.20657703774225
37,183,54104,37183054104,541.04,Census Tract 541.04,G5020,S,11645893,0,35.8507971,-78.5457709,1400000US37183054104,"Census Tract 541.04, Wake County, North Carolina",183,63689,37,11831,54104,4690,303.88438178481186
37,183,52404,37183052404,524.04,Census Tract 524.04,G5020,S,3192568,88971,35.7714479,-78.7048399,1400000US37183052404,"Census Tract 524.04, Wake County, North Carolina",183,65500,37,4462,52404,3259,302.3919114123857
37,183,52302,37183052302,523.02,Census Tract 523.02,G5020,S,9582430,281739,35.7623237,-78.6761200,1400000US37183052302,"Census Tract 523.02, Wake County, North Carolina",183,48498,37,8971,52302,5650,302.90514238733334
37,183,51501,37183051501,515.01,Census Tract 515.01,G5020,S,3841019,6604,35.8229254,-78.6749065,1400000US37183051501,"Census Tract 515.01, Wake County, North Carolina",183,118750,37,3390,51501,3113,302.841106246227
37,183,52705,37183052705,527.05,Census Tract 527.05,G5020,S,4596048,37299,35.8261154,-78.5989928,1400000US37183052705,"Census Tract 527.05, Wake County, North Carolina",183,54384,37,4712,52705,2574,303.7958875977766
37,183,51800,37183051800,518,Census Tract 518,G5020,S,3775151,0,35.8088276,-78.6307656,1400000US37183051800,"Census Tract 518, Wake County, North Carolina",183,86341,37,4655,51800,4349,304.9121667777757
37,183,52704,37183052704,527.04,Census Tract 527.04,G5020,S,2922352,30951,35.8442335,-78.5944860,1400000US37183052704,"Census Tract 527.04, Wake County, North Carolina",183,37170,37,7028,52704,1847,304.99537222348886
37,183,52101,37183052101,521.01,Census Tract 521.01,G5020,S,7571389,17120,35.7439038,-78.6210255,1400000US37183052101,"Census Tract 521.01, Wake County, North Carolina",183,35056,37,7903,52101,789,303.158671062144
37,183,52701,37183052701,527.01,Census Tract 527.01,G5020,S,6818010,10896,35.8339214,-78.6206175,1400000US37183052701,"Census Tract 527.01, Wake County, North Carolina",183,55226,37,6301,52701,3623,305.08750802666725
37,183,53709,37183053709,537.09,Census Tract 537.09,G5020,S,6850595,60523,35.8679805,-78.7296365,1400000US37183053709,"Census Tract 537.09, Wake County, North Carolina",183,65487,37,7141,53709,4732,303.79134772321555
37,183,53726,37183053726,537.26,Census Tract 537.26,G5020,S,2285684,23276,35.8663491,-78.7091844,1400000US37183053726,"Census Tract 537.26, Wake County, North Carolina",183,55046,37,3048,53726,1772,304.1426941870494
37,183,52506,37183052506,525.06,Census Tract 525.06,G5020,S,2895899,0,35.8545202,-78.6899932,1400000US37183052506,"Census Tract 525.06, Wake County, North Carolina",183,78500,37,2695,52506,2249,302.6419226228504
37,183,53721,37183053721,537.21,Census Tract 537.21,G5020,S,11982424,17047,35.9203025,-78.7151510,1400000US37183053721,"Census Tract 537.21, Wake County, North Carolina",183,144464,37,3657,53721,3252,302.3609110238876
37,183,53719,37183053719,537.19,Census Tract 537.19,G5020,S,2011413,0,35.9255422,-78.7475854,1400000US37183053719,"Census Tract 537.19, Wake County, North Carolina",183,118659,37,4099,53719,3657,303.96147884322517
37,183,53722,37183053722,537.22,Census Tract 537.22,G5020,S,3128318,22325,35.8923677,-78.6704743,1400000US37183053722,"Census Tract 537.22, Wake County, North Carolina",183,70966,37,4607,53722,4170,303.14383923091526
