STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
32,31,2500,32031002500,25,Census Tract 25,G5020,S,4980012,19955,39.5497579,-119.8345979,1400000US32031002500,"Census Tract 25, Washoe County, Nevada",31,60259,32,4950,2500,4246,315.88678251356095
32,31,1701,32031001701,17.01,Census Tract 17.01,G5020,S,1303972,0,39.5517399,-119.7932869,1400000US32031001701,"Census Tract 17.01, Washoe County, Nevada",31,30089,32,4050,1701,2265,316.77932383190387
32,31,1008,32031001008,10.08,Census Tract 10.08,G5020,S,609866,0,39.4932761,-119.8048904,1400000US32031001008,"Census Tract 10.08, Washoe County, Nevada",31,27229,32,4456,1008,2402,315.60316851539466
32,31,2208,32031002208,22.08,Census Tract 22.08,G5020,S,3245610,0,39.4326621,-119.7546505,1400000US32031002208,"Census Tract 22.08, Washoe County, Nevada",31,92188,32,2927,2208,2342,313.2093174956412
32,31,1010,32031001010,10.10,Census Tract 10.10,G5020,S,5602216,0,39.4010974,-119.7695426,1400000US32031001010,"Census Tract 10.10, Washoe County, Nevada",31,93125,32,2873,1010,2682,315.91366421421895
32,31,201,32031000201,2.01,Census Tract 2.01,G5020,S,1075443,0,39.5094801,-119.7970919,1400000US32031000201,"Census Tract 2.01, Washoe County, Nevada",31,27739,32,3271,201,2242,316.4378346496135
32,31,400,32031000400,4,Census Tract 4,G5020,S,3038402,0,39.5138671,-119.8265904,1400000US32031000400,"Census Tract 4, Washoe County, Nevada",31,63836,32,5309,400,5067,312.25031083430287
32,31,980000,32031980000,9800,Census Tract 9800,G5020,S,10301205,0,39.5028240,-119.7652469,1400000US32031980000,"Census Tract 9800, Washoe County, Nevada",31,-666666666,32,93,980000,72,316.785487529436
32,31,2211,32031002211,22.11,Census Tract 22.11,G5020,S,1912952,0,39.4931725,-119.7885978,1400000US32031002211,"Census Tract 22.11, Washoe County, Nevada",31,33333,32,3852,2211,3109,316.3038873437114
32,31,2107,32031002107,21.07,Census Tract 21.07,G5020,S,2374870,127559,39.5190407,-119.7835119,1400000US32031002107,"Census Tract 21.07, Washoe County, Nevada",31,33750,32,1906,2107,1210,317.0707702226917
32,31,1201,32031001201,12.01,Census Tract 12.01,G5020,S,4599286,0,39.5143873,-119.8710916,1400000US32031001201,"Census Tract 12.01, Washoe County, Nevada",31,43110,32,2542,1201,2149,316.1388492716561
32,31,2212,32031002212,22.12,Census Tract 22.12,G5020,S,1022504,0,39.4888939,-119.7798268,1400000US32031002212,"Census Tract 22.12, Washoe County, Nevada",31,28604,32,4910,2212,3310,315.57415282862786
32,31,2210,32031002210,22.10,Census Tract 22.10,G5020,S,33014342,0,39.4167492,-119.6898853,1400000US32031002210,"Census Tract 22.10, Washoe County, Nevada",31,102250,32,2738,2210,2359,315.63632173965146
32,31,2617,32031002617,26.17,Census Tract 26.17,G5020,S,10449576,0,39.5862498,-119.8180511,1400000US32031002617,"Census Tract 26.17, Washoe County, Nevada",31,56866,32,6886,2617,5038,316.38839240998743
32,31,3501,32031003501,35.01,Census Tract 35.01,G5020,S,13295841625,78564227,40.8936359,-119.6423719,1400000US32031003501,"Census Tract 35.01, Washoe County, Nevada",31,74000,32,3778,3501,2972,318.29651670983003
32,31,1104,32031001104,11.04,Census Tract 11.04,G5020,S,3995320,0,39.4926319,-119.8353409,1400000US32031001104,"Census Tract 11.04, Washoe County, Nevada",31,98908,32,4729,1104,4320,312.4880605174299
32,31,2603,32031002603,26.03,Census Tract 26.03,G5020,S,15301556,1973899,39.6659637,-119.9140487,1400000US32031002603,"Census Tract 26.03, Washoe County, Nevada",31,89022,32,1651,2603,1518,306.89068213255257
32,31,2103,32031002103,21.03,Census Tract 21.03,G5020,S,23639141,14478,39.4841063,-119.7065137,1400000US32031002103,"Census Tract 21.03, Washoe County, Nevada",31,70451,32,2670,2103,2278,316.5263741550569
32,31,2104,32031002104,21.04,Census Tract 21.04,G5020,S,7812204,5341,39.4790144,-119.7330503,1400000US32031002104,"Census Tract 21.04, Washoe County, Nevada",31,66719,32,3173,2104,2756,314.1531119913675
32,31,1105,32031001105,11.05,Census Tract 11.05,G5020,S,4160140,0,39.4979034,-119.8509194,1400000US32031001105,"Census Tract 11.05, Washoe County, Nevada",31,104176,32,3838,1105,3560,312.14616115351856
32,31,1103,32031001103,11.03,Census Tract 11.03,G5020,S,11935468,36610,39.4892616,-119.8718506,1400000US32031001103,"Census Tract 11.03, Washoe County, Nevada",31,120326,32,5240,1103,4638,311.39128517186356
32,31,3202,32031003202,32.02,Census Tract 32.02,G5020,S,139043657,15487402,39.3012900,-119.7369731,1400000US32031003202,"Census Tract 32.02, Washoe County, Nevada",31,70809,32,5759,3202,5435,313.5674379342702
32,31,300,32031000300,3,Census Tract 3,G5020,S,1519771,0,39.5124792,-119.8118031,1400000US32031000300,"Census Tract 3, Washoe County, Nevada",31,36361,32,3596,300,3254,315.1610454784794
32,31,700,32031000700,7,Census Tract 7,G5020,S,2275979,0,39.5214439,-119.7961122,1400000US32031000700,"Census Tract 7, Washoe County, Nevada",31,35476,32,5212,700,3592,316.43989435646324
32,31,900,32031000900,9,Census Tract 9,G5020,S,1197262,0,39.5007661,-119.7949111,1400000US32031000900,"Census Tract 9, Washoe County, Nevada",31,27420,32,4604,900,3484,315.97051193534577
32,31,1005,32031001005,10.05,Census Tract 10.05,G5020,S,2476147,4238,39.4847888,-119.8019279,1400000US32031001005,"Census Tract 10.05, Washoe County, Nevada",31,45878,32,2797,1005,2276,314.88632999126474
32,31,1101,32031001101,11.01,Census Tract 11.01,G5020,S,1612007,0,39.5120278,-119.8423780,1400000US32031001101,"Census Tract 11.01, Washoe County, Nevada",31,70988,32,2895,1101,2645,312.8523497573699
32,31,1300,32031001300,13,Census Tract 13,G5020,S,1588802,0,39.5325981,-119.8397793,1400000US32031001300,"Census Tract 13, Washoe County, Nevada",31,55898,32,3622,1300,3175,315.4549164103616
32,31,1400,32031001400,14,Census Tract 14,G5020,S,997967,0,39.5358477,-119.8245448,1400000US32031001400,"Census Tract 14, Washoe County, Nevada",31,36094,32,3283,1400,2469,314.4376803952044
32,31,2105,32031002105,21.05,Census Tract 21.05,G5020,S,1611099,0,39.4887679,-119.7429728,1400000US32031002105,"Census Tract 21.05, Washoe County, Nevada",31,58194,32,5010,2105,4244,313.23568256273836
32,31,2106,32031002106,21.06,Census Tract 21.06,G5020,S,1190215,0,39.4839436,-119.7547749,1400000US32031002106,"Census Tract 21.06, Washoe County, Nevada",31,59856,32,3565,2106,2608,314.86445370834326
32,31,1009,32031001009,10.09,Census Tract 10.09,G5020,S,764258,80078,39.4979760,-119.8050700,1400000US32031001009,"Census Tract 10.09, Washoe County, Nevada",31,31429,32,2920,1009,2168,315.8350720655295
32,31,2204,32031002204,22.04,Census Tract 22.04,G5020,S,4040248,0,39.4725159,-119.7773819,1400000US32031002204,"Census Tract 22.04, Washoe County, Nevada",31,40098,32,5264,2204,3124,315.56378858614914
32,31,2401,32031002401,24.01,Census Tract 24.01,G5020,S,2358005,53792,39.5446584,-119.8532148,1400000US32031002401,"Census Tract 24.01, Washoe County, Nevada",31,74615,32,3584,2401,2887,316.54901463078517
32,31,2406,32031002406,24.06,Census Tract 24.06,G5020,S,2207162,0,39.5329462,-119.8559576,1400000US32031002406,"Census Tract 24.06, Washoe County, Nevada",31,49767,32,5278,2406,4157,315.70156860503886
32,31,1014,32031001014,10.14,Census Tract 10.14,G5020,S,7564263,163229,39.4711363,-119.8389090,1400000US32031001014,"Census Tract 10.14, Washoe County, Nevada",31,77195,32,2323,1014,2118,315.3687939006931
32,31,980200,32031980200,9802,Census Tract 9802,G5020,S,70348514,0,39.5919080,-119.9235145,1400000US32031980200,"Census Tract 9802, Washoe County, Nevada",31,-666666666,32,0,980200,0,313.1375781801312
32,31,2704,32031002704,27.04,Census Tract 27.04,G5020,S,5411157,0,39.5758966,-119.7692840,1400000US32031002704,"Census Tract 27.04, Washoe County, Nevada",31,42194,32,4932,2704,3277,315.58037099580775
32,31,101,32031000101,1.01,Census Tract 1.01,G5020,S,1427477,0,39.5274038,-119.8199889,1400000US32031000101,"Census Tract 1.01, Washoe County, Nevada",31,27213,32,3123,101,2313,315.5057342551
32,31,2618,32031002618,26.18,Census Tract 26.18,G5020,S,74640895,213306,39.6793695,-119.8380025,1400000US32031002618,"Census Tract 26.18, Washoe County, Nevada",31,69495,32,5674,2618,5274,318.13486056238423
32,31,1802,32031001802,18.02,Census Tract 18.02,G5020,S,876202,43436,39.5413776,-119.7806038,1400000US32031001802,"Census Tract 18.02, Washoe County, Nevada",31,27438,32,3183,1802,2156,315.75022452217326
32,31,102,32031000102,1.02,Census Tract 1.02,G5020,S,2495518,0,39.5322639,-119.7996237,1400000US32031000102,"Census Tract 1.02, Washoe County, Nevada",31,18539,32,2755,102,2103,316.3389323481973
32,31,202,32031000202,2.02,Census Tract 2.02,G5020,S,826399,0,39.5210695,-119.8059094,1400000US32031000202,"Census Tract 2.02, Washoe County, Nevada",31,25607,32,2928,202,2501,316.5551886585188
32,31,1502,32031001502,15.02,Census Tract 15.02,G5020,S,3061469,0,39.5435975,-119.8102902,1400000US32031001502,"Census Tract 15.02, Washoe County, Nevada",31,25888,32,6482,1502,4836,314.8800799851125
32,31,1202,32031001202,12.02,Census Tract 12.02,G5020,S,2073472,0,39.5237926,-119.8439925,1400000US32031001202,"Census Tract 12.02, Washoe County, Nevada",31,36611,32,5119,1202,3498,315.41653117993195
32,31,1702,32031001702,17.02,Census Tract 17.02,G5020,S,2565911,0,39.5567225,-119.7839784,1400000US32031001702,"Census Tract 17.02, Washoe County, Nevada",31,45977,32,5537,1702,3744,317.1076701798672
32,31,1011,32031001011,10.11,Census Tract 10.11,G5020,S,7493424,0,39.4182357,-119.7741462,1400000US32031001011,"Census Tract 10.11, Washoe County, Nevada",31,125577,32,3659,1011,3402,315.61974613525354
32,31,1501,32031001501,15.01,Census Tract 15.01,G5020,S,3678260,0,39.5574664,-119.8110185,1400000US32031001501,"Census Tract 15.01, Washoe County, Nevada",31,50171,32,4709,1501,3672,317.0810212004861
32,31,1801,32031001801,18.01,Census Tract 18.01,G5020,S,888556,0,39.5410724,-119.7932928,1400000US32031001801,"Census Tract 18.01, Washoe County, Nevada",31,29969,32,3731,1801,1642,316.81732890475075
32,31,2614,32031002614,26.14,Census Tract 26.14,G5020,S,2401739,0,39.6208529,-119.8765065,1400000US32031002614,"Census Tract 26.14, Washoe County, Nevada",31,49095,32,3896,2614,2762,315.5534235553674
32,31,2611,32031002611,26.11,Census Tract 26.11,G5020,S,9447524,3321616,39.6499239,-119.8427657,1400000US32031002611,"Census Tract 26.11, Washoe County, Nevada",31,58833,32,6283,2611,4588,314.4376803952044
32,31,2207,32031002207,22.07,Census Tract 22.07,G5020,S,5431081,0,39.4194488,-119.7417188,1400000US32031002207,"Census Tract 22.07, Washoe County, Nevada",31,97969,32,5255,2207,4103,314.132164111505
32,31,2205,32031002205,22.05,Census Tract 22.05,G5020,S,4714360,0,39.4555732,-119.7659292,1400000US32031002205,"Census Tract 22.05, Washoe County, Nevada",31,43770,32,4786,2205,4032,314.9154928759424
32,31,2612,32031002612,26.12,Census Tract 26.12,G5020,S,35987693,4519534,39.6483930,-119.9652218,1400000US32031002612,"Census Tract 26.12, Washoe County, Nevada",31,68170,32,3828,2612,3387,314.7925496088848
