STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
51,760,10402,51760010402,104.02,Census Tract 104.02,G5020,S,2206821,0,37.5786974,-77.4519326,1400000US51760010402,"Census Tract 104.02, Richmond city, Virginia",760,58883,51,3586,10402,2039,303.51637379692716
51,760,10401,51760010401,104.01,Census Tract 104.01,G5020,S,1384207,0,37.5880853,-77.4535483,1400000US51760010401,"Census Tract 104.01, Richmond city, Virginia",760,50904,51,2954,10401,1798,304.16645900211074
51,760,70602,51760070602,706.02,Census Tract 706.02,G5020,S,2111513,0,37.4979952,-77.4768075,1400000US51760070602,"Census Tract 706.02, Richmond city, Virginia",760,39405,51,2751,70602,658,303.53229811880306
51,760,10900,51760010900,109,Census Tract 109,G5020,S,1881100,0,37.5634156,-77.4180815,1400000US51760010900,"Census Tract 109, Richmond city, Virginia",760,29769,51,3236,10900,284,303.7255007576738
51,760,41300,51760041300,413,Census Tract 413,G5020,S,2610167,611067,37.5353594,-77.4604005,1400000US51760041300,"Census Tract 413, Richmond city, Virginia",760,31219,51,2992,41300,925,303.0468176458953
51,760,40800,51760040800,408,Census Tract 408,G5020,S,568882,0,37.5562421,-77.4855501,1400000US51760040800,"Census Tract 408, Richmond city, Virginia",760,61420,51,1534,40800,1388,305.942696100315
51,760,40900,51760040900,409,Census Tract 409,G5020,S,669989,0,37.5550333,-77.4781221,1400000US51760040900,"Census Tract 409, Richmond city, Virginia",760,56144,51,2436,40900,1894,304.99312415797084
51,760,41000,51760041000,410,Census Tract 410,G5020,S,485203,0,37.5533250,-77.4679805,1400000US51760041000,"Census Tract 410, Richmond city, Virginia",760,75739,51,2794,41000,2497,304.4343462567845
51,760,41100,51760041100,411,Census Tract 411,G5020,S,874022,0,37.5486026,-77.4666919,1400000US51760041100,"Census Tract 411, Richmond city, Virginia",760,55653,51,3862,41100,3077,306.65684792677257
51,760,10500,51760010500,105,Census Tract 105,G5020,S,800399,0,37.5797950,-77.4382839,1400000US51760010500,"Census Tract 105, Richmond city, Virginia",760,43810,51,1575,10500,261,304.06797503630406
51,760,20400,51760020400,204,Census Tract 204,G5020,S,1754085,0,37.5463553,-77.4206783,1400000US51760020400,"Census Tract 204, Richmond city, Virginia",760,13906,51,4798,20400,281,304.83340773484446
51,760,60700,51760060700,607,Census Tract 607,G5020,S,7284079,527187,37.5086423,-77.4341013,1400000US51760060700,"Census Tract 607, Richmond city, Virginia",760,24639,51,5822,60700,563,303.0182672678163
51,760,40200,51760040200,402,Census Tract 402,G5020,S,4053094,0,37.5652288,-77.4621080,1400000US51760040200,"Census Tract 402, Richmond city, Virginia",760,38036,51,4219,40200,2217,308.68601628180744
51,760,40600,51760040600,406,Census Tract 406,G5020,S,301461,0,37.5617518,-77.4740459,1400000US51760040600,"Census Tract 406, Richmond city, Virginia",760,48750,51,1749,40600,1428,305.5986367080573
51,760,20700,51760020700,207,Census Tract 207,G5020,S,490304,0,37.5369016,-77.4113357,1400000US51760020700,"Census Tract 207, Richmond city, Virginia",760,21875,51,1346,20700,245,306.46147004688765
51,760,10300,51760010300,103,Census Tract 103,G5020,S,1238760,4723,37.5976576,-77.4445972,1400000US51760010300,"Census Tract 103, Richmond city, Virginia",760,21875,51,1666,10300,146,305.1043547751306
51,760,60500,51760060500,605,Census Tract 605,G5020,S,3829297,493451,37.5195829,-77.4740349,1400000US51760060500,"Census Tract 605, Richmond city, Virginia",760,42039,51,6000,60500,3320,301.18163250337966
51,760,70801,51760070801,708.01,Census Tract 708.01,G5020,S,6647958,0,37.4755759,-77.4947204,1400000US51760070801,"Census Tract 708.01, Richmond city, Virginia",760,41548,51,7869,70801,1778,300.9738972826546
51,760,11100,51760011100,111,Census Tract 111,G5020,S,2505516,0,37.5621338,-77.4442241,1400000US51760011100,"Census Tract 111, Richmond city, Virginia",760,45466,51,3142,11100,806,306.34921308950817
51,760,10600,51760010600,106,Census Tract 106,G5020,S,897572,0,37.5719625,-77.4418591,1400000US51760010600,"Census Tract 106, Richmond city, Virginia",760,51944,51,2256,10600,550,304.86266690950913
51,760,10700,51760010700,107,Census Tract 107,G5020,S,1049235,0,37.5743740,-77.4299723,1400000US51760010700,"Census Tract 107, Richmond city, Virginia",760,33864,51,2438,10700,243,304.6667243278356
