STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,65,42212,6065042212,422.12,Census Tract 422.12,G5020,S,3833888,0,33.9488684,-117.2850505,1400000US06065042212,"Census Tract 422.12, Riverside County, California",65,66302,6,6528,42212,3130,314.5640788851116
6,65,30300,6065030300,303,Census Tract 303,G5020,S,2481817,0,33.9798418,-117.3763659,1400000US06065030300,"Census Tract 303, Riverside County, California",65,28929,6,4286,30300,2504,312.2779286493837
6,65,30400,6065030400,304,Census Tract 304,G5020,S,2739699,0,33.9711743,-117.3677234,1400000US06065030400,"Census Tract 304, Riverside County, California",65,39141,6,6463,30400,3610,312.58982305209065
6,65,30501,6065030501,305.01,Census Tract 305.01,G5020,S,1879867,0,33.9685095,-117.3545298,1400000US06065030501,"Census Tract 305.01, Riverside County, California",65,46080,6,4435,30501,2185,312.50714693068204
6,65,40901,6065040901,409.01,Census Tract 409.01,G5020,S,2104193,0,33.9133540,-117.4898958,1400000US06065040901,"Census Tract 409.01, Riverside County, California",65,74413,6,7030,40901,4237,312.2843011743702
6,65,40903,6065040903,409.03,Census Tract 409.03,G5020,S,855032,0,33.9193799,-117.5003176,1400000US06065040903,"Census Tract 409.03, Riverside County, California",65,56250,6,2832,40903,2084,312.10681803013875
6,65,40904,6065040904,409.04,Census Tract 409.04,G5020,S,1251984,0,33.9304798,-117.4972884,1400000US06065040904,"Census Tract 409.04, Riverside County, California",65,79583,6,4145,40904,2780,311.90140593741853
6,65,30502,6065030502,305.02,Census Tract 305.02,G5020,S,1921791,0,33.9857818,-117.3560334,1400000US06065030502,"Census Tract 305.02, Riverside County, California",65,36719,6,2113,30502,1370,313.6010941248161
6,65,30503,6065030503,305.03,Census Tract 305.03,G5020,S,557216,0,33.9799005,-117.3528319,1400000US06065030503,"Census Tract 305.03, Riverside County, California",65,32988,6,3554,30503,2242,313.0108852841645
6,65,30700,6065030700,307,Census Tract 307,G5020,S,2460179,0,33.9675570,-117.3889779,1400000US06065030700,"Census Tract 307, Riverside County, California",65,64211,6,5824,30700,4397,311.28003444219905
6,65,30800,6065030800,308,Census Tract 308,G5020,S,4453091,0,33.9653834,-117.4115762,1400000US06065030800,"Census Tract 308, Riverside County, California",65,70827,6,8299,30800,6719,311.3035760992873
6,65,31702,6065031702,317.02,Census Tract 317.02,G5020,S,4255092,0,33.8968673,-117.4412227,1400000US06065031702,"Census Tract 317.02, Riverside County, California",65,79028,6,2363,31702,1712,310.8781058426102
6,65,31703,6065031703,317.03,Census Tract 317.03,G5020,S,2253995,0,33.9098186,-117.4379057,1400000US06065031703,"Census Tract 317.03, Riverside County, California",65,70361,6,3713,31703,2662,313.22830086824234
6,65,31704,6065031704,317.04,Census Tract 317.04,G5020,S,2611008,0,33.9186451,-117.4211712,1400000US06065031704,"Census Tract 317.04, Riverside County, California",65,69063,6,5297,31704,3300,312.3331470279629
6,65,46700,6065046700,467,Census Tract 467,G5020,S,33305613,36823,33.8915866,-117.2767350,1400000US06065046700,"Census Tract 467, Riverside County, California",65,49014,6,4392,46700,1598,317.41887738595995
6,65,30101,6065030101,301.01,Census Tract 301.01,G5020,S,496238,0,33.9971996,-117.3519676,1400000US06065030101,"Census Tract 301.01, Riverside County, California",65,52188,6,1255,30101,702,312.78253432914255
6,65,30103,6065030103,301.03,Census Tract 301.03,G5020,S,1003279,0,33.9928287,-117.3655823,1400000US06065030103,"Census Tract 301.03, Riverside County, California",65,43534,6,2360,30103,1471,312.5728680404321
6,65,980004,6065980004,9800.04,Census Tract 9800.04,G5020,S,5735199,0,33.9361587,-117.3162137,1400000US06065980004,"Census Tract 9800.04, Riverside County, California",65,-666666666,6,0,980004,0,312.1525400181842
6,65,30104,6065030104,301.04,Census Tract 301.04,G5020,S,3273473,174839,34.0052804,-117.3666531,1400000US06065030104,"Census Tract 301.04, Riverside County, California",65,61358,6,7583,30104,3696,312.82062000857076
6,65,31601,6065031601,316.01,Census Tract 316.01,G5020,S,1938920,0,33.9154306,-117.4486324,1400000US06065031601,"Census Tract 316.01, Riverside County, California",65,49765,6,5282,31601,3045,312.84283162628964
6,65,41101,6065041101,411.01,Census Tract 411.01,G5020,S,1578447,0,33.9430035,-117.4647570,1400000US06065041101,"Census Tract 411.01, Riverside County, California",65,32125,6,6293,41101,3710,313.28945117909166
6,65,41102,6065041102,411.02,Census Tract 411.02,G5020,S,2458350,0,33.9403266,-117.4871242,1400000US06065041102,"Census Tract 411.02, Riverside County, California",65,55144,6,4276,41102,2767,312.96651433553234
6,65,41301,6065041301,413.01,Census Tract 413.01,G5020,S,2122289,0,33.9292791,-117.4846527,1400000US06065041301,"Census Tract 413.01, Riverside County, California",65,60714,6,3701,41301,2084,313.21564558614995
6,65,41302,6065041302,413.02,Census Tract 413.02,G5020,S,1485889,0,33.9207824,-117.4769727,1400000US06065041302,"Census Tract 413.02, Riverside County, California",65,48500,6,4643,41302,2589,313.53377328978837
6,65,42014,6065042014,420.14,Census Tract 420.14,G5020,S,3885801,0,33.8910477,-117.3226083,1400000US06065042014,"Census Tract 420.14, Riverside County, California",65,115104,6,11285,42014,7068,311.1901093139527
6,65,46500,6065046500,465,Census Tract 465,G5020,S,4729044,14300,33.9709274,-117.3333120,1400000US06065046500,"Census Tract 465, Riverside County, California",65,20394,6,7958,46500,2617,311.5857479819881
6,65,42214,6065042214,422.14,Census Tract 422.14,G5020,S,26879884,0,33.9795082,-117.2918117,1400000US06065042214,"Census Tract 422.14, Riverside County, California",65,87311,6,6699,42214,3781,312.1376555226681
6,65,41409,6065041409,414.09,Census Tract 414.09,G5020,S,42200740,53718,33.8661855,-117.4797397,1400000US06065041409,"Census Tract 414.09, Riverside County, California",65,107795,6,17915,41409,10918,310.22920648432955
6,65,42004,6065042004,420.04,Census Tract 420.04,G5020,S,5602770,0,33.8872834,-117.3755427,1400000US06065042004,"Census Tract 420.04, Riverside County, California",65,94866,6,3622,42004,2751,312.8840719508898
6,65,42206,6065042206,422.06,Census Tract 422.06,G5020,S,2822726,0,33.9590647,-117.3297691,1400000US06065042206,"Census Tract 422.06, Riverside County, California",65,56473,6,6051,42206,3441,311.3035760992873
6,65,42003,6065042003,420.03,Census Tract 420.03,G5020,S,11544251,0,33.8706180,-117.3647054,1400000US06065042003,"Census Tract 420.03, Riverside County, California",65,106771,6,6284,42003,4550,313.31369269780106
6,65,42213,6065042213,422.13,Census Tract 422.13,G5020,S,2832637,0,33.9766397,-117.3168247,1400000US06065042213,"Census Tract 422.13, Riverside County, California",65,63542,6,4701,42213,2994,312.0515052213467
6,65,30601,6065030601,306.01,Census Tract 306.01,G5020,S,13824390,0,33.9200111,-117.3619320,1400000US06065030601,"Census Tract 306.01, Riverside County, California",65,149091,6,5636,30601,4311,310.7503025731743
6,65,42207,6065042207,422.07,Census Tract 422.07,G5020,S,2488593,0,33.9419215,-117.3385529,1400000US06065042207,"Census Tract 422.07, Riverside County, California",65,101833,6,3393,42207,2735,310.03487810302215
6,65,42208,6065042208,422.08,Census Tract 422.08,G5020,S,1915960,0,33.9416366,-117.3455921,1400000US06065042208,"Census Tract 422.08, Riverside County, California",65,124125,6,2658,42208,2158,309.8618977658776
6,65,30603,6065030603,306.03,Census Tract 306.03,G5020,S,3562203,0,33.9557504,-117.3611851,1400000US06065030603,"Census Tract 306.03, Riverside County, California",65,113750,6,3151,30603,2661,310.1493510297759
6,65,42005,6065042005,420.05,Census Tract 420.05,G5020,S,9812093,0,33.8972467,-117.3464493,1400000US06065042005,"Census Tract 420.05, Riverside County, California",65,131189,6,5904,42005,3824,311.2436435876347
6,65,40902,6065040902,409.02,Census Tract 409.02,G5020,S,7621400,0,33.9264796,-117.5082299,1400000US06065040902,"Census Tract 409.02, Riverside County, California",65,70291,6,6234,40902,3991,311.651928073233
6,65,30200,6065030200,302,Census Tract 302,G5020,S,5100984,541422,33.9814340,-117.3950475,1400000US06065030200,"Census Tract 302, Riverside County, California",65,70927,6,4409,30200,3289,310.3553646829144
6,65,40201,6065040201,402.01,Census Tract 402.01,G5020,S,7845587,684526,33.9839503,-117.4187992,1400000US06065040201,"Census Tract 402.01, Riverside County, California",65,74020,6,6341,40201,3133,313.4095617407141
6,65,42209,6065042209,422.09,Census Tract 422.09,G5020,S,5564743,9589,33.9951231,-117.3422164,1400000US06065042209,"Census Tract 422.09, Riverside County, California",65,29858,6,4771,42209,2263,313.3505735368912
6,65,31701,6065031701,317.01,Census Tract 317.01,G5020,S,16059427,77627,33.9061238,-117.4050093,1400000US06065031701,"Census Tract 317.01, Riverside County, California",65,54770,6,2503,31701,1588,310.76964216893725
6,65,30602,6065030602,306.02,Census Tract 306.02,G5020,S,3295294,0,33.9390841,-117.3713613,1400000US06065030602,"Census Tract 306.02, Riverside County, California",65,102750,6,3297,30602,2800,310.134237732173
6,65,41003,6065041003,410.03,Census Tract 410.03,G5020,S,1847604,0,33.9486696,-117.4904563,1400000US06065041003,"Census Tract 410.03, Riverside County, California",65,74183,6,2931,41003,2005,312.51244822547187
6,65,41004,6065041004,410.04,Census Tract 410.04,G5020,S,9787611,447739,33.9589888,-117.4977413,1400000US06065041004,"Census Tract 410.04, Riverside County, California",65,58147,6,4940,41004,2179,312.48169777013845
6,65,42009,6065042009,420.09,Census Tract 420.09,G5020,S,11829146,0,33.8604957,-117.3150981,1400000US06065042009,"Census Tract 420.09, Riverside County, California",65,68594,6,9034,42009,3671,314.3195318711406
6,65,42300,6065042300,423,Census Tract 423,G5020,S,10008126,0,34.0130689,-117.3222466,1400000US06065042300,"Census Tract 423, Riverside County, California",65,54792,6,7371,42300,5374,313.95921959565993
6,65,42012,6065042012,420.12,Census Tract 420.12,G5020,S,2659377,0,33.9108624,-117.3205531,1400000US06065042012,"Census Tract 420.12, Riverside County, California",65,84321,6,6754,42012,4054,311.5045786423694
6,65,31602,6065031602,316.02,Census Tract 316.02,G5020,S,1748887,0,33.9268423,-117.4484557,1400000US06065031602,"Census Tract 316.02, Riverside County, California",65,48926,6,6280,31602,3262,312.7677202891536
6,65,42013,6065042013,420.13,Census Tract 420.13,G5020,S,2972810,0,33.8944124,-117.3019318,1400000US06065042013,"Census Tract 420.13, Riverside County, California",65,105052,6,8321,42013,5278,312.0227759882313
6,65,30900,6065030900,309,Census Tract 309,G5020,S,6156740,70295,33.9577091,-117.4411265,1400000US06065030900,"Census Tract 309, Riverside County, California",65,61101,6,3572,30900,2681,313.7881526881843
6,65,41001,6065041001,410.01,Census Tract 410.01,G5020,S,490471,0,33.9496836,-117.4643999,1400000US06065041001,"Census Tract 410.01, Riverside County, California",65,42639,6,2810,41001,1339,312.7550212284355
6,65,42210,6065042210,422.10,Census Tract 422.10,G5020,S,1347311,0,33.9895557,-117.3350138,1400000US06065042210,"Census Tract 422.10, Riverside County, California",65,33813,6,4809,42210,2349,313.1650124679813
6,65,31001,6065031001,310.01,Census Tract 310.01,G5020,S,1984596,0,33.9516686,-117.4098503,1400000US06065031001,"Census Tract 310.01, Riverside County, California",65,61944,6,5910,31001,3582,312.43184569927087
6,65,31002,6065031002,310.02,Census Tract 310.02,G5020,S,1228758,0,33.9518517,-117.4237908,1400000US06065031002,"Census Tract 310.02, Riverside County, California",65,44274,6,5250,31002,3160,313.12280353660617
6,65,41002,6065041002,410.02,Census Tract 410.02,G5020,S,1022398,0,33.9516995,-117.4726482,1400000US06065041002,"Census Tract 410.02, Riverside County, California",65,57917,6,3568,41002,1769,312.3140355755909
6,65,42505,6065042505,425.05,Census Tract 425.05,G5020,S,3605259,0,33.9293133,-117.2825200,1400000US06065042505,"Census Tract 425.05, Riverside County, California",65,37095,6,3463,42505,1215,314.95714325851196
6,65,42506,6065042506,425.06,Census Tract 425.06,G5020,S,3061797,0,33.9329093,-117.2702820,1400000US06065042506,"Census Tract 425.06, Riverside County, California",65,52011,6,8992,42506,3371,315.23171557442
6,65,31100,6065031100,311,Census Tract 311,G5020,S,2897584,0,33.9549035,-117.3909919,1400000US06065031100,"Census Tract 311, Riverside County, California",65,56445,6,4763,31100,3381,312.62160787153084
6,65,41201,6065041201,412.01,Census Tract 412.01,G5020,S,2584649,0,33.9238780,-117.4621002,1400000US06065041201,"Census Tract 412.01, Riverside County, California",65,40598,6,4409,41201,2525,313.11436014911646
6,65,41202,6065041202,412.02,Census Tract 412.02,G5020,S,1244763,0,33.9344497,-117.4707309,1400000US06065041202,"Census Tract 412.02, Riverside County, California",65,49139,6,4446,41202,3035,313.2472815447321
6,65,41203,6065041203,412.03,Census Tract 412.03,G5020,S,859630,0,33.9337586,-117.4578960,1400000US06065041203,"Census Tract 412.03, Riverside County, California",65,50204,6,3632,41203,1615,313.10591622764304
6,65,41403,6065041403,414.03,Census Tract 414.03,G5020,S,2285519,0,33.8973370,-117.4611880,1400000US06065041403,"Census Tract 414.03, Riverside County, California",65,70104,6,3382,41403,2031,312.06320793571865
6,65,41404,6065041404,414.04,Census Tract 414.04,G5020,S,1362652,0,33.8922056,-117.4724083,1400000US06065041404,"Census Tract 414.04, Riverside County, California",65,83362,6,4261,41404,2225,311.881166758105
6,65,31200,6065031200,312,Census Tract 312,G5020,S,3864570,0,33.9429753,-117.3825350,1400000US06065031200,"Census Tract 312, Riverside County, California",65,73578,6,6997,31200,5646,311.60710002828813
