STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,67,2300,6067002300,23,Census Tract 23,G5020,S,1213095,0,38.5571708,-121.4938311,1400000US06067002300,"Census Tract 23, Sacramento County, California",67,112670,6,3280,2300,2564,306.6390987801839
6,67,2400,6067002400,24,Census Tract 24,G5020,S,3224718,0,38.5448312,-121.4973382,1400000US06067002400,"Census Tract 24, Sacramento County, California",67,129976,6,4571,2400,3845,306.1232848820365
6,67,7015,6067007015,70.15,Census Tract 70.15,G5020,S,5312024,577029,38.6483224,-121.5529893,1400000US06067007015,"Census Tract 70.15, Sacramento County, California",67,62583,6,5086,7015,2193,308.87801795356313
6,67,7017,6067007017,70.17,Census Tract 70.17,G5020,S,7190021,319876,38.6116619,-121.5460600,1400000US06067007017,"Census Tract 70.17, Sacramento County, California",67,73438,6,3194,7017,1454,307.1583408427628
6,67,7107,6067007107,71.07,Census Tract 71.07,G5020,S,13508444,524047,38.6578904,-121.5936907,1400000US06067007107,"Census Tract 71.07, Sacramento County, California",67,115417,6,3580,7107,1782,308.6281414247174
6,67,2500,6067002500,25,Census Tract 25,G5020,S,984311,0,38.5455452,-121.4812453,1400000US06067002500,"Census Tract 25, Sacramento County, California",67,112321,6,1559,2500,1263,307.66226281946876
6,67,3900,6067003900,39,Census Tract 39,G5020,S,2185095,232905,38.5303294,-121.5186401,1400000US06067003900,"Census Tract 39, Sacramento County, California",67,66691,6,3450,3900,1985,307.12187516458397
6,67,4001,6067004001,40.01,Census Tract 40.01,G5020,S,3335028,79391,38.4996777,-121.5116580,1400000US06067004001,"Census Tract 40.01, Sacramento County, California",67,56484,6,5622,4001,2717,308.5647768045932
6,67,4004,6067004004,40.04,Census Tract 40.04,G5020,S,2804182,203436,38.5037812,-121.5503432,1400000US06067004004,"Census Tract 40.04, Sacramento County, California",67,87652,6,6399,4004,3427,307.97442129039007
6,67,4005,6067004005,40.05,Census Tract 40.05,G5020,S,1856688,320217,38.5065375,-121.5381840,1400000US06067004005,"Census Tract 40.05, Sacramento County, California",67,67458,6,4199,4005,2104,307.7491722946057
6,67,5402,6067005402,54.02,Census Tract 54.02,G5020,S,5404622,210493,38.5897946,-121.4318194,1400000US06067005402,"Census Tract 54.02, Sacramento County, California",67,42061,6,2521,5402,1641,310.26588042605283
6,67,5403,6067005403,54.03,Census Tract 54.03,G5020,S,1306824,0,38.5663033,-121.4150188,1400000US06067005403,"Census Tract 54.03, Sacramento County, California",67,60694,6,2390,5403,1664,307.6083271655013
6,67,5404,6067005404,54.04,Census Tract 54.04,G5020,S,3968753,164181,38.5698188,-121.3915944,1400000US06067005404,"Census Tract 54.04, Sacramento County, California",67,86675,6,5313,5404,4285,309.31549774392903
6,67,4012,6067004012,40.12,Census Tract 40.12,G5020,S,1522616,511250,38.4760817,-121.5227613,1400000US06067004012,"Census Tract 40.12, Sacramento County, California",67,118125,6,3361,4012,1741,306.8762877652128
6,67,4100,6067004100,41,Census Tract 41,G5020,S,2033371,0,38.5066191,-121.4785228,1400000US06067004100,"Census Tract 41, Sacramento County, California",67,33162,6,5338,4100,1815,310.3909257116251
6,67,4202,6067004202,42.02,Census Tract 42.02,G5020,S,1642385,0,38.4884205,-121.4862812,1400000US06067004202,"Census Tract 42.02, Sacramento County, California",67,41471,6,5867,4202,2226,309.711433917833
6,67,4203,6067004203,42.03,Census Tract 42.03,G5020,S,1637033,0,38.4881987,-121.4743864,1400000US06067004203,"Census Tract 42.03, Sacramento County, California",67,34615,6,5532,4203,1687,309.94625443248697
6,67,4300,6067004300,43,Census Tract 43,G5020,S,3778413,0,38.4761513,-121.4873525,1400000US06067004300,"Census Tract 43, Sacramento County, California",67,47662,6,9178,4300,1980,309.896512253533
6,67,4401,6067004401,44.01,Census Tract 44.01,G5020,S,1386524,0,38.5311698,-121.4507437,1400000US06067004401,"Census Tract 44.01, Sacramento County, California",67,37074,6,3893,4401,1494,310.3607533406373
6,67,4006,6067004006,40.06,Census Tract 40.06,G5020,S,1873697,86293,38.5072046,-121.5248769,1400000US06067004006,"Census Tract 40.06, Sacramento County, California",67,53500,6,5215,4006,1859,307.9250103989381
6,67,5502,6067005502,55.02,Census Tract 55.02,G5020,S,2868053,0,38.6046274,-121.4270026,1400000US06067005502,"Census Tract 55.02, Sacramento County, California",67,29808,6,5603,5502,2421,311.4297731334368
6,67,4402,6067004402,44.02,Census Tract 44.02,G5020,S,1240514,0,38.5323680,-121.4602788,1400000US06067004402,"Census Tract 44.02, Sacramento County, California",67,24444,6,4551,4402,1779,309.8543246172253
6,67,4601,6067004601,46.01,Census Tract 46.01,G5020,S,2267763,0,38.5171830,-121.4471877,1400000US06067004601,"Census Tract 46.01, Sacramento County, California",67,29872,6,8043,4601,3083,309.6301758702479
6,67,4801,6067004801,48.01,Census Tract 48.01,G5020,S,1872216,0,38.5067176,-121.4221792,1400000US06067004801,"Census Tract 48.01, Sacramento County, California",67,37292,6,5816,4801,1257,310.10076632907584
6,67,4802,6067004802,48.02,Census Tract 48.02,G5020,S,1423403,0,38.4995505,-121.4190445,1400000US06067004802,"Census Tract 48.02, Sacramento County, California",67,38288,6,4762,4802,1181,309.6106663601284
6,67,4903,6067004903,49.03,Census Tract 49.03,G5020,S,1775343,0,38.4886484,-121.4621788,1400000US06067004903,"Census Tract 49.03, Sacramento County, California",67,35189,6,7367,4903,2175,310.3650641065649
6,67,4904,6067004904,49.04,Census Tract 49.04,G5020,S,2477077,0,38.4880638,-121.4464626,1400000US06067004904,"Census Tract 49.04, Sacramento County, California",67,55086,6,5714,4904,2428,309.381752217511
6,67,5201,6067005201,52.01,Census Tract 52.01,G5020,S,1881676,168226,38.5590043,-121.4229418,1400000US06067005201,"Census Tract 52.01, Sacramento County, California",67,16947,6,3408,5201,1721,303.14269824654883
6,67,5202,6067005202,52.02,Census Tract 52.02,G5020,S,1759111,113923,38.5593317,-121.3941540,1400000US06067005202,"Census Tract 52.02, Sacramento County, California",67,69038,6,3460,5202,2556,308.2606287531883
6,67,2900,6067002900,29,Census Tract 29,G5020,S,2317595,0,38.5428857,-121.4347594,1400000US06067002900,"Census Tract 29, Sacramento County, California",67,59097,6,4962,2900,4010,309.72118146391364
6,67,3000,6067003000,30,Census Tract 30,G5020,S,2581780,0,38.5358637,-121.4295972,1400000US06067003000,"Census Tract 30, Sacramento County, California",67,62045,6,7798,3000,4197,309.833766702147
6,67,3101,6067003101,31.01,Census Tract 31.01,G5020,S,1257004,0,38.5285811,-121.4185883,1400000US06067003101,"Census Tract 31.01, Sacramento County, California",67,52794,6,3608,3101,2348,310.7309601194725
6,67,2800,6067002800,28,Census Tract 28,G5020,S,924551,0,38.5429371,-121.4582463,1400000US06067002800,"Census Tract 28, Sacramento County, California",67,40781,6,3552,2800,1486,309.9830081618202
6,67,3102,6067003102,31.02,Census Tract 31.02,G5020,S,1147191,0,38.5287219,-121.4359084,1400000US06067003102,"Census Tract 31.02, Sacramento County, California",67,50603,6,2980,3102,1831,310.34566453804933
6,67,4905,6067004905,49.05,Census Tract 49.05,G5020,S,1719211,0,38.4777448,-121.4391674,1400000US06067004905,"Census Tract 49.05, Sacramento County, California",67,42595,6,7099,4905,2973,309.73092827780357
6,67,5002,6067005002,50.02,Census Tract 50.02,G5020,S,3064824,0,38.4848798,-121.4265186,1400000US06067005002,"Census Tract 50.02, Sacramento County, California",67,35217,6,6679,5002,2617,311.74153848398316
6,67,4906,6067004906,49.06,Census Tract 49.06,G5020,S,958392,0,38.4780464,-121.4583035,1400000US06067004906,"Census Tract 49.06, Sacramento County, California",67,41850,6,3187,4906,885,310.0478423573909
6,67,2200,6067002200,22,Census Tract 22,G5020,S,2442984,287416,38.5601168,-121.5079991,1400000US06067002200,"Census Tract 22, Sacramento County, California",67,30955,6,4460,2200,2071,306.50145829935053
6,67,4008,6067004008,40.08,Census Tract 40.08,G5020,S,1580374,75337,38.4899030,-121.5470459,1400000US06067004008,"Census Tract 40.08, Sacramento County, California",67,81771,6,3723,4008,1753,308.12144298306737
6,67,4009,6067004009,40.09,Census Tract 40.09,G5020,S,1873899,0,38.4908394,-121.5338650,1400000US06067004009,"Census Tract 40.09, Sacramento County, California",67,71379,6,5079,4009,1967,308.1367937169588
6,67,4010,6067004010,40.10,Census Tract 40.10,G5020,S,1648105,0,38.4876900,-121.5206821,1400000US06067004010,"Census Tract 40.10, Sacramento County, California",67,48355,6,5544,4010,1839,307.71727569437724
6,67,4011,6067004011,40.11,Census Tract 40.11,G5020,S,1109885,113516,38.4800040,-121.5283512,1400000US06067004011,"Census Tract 40.11, Sacramento County, California",67,111172,6,3021,4011,1318,307.55436867769896
6,67,3400,6067003400,34,Census Tract 34,G5020,S,2248126,34205,38.5121908,-121.5088949,1400000US06067003400,"Census Tract 34, Sacramento County, California",67,63015,6,4173,3400,2561,308.511220265101
6,67,3300,6067003300,33,Census Tract 33,G5020,S,2377878,0,38.5289945,-121.5039421,1400000US06067003300,"Census Tract 33, Sacramento County, California",67,78419,6,4367,3300,2909,308.0753797324877
6,67,3502,6067003502,35.02,Census Tract 35.02,G5020,S,1260333,0,38.5245176,-121.4885738,1400000US06067003502,"Census Tract 35.02, Sacramento County, California",67,56825,6,2780,3502,1464,309.91381604024485
6,67,3700,6067003700,37,Census Tract 37,G5020,S,1427631,0,38.5336237,-121.4693182,1400000US06067003700,"Census Tract 37, Sacramento County, California",67,30712,6,4136,3700,1850,309.8510788469323
6,67,3800,6067003800,38,Census Tract 38,G5020,S,4898249,0,38.5073142,-121.4931707,1400000US06067003800,"Census Tract 38, Sacramento County, California",67,49630,6,5764,3800,1780,310.2799000891156
6,67,2100,6067002100,21,Census Tract 21,G5020,S,1451239,89475,38.5693327,-121.5063658,1400000US06067002100,"Census Tract 21, Sacramento County, California",67,55034,6,2309,2100,1257,307.2941662042866
6,67,7204,6067007204,72.04,Census Tract 72.04,G5020,S,8176760,0,38.6623457,-121.4462454,1400000US06067007204,"Census Tract 72.04, Sacramento County, California",67,58315,6,4958,7204,2824,311.67113542877945
6,67,7413,6067007413,74.13,Census Tract 74.13,G5020,S,5486061,192933,38.6420403,-121.3933099,1400000US06067007413,"Census Tract 74.13, Sacramento County, California",67,36563,6,7354,7413,5080,307.3438221616621
6,67,5901,6067005901,59.01,Census Tract 59.01,G5020,S,3399346,0,38.6362323,-121.3570458,1400000US06067005901,"Census Tract 59.01, Sacramento County, California",67,77105,6,6510,5901,5297,307.0710267324278
6,67,6202,6067006202,62.02,Census Tract 62.02,G5020,S,1627293,0,38.6163928,-121.4222802,1400000US06067006202,"Census Tract 62.02, Sacramento County, California",67,34773,6,3478,6202,1855,310.4189366679029
6,67,6300,6067006300,63,Census Tract 63,G5020,S,2759885,48714,38.6225203,-121.4292379,1400000US06067006300,"Census Tract 63, Sacramento County, California",67,33603,6,5498,6300,3040,309.6951863801458
6,67,6400,6067006400,64,Census Tract 64,G5020,S,3449978,0,38.6417287,-121.4202442,1400000US06067006400,"Census Tract 64, Sacramento County, California",67,37627,6,5639,6400,3398,310.6030130113763
6,67,6500,6067006500,65,Census Tract 65,G5020,S,3891463,0,38.6441696,-121.4385656,1400000US06067006500,"Census Tract 65, Sacramento County, California",67,38067,6,6767,6500,2388,311.2500662352437
6,67,6600,6067006600,66,Census Tract 66,G5020,S,2220000,0,38.6251809,-121.4409477,1400000US06067006600,"Census Tract 66, Sacramento County, California",67,33167,6,6925,6600,2677,308.95866053460037
6,67,6701,6067006701,67.01,Census Tract 67.01,G5020,S,3289849,0,38.6484319,-121.4604130,1400000US06067006701,"Census Tract 67.01, Sacramento County, California",67,47273,6,9039,6701,3790,311.26076995058366
