STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
48,29,140100,48029140100,1401,Census Tract 1401,G5020,S,986967,0,29.4064086,-98.4787846,1400000US48029140100,"Census Tract 1401, Bexar County, Texas",29,42443,48,1410,140100,918,306.39479479074845
48,29,140200,48029140200,1402,Census Tract 1402,G5020,S,1923439,0,29.3962129,-98.4810899,1400000US48029140200,"Census Tract 1402, Bexar County, Texas",29,27700,48,2813,140200,2484,305.86346731754725
48,29,140300,48029140300,1403,Census Tract 1403,G5020,S,1558736,10051,29.3868816,-98.4835460,1400000US48029140300,"Census Tract 1403, Bexar County, Texas",29,30000,48,3266,140300,2517,304.8176499455054
48,29,140500,48029140500,1405,Census Tract 1405,G5020,S,1532145,0,29.3964053,-98.4549963,1400000US48029140500,"Census Tract 1405, Bexar County, Texas",29,42695,48,4198,140500,3024,305.7774866030757
48,29,140700,48029140700,1407,Census Tract 1407,G5020,S,1837262,0,29.3875220,-98.4609819,1400000US48029140700,"Census Tract 1407, Bexar County, Texas",29,38492,48,4843,140700,3329,305.8299753400764
48,29,140800,48029140800,1408,Census Tract 1408,G5020,S,2127068,0,29.3776566,-98.4696195,1400000US48029140800,"Census Tract 1408, Bexar County, Texas",29,33750,48,5479,140800,4954,305.07852216380167
48,29,140900,48029140900,1409,Census Tract 1409,G5020,S,1189812,0,29.3798119,-98.4548664,1400000US48029140900,"Census Tract 1409, Bexar County, Texas",29,30938,48,2025,140900,1796,305.56283608459603
48,29,141000,48029141000,1410,Census Tract 1410,G5020,S,1797042,0,29.3709842,-98.4573460,1400000US48029141000,"Census Tract 1410, Bexar County, Texas",29,24627,48,3661,141000,2832,305.243534197161
48,29,131200,48029131200,1312,Census Tract 1312,G5020,S,4844271,5480,29.3981151,-98.4172868,1400000US48029131200,"Census Tract 1312, Bexar County, Texas",29,28640,48,3262,131200,1939,303.9444762756446
48,29,141200,48029141200,1412,Census Tract 1412,G5020,S,3791694,0,29.3802571,-98.4395548,1400000US48029141200,"Census Tract 1412, Bexar County, Texas",29,31593,48,7182,141200,5928,304.94590541234766
