STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,75,17102,6075017102,171.02,Census Tract 171.02,G5020,S,294894,0,37.7654353,-122.4504754,1400000US06075017102,"Census Tract 171.02, San Francisco County, California",75,129792,6,3719,17102,2971,309.58464911184376
6,75,12302,6075012302,123.02,Census Tract 123.02,G5020,S,92649,0,37.7870223,-122.4120970,1400000US06075012302,"Census Tract 123.02, San Francisco County, California",75,40976,6,2507,12302,1228,310.83193921863904
6,75,16801,6075016801,168.01,Census Tract 168.01,G5020,S,226534,0,37.7713309,-122.4290133,1400000US06075016801,"Census Tract 168.01, San Francisco County, California",75,103730,6,3424,16801,2622,311.11512466100237
6,75,11902,6075011902,119.02,Census Tract 119.02,G5020,S,93053,0,37.7909959,-122.4098067,1400000US06075011902,"Census Tract 119.02, San Francisco County, California",75,84735,6,2825,11902,1537,312.02064764870977
6,75,12201,6075012201,122.01,Census Tract 122.01,G5020,S,92048,0,37.7858464,-122.4163535,1400000US06075012201,"Census Tract 122.01, San Francisco County, California",75,56298,6,4710,12201,2019,310.54383546113746
6,75,12202,6075012202,122.02,Census Tract 122.02,G5020,S,92823,0,37.7854122,-122.4196443,1400000US06075012202,"Census Tract 122.02, San Francisco County, California",75,36719,6,3443,12202,1647,311.6028298956887
6,75,12402,6075012402,124.02,Census Tract 124.02,G5020,S,358024,0,37.7801467,-122.4177690,1400000US06075012402,"Census Tract 124.02, San Francisco County, California",75,46422,6,4000,12402,2100,310.1320785464596
6,75,12601,6075012601,126.01,Census Tract 126.01,G5020,S,170458,0,37.8022683,-122.4391509,1400000US06075012601,"Census Tract 126.01, San Francisco County, California",75,129139,6,2592,12601,2298,309.89218594682546
6,75,12602,6075012602,126.02,Census Tract 126.02,G5020,S,629712,544217,37.8064743,-122.4356584,1400000US06075012602,"Census Tract 126.02, San Francisco County, California",75,129196,6,2814,12602,2346,303.7936176813791
6,75,12902,6075012902,129.02,Census Tract 129.02,G5020,S,352886,0,37.8006183,-122.4321104,1400000US06075012902,"Census Tract 129.02, San Francisco County, California",75,120190,6,3628,12902,2878,310.4501725676497
6,75,13101,6075013101,131.01,Census Tract 131.01,G5020,S,173030,0,37.7937795,-122.4247496,1400000US06075013101,"Census Tract 131.01, San Francisco County, California",75,130927,6,3742,13101,2956,311.30678599872476
6,75,13102,6075013102,131.02,Census Tract 131.02,G5020,S,237886,0,37.7926200,-122.4274313,1400000US06075013102,"Census Tract 131.02, San Francisco County, California",75,150643,6,3084,13102,2291,309.0534055899925
6,75,15801,6075015801,158.01,Census Tract 158.01,G5020,S,343931,0,37.7813045,-122.4373585,1400000US06075015801,"Census Tract 158.01, San Francisco County, California",75,66603,6,4129,15801,1653,309.2274679910609
6,75,16802,6075016802,168.02,Census Tract 168.02,G5020,S,215074,0,37.7735464,-122.4249300,1400000US06075016802,"Census Tract 168.02, San Francisco County, California",75,83672,6,3390,16802,2094,311.7543350051015
6,75,17101,6075017101,171.01,Census Tract 171.01,G5020,S,313382,0,37.7657245,-122.4460837,1400000US06075017101,"Census Tract 171.01, San Francisco County, California",75,155278,6,3743,17101,2965,309.8683886847932
6,75,17801,6075017801,178.01,Census Tract 178.01,G5020,S,214052,0,37.7820284,-122.4011589,1400000US06075017801,"Census Tract 178.01, San Francisco County, California",75,18930,6,3472,17801,1092,312.96123109628877
6,75,17802,6075017802,178.02,Census Tract 178.02,G5020,S,510134,0,37.7760649,-122.4087033,1400000US06075017802,"Census Tract 178.02, San Francisco County, California",75,73966,6,5108,17802,1920,313.16923262754216
6,75,22704,6075022704,227.04,Census Tract 227.04,G5020,S,544609,0,37.7609519,-122.4019893,1400000US06075022704,"Census Tract 227.04, San Francisco County, California",75,176667,6,3365,22704,2566,314.0368100823707
6,75,25701,6075025701,257.01,Census Tract 257.01,G5020,S,627371,0,37.7315860,-122.4121401,1400000US06075025701,"Census Tract 257.01, San Francisco County, California",75,95669,6,5301,25701,858,307.59181168753463
6,75,25702,6075025702,257.02,Census Tract 257.02,G5020,S,533460,0,37.7281305,-122.4057589,1400000US06075025702,"Census Tract 257.02, San Francisco County, California",75,63311,6,4698,25702,514,310.1083251400645
6,75,31201,6075031201,312.01,Census Tract 312.01,G5020,S,512108,0,37.7217815,-122.4573371,1400000US06075031201,"Census Tract 312.01, San Francisco County, California",75,81443,6,7477,31201,1696,306.5658571917701
6,75,31202,6075031202,312.02,Census Tract 312.02,G5020,S,309420,0,37.7193286,-122.4523956,1400000US06075031202,"Census Tract 312.02, San Francisco County, California",75,77267,6,3451,31202,370,306.5658571917701
6,75,32602,6075032602,326.02,Census Tract 326.02,G5020,S,472116,0,37.7588987,-122.4825797,1400000US06075032602,"Census Tract 326.02, San Francisco County, California",75,91433,6,5047,32602,1546,306.55253597675306
6,75,32801,6075032801,328.01,Census Tract 328.01,G5020,S,585365,0,37.7460190,-122.4804356,1400000US06075032801,"Census Tract 328.01, San Francisco County, California",75,110255,6,4505,32801,1522,307.02900612987247
6,75,32802,6075032802,328.02,Census Tract 328.02,G5020,S,548900,97204,37.7530955,-122.4812305,1400000US06075032802,"Census Tract 328.02, San Francisco County, California",75,90700,6,4226,32802,1062,306.80539932398807
6,75,32901,6075032901,329.01,Census Tract 329.01,G5020,S,671900,0,37.7461540,-122.4901873,1400000US06075032901,"Census Tract 329.01, San Francisco County, California",75,98023,6,5878,32901,1680,306.5514258120874
6,75,33203,6075033203,332.03,Census Tract 332.03,G5020,S,437672,0,37.7159268,-122.4782507,1400000US06075033203,"Census Tract 332.03, San Francisco County, California",75,50360,6,3580,33203,1686,305.1840652043604
6,75,33204,6075033204,332.04,Census Tract 332.04,G5020,S,373253,0,37.7196210,-122.4804062,1400000US06075033204,"Census Tract 332.04, San Francisco County, California",75,59125,6,4678,33204,1725,304.59344809417365
6,75,42601,6075042601,426.01,Census Tract 426.01,G5020,S,293133,0,37.7831223,-122.4811910,1400000US06075042601,"Census Tract 426.01, San Francisco County, California",75,81815,6,3956,42601,2032,306.67459458190336
6,75,42602,6075042602,426.02,Census Tract 426.02,G5020,S,332059,0,37.7833848,-122.4754789,1400000US06075042602,"Census Tract 426.02, San Francisco County, California",75,113258,6,3157,42602,1818,306.4914624236691
6,75,47801,6075047801,478.01,Census Tract 478.01,G5020,S,476606,0,37.7758427,-122.4921123,1400000US06075047801,"Census Tract 478.01, San Francisco County, California",75,102083,6,4134,47801,1738,305.61205930478684
6,75,61100,6075061100,611,Census Tract 611,G5020,S,239861,0,37.7955998,-122.4040647,1400000US06075061100,"Census Tract 611, San Francisco County, California",75,16560,6,4572,61100,271,310.9221100380076
6,75,61200,6075061200,612,Census Tract 612,G5020,S,434742,0,37.7370503,-122.3901612,1400000US06075061200,"Census Tract 612, San Francisco County, California",75,60903,6,4451,61200,809,310.40169986783775
6,75,980300,6075980300,9803,Census Tract 9803,G5020,S,4341949,409466,37.7684025,-122.4920873,1400000US06075980300,"Census Tract 9803, San Francisco County, California",75,131333,6,84,980300,74,300.3847199670065
6,75,980401,6075980401,9804.01,Census Tract 9804.01,G5020,S,419323,247501289,37.7272391,-123.0322294,1400000US06075980401,"Census Tract 9804.01, San Francisco County, California",75,-666666666,6,0,980401,0,290.27177878155476
6,75,12502,6075012502,125.02,Census Tract 125.02,G5020,S,61277,0,37.7839330,-122.4125954,1400000US06075012502,"Census Tract 125.02, San Francisco County, California",75,12479,6,3707,12502,1175,310.64388367564834
6,75,980200,6075980200,9802,Census Tract 9802,G5020,S,1022573,779038,37.7851517,-122.5020433,1400000US06075980200,"Census Tract 9802, San Francisco County, California",75,149250,6,304,980200,148,299.12800763305125
6,75,23102,6075023102,231.02,Census Tract 231.02,G5020,S,499233,0,37.7344894,-122.3844900,1400000US06075023102,"Census Tract 231.02, San Francisco County, California",75,28618,6,4537,23102,195,310.7653447279052
6,75,23200,6075023200,232,Census Tract 232,G5020,S,856566,0,37.7277635,-122.3861501,1400000US06075023200,"Census Tract 232, San Francisco County, California",75,54375,6,4456,23200,939,312.08235560013435
6,75,23300,6075023300,233,Census Tract 233,G5020,S,635979,0,37.7254190,-122.3977700,1400000US06075023300,"Census Tract 233, San Francisco County, California",75,55600,6,3429,23300,494,311.5579851498803
6,75,22901,6075022901,229.01,Census Tract 229.01,G5020,S,248905,0,37.7512010,-122.4139445,1400000US06075022901,"Census Tract 229.01, San Francisco County, California",75,72045,6,5392,22901,2657,311.53876130092937
6,75,22803,6075022803,228.03,Census Tract 228.03,G5020,S,282080,0,37.7558368,-122.4120842,1400000US06075022803,"Census Tract 228.03, San Francisco County, California",75,114583,6,4677,22803,2715,313.28945117909166
6,75,17902,6075017902,179.02,Census Tract 179.02,G5020,S,2802304,123760018,37.8619483,-122.4197010,1400000US06075017902,"Census Tract 179.02, San Francisco County, California",75,52143,6,3129,17902,1235,303.4811054640716
6,75,47702,6075047702,477.02,Census Tract 477.02,G5020,S,352786,0,37.7744602,-122.4837889,1400000US06075047702,"Census Tract 477.02, San Francisco County, California",75,96823,6,4054,47702,1823,305.69256471073436
6,75,35202,6075035202,352.02,Census Tract 352.02,G5020,S,372758,0,37.7613995,-122.5061469,1400000US06075035202,"Census Tract 352.02, San Francisco County, California",75,83977,6,4911,35202,2177,305.80429210500296
6,75,20600,6075020600,206,Census Tract 206,G5020,S,567325,0,37.7595626,-122.4303429,1400000US06075020600,"Census Tract 206, San Francisco County, California",75,141875,6,4953,20600,3796,313.6326391314518
6,75,13300,6075013300,133,Census Tract 133,G5020,S,581310,0,37.7887307,-122.4524293,1400000US06075013300,"Census Tract 133, San Francisco County, California",75,144875,6,4626,13300,3452,306.8319871404027
6,75,25403,6075025403,254.03,Census Tract 254.03,G5020,S,516564,0,37.7337705,-122.4206069,1400000US06075025403,"Census Tract 254.03, San Francisco County, California",75,94135,6,5054,25403,1845,307.0876099817752
6,75,22702,6075022702,227.02,Census Tract 227.02,G5020,S,283840,0,37.7625436,-122.3956056,1400000US06075022702,"Census Tract 227.02, San Francisco County, California",75,176944,6,2264,22702,1652,314.07244476749065
6,75,30202,6075030202,302.02,Census Tract 302.02,G5020,S,355664,0,37.7630868,-122.4673273,1400000US06075030202,"Census Tract 302.02, San Francisco County, California",75,114535,6,4384,30202,2393,307.98539889543423
6,75,12000,6075012000,120,Census Tract 120,G5020,S,125229,0,37.7879645,-122.4185273,1400000US06075012000,"Census Tract 120, San Francisco County, California",75,39957,6,3951,12000,1730,311.03151985431293
6,75,26001,6075026001,260.01,Census Tract 260.01,G5020,S,407294,0,37.7235502,-122.4322434,1400000US06075026001,"Census Tract 260.01, San Francisco County, California",75,62656,6,5940,26001,1853,308.1970823613258
6,75,26003,6075026003,260.03,Census Tract 260.03,G5020,S,402979,0,37.7196216,-122.4287729,1400000US06075026003,"Census Tract 260.03, San Francisco County, California",75,62563,6,5342,26003,1220,307.5587743088402
