STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,85,503111,6085503111,5031.11,Census Tract 5031.11,G5020,S,905167,0,37.3225494,-121.8397891,1400000US06085503111,"Census Tract 5031.11, Santa Clara County, California",85,93167,6,5572,503111,873,316.75261128616336
6,85,503112,6085503112,5031.12,Census Tract 5031.12,G5020,S,1136976,0,37.3223269,-121.8710045,1400000US06085503112,"Census Tract 5031.12, Santa Clara County, California",85,52258,6,3901,503112,1213,315.3978533692948
6,85,506302,6085506302,5063.02,Census Tract 5063.02,G5020,S,2014344,0,37.3088699,-121.9568660,1400000US06085506302,"Census Tract 5063.02, Santa Clara County, California",85,111270,6,6612,506302,4163,315.49329082185534
6,85,511911,6085511911,5119.11,Census Tract 5119.11,G5020,S,36550467,1619451,37.2009968,-121.8179101,1400000US06085511911,"Census Tract 5119.11, Santa Clara County, California",85,125694,6,4906,511911,3027,313.05524147924154
6,85,512035,6085512035,5120.35,Census Tract 5120.35,G5020,S,2308188,0,37.2236023,-121.7615938,1400000US06085512035,"Census Tract 5120.35, Santa Clara County, California",85,128466,6,4613,512035,2626,314.5692994197364
6,85,511913,6085511913,5119.13,Census Tract 5119.13,G5020,S,1927988,0,37.2275236,-121.8912127,1400000US06085511913,"Census Tract 5119.13, Santa Clara County, California",85,183281,6,4353,511913,3215,314.66114784515287
6,85,502500,6085502500,5025,Census Tract 5025,G5020,S,2496645,0,37.2931927,-121.8928401,1400000US06085502500,"Census Tract 5025, Santa Clara County, California",85,156875,6,6657,502500,5106,314.21593609130747
6,85,504308,6085504308,5043.08,Census Tract 5043.08,G5020,S,18611990,1413,37.4096778,-121.8137292,1400000US06085504308,"Census Tract 5043.08, Santa Clara County, California",85,118833,6,4378,504308,1610,313.6158160515058
6,85,504202,6085504202,5042.02,Census Tract 5042.02,G5020,S,15528983,0,37.3764428,-121.7922485,1400000US06085504202,"Census Tract 5042.02, Santa Clara County, California",85,145125,6,4841,504202,2394,313.99382628822724
6,85,504201,6085504201,5042.01,Census Tract 5042.01,G5020,S,2991758,0,37.3845973,-121.8211359,1400000US06085504201,"Census Tract 5042.01, Santa Clara County, California",85,147073,6,5361,504201,3335,312.83013972684853
6,85,503113,6085503113,5031.13,Census Tract 5031.13,G5020,S,728343,0,37.3156874,-121.8809726,1400000US06085503113,"Census Tract 5031.13, Santa Clara County, California",85,58641,6,5067,503113,1766,316.0335335965395
6,85,512031,6085512031,5120.31,Census Tract 5120.31,G5020,S,1424934,0,37.2315460,-121.8102526,1400000US06085512031,"Census Tract 5120.31, Santa Clara County, California",85,115526,6,4462,512031,3011,315.4497298494958
6,85,502902,6085502902,5029.02,Census Tract 5029.02,G5020,S,2628378,0,37.2735860,-121.9156579,1400000US06085502902,"Census Tract 5029.02, Santa Clara County, California",85,142614,6,7619,502902,5755,315.561715643063
6,85,502601,6085502601,5026.01,Census Tract 5026.01,G5020,S,1410423,0,37.2902315,-121.9146920,1400000US06085502601,"Census Tract 5026.01, Santa Clara County, California",85,145991,6,2793,502601,2267,314.4982828613263
6,85,503803,6085503803,5038.03,Census Tract 5038.03,G5020,S,1044489,0,37.3836300,-121.8497075,1400000US06085503803,"Census Tract 5038.03, Santa Clara County, California",85,87292,6,4972,503803,755,315.43624386644757
6,85,512052,6085512052,5120.52,Census Tract 5120.52,G5020,S,1528195,7627,37.2484034,-121.8645577,1400000US06085512052,"Census Tract 5120.52, Santa Clara County, California",85,87437,6,4368,512052,2913,316.31419562768474
6,85,506802,6085506802,5068.02,Census Tract 5068.02,G5020,S,2043849,0,37.2469476,-121.9361956,1400000US06085506802,"Census Tract 5068.02, Santa Clara County, California",85,120466,6,5810,506802,4102,315.95914428206055
