STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,59,74106,6059074106,741.06,Census Tract 741.06,G5020,S,3750979,98651,33.7043732,-117.9165225,1400000US06059074106,"Census Tract 741.06, Orange County, California",59,66964,6,6840,74106,4174,309.9019199343816
6,59,74107,6059074107,741.07,Census Tract 741.07,G5020,S,1551265,12949,33.6995404,-117.8938358,1400000US06059074107,"Census Tract 741.07, Orange County, California",59,65326,6,6811,74107,4403,308.2157112932506
6,59,89107,6059089107,891.07,Census Tract 891.07,G5020,S,1367979,54648,33.7705331,-117.9004522,1400000US06059089107,"Census Tract 891.07, Orange County, California",59,79056,6,5353,89107,1893,309.3611192168018
6,59,74501,6059074501,745.01,Census Tract 745.01,G5020,S,542707,0,33.7385343,-117.8569750,1400000US06059074501,"Census Tract 745.01, Orange County, California",59,36333,6,7481,74501,3780,309.30680611462066
6,59,74407,6059074407,744.07,Census Tract 744.07,G5020,S,461619,0,33.7378844,-117.8422033,1400000US06059074407,"Census Tract 744.07, Orange County, California",59,38956,6,5642,74407,2796,310.2421514068472
6,59,74805,6059074805,748.05,Census Tract 748.05,G5020,S,470858,0,33.7371732,-117.9026546,1400000US06059074805,"Census Tract 748.05, Orange County, California",59,47458,6,5700,74805,1774,310.1730969544231
6,59,74110,6059074110,741.10,Census Tract 741.10,G5020,S,816884,0,33.7097314,-117.9006540,1400000US06059074110,"Census Tract 741.10, Orange County, California",59,102560,6,4181,74110,2202,308.7012996325566
6,59,89001,6059089001,890.01,Census Tract 890.01,G5020,S,1305083,0,33.7523664,-117.9332194,1400000US06059089001,"Census Tract 890.01, Orange County, California",59,53732,6,7696,89001,1097,309.664852197429
6,59,74601,6059074601,746.01,Census Tract 746.01,G5020,S,1173764,0,33.7343240,-117.8712797,1400000US06059074601,"Census Tract 746.01, Orange County, California",59,62500,6,7862,74601,4340,308.8540333964378
6,59,75100,6059075100,751,Census Tract 751,G5020,S,1495756,0,33.7556640,-117.8797292,1400000US06059075100,"Census Tract 751, Orange County, California",59,44871,6,10050,75100,4130,308.98698244187744
6,59,75201,6059075201,752.01,Census Tract 752.01,G5020,S,1078104,79364,33.7558715,-117.9004645,1400000US06059075201,"Census Tract 752.01, Orange County, California",59,49715,6,6417,75201,1222,309.44797278164265
6,59,75202,6059075202,752.02,Census Tract 752.02,G5020,S,1168280,0,33.7548958,-117.8902573,1400000US06059075202,"Census Tract 752.02, Orange County, California",59,64213,6,5510,75202,1422,309.4143239422726
6,59,75301,6059075301,753.01,Census Tract 753.01,G5020,S,1630449,39063,33.7749556,-117.8825621,1400000US06059075301,"Census Tract 753.01, Orange County, California",59,57207,6,5994,75301,2368,307.976616886802
6,59,75302,6059075302,753.02,Census Tract 753.02,G5020,S,1253342,122575,33.7649688,-117.8897014,1400000US06059075302,"Census Tract 753.02, Orange County, California",59,69449,6,4812,75302,1906,308.40294599528465
6,59,74701,6059074701,747.01,Census Tract 747.01,G5020,S,1048262,0,33.7309170,-117.8955125,1400000US06059074701,"Census Tract 747.01, Orange County, California",59,61146,6,8599,74701,4146,309.22638082923396
6,59,74702,6059074702,747.02,Census Tract 747.02,G5020,S,888569,0,33.7308103,-117.8825445,1400000US06059074702,"Census Tract 747.02, Orange County, California",59,59452,6,6163,74702,3188,309.22203209045443
6,59,74602,6059074602,746.02,Census Tract 746.02,G5020,S,1010694,0,33.7363817,-117.8640231,1400000US06059074602,"Census Tract 746.02, Orange County, California",59,60068,6,8087,74602,4803,308.8671164357145
6,59,74802,6059074802,748.02,Census Tract 748.02,G5020,S,1130946,0,33.7442595,-117.8994228,1400000US06059074802,"Census Tract 748.02, Orange County, California",59,49904,6,6810,74802,2575,310.43186277430635
6,59,75303,6059075303,753.03,Census Tract 753.03,G5020,S,1367996,0,33.7661681,-117.8739775,1400000US06059075303,"Census Tract 753.03, Orange County, California",59,87024,6,3233,75303,2019,307.0245820986508
6,59,75401,6059075401,754.01,Census Tract 754.01,G5020,S,1420003,0,33.7674534,-117.8608693,1400000US06059075401,"Census Tract 754.01, Orange County, California",59,88036,6,4107,75401,2601,308.12582909486673
6,59,75403,6059075403,754.03,Census Tract 754.03,G5020,S,2498781,0,33.7532867,-117.8424353,1400000US06059075403,"Census Tract 754.03, Orange County, California",59,66532,6,7189,75403,4526,309.6951863801458
6,59,75404,6059075404,754.04,Census Tract 754.04,G5020,S,1909804,0,33.7679798,-117.8477516,1400000US06059075404,"Census Tract 754.04, Orange County, California",59,70694,6,6525,75404,4219,309.7374257470418
6,59,89004,6059089004,890.04,Census Tract 890.04,G5020,S,1292714,0,33.7524445,-117.9245717,1400000US06059089004,"Census Tract 890.04, Orange County, California",59,41853,6,7422,89004,1603,309.80346489487033
6,59,89102,6059089102,891.02,Census Tract 891.02,G5020,S,1658139,37081,33.7634930,-117.9083925,1400000US06059089102,"Census Tract 891.02, Orange County, California",59,58043,6,7021,89102,2113,309.4023819284303
6,59,89104,6059089104,891.04,Census Tract 891.04,G5020,S,780928,34414,33.7571126,-117.9096281,1400000US06059089104,"Census Tract 891.04, Orange County, California",59,46949,6,6150,89104,1485,309.8099587345423
6,59,89105,6059089105,891.05,Census Tract 891.05,G5020,S,1224993,23027,33.7526801,-117.9120770,1400000US06059089105,"Census Tract 891.05, Orange County, California",59,54318,6,6543,89105,1419,309.27203375339144
6,59,75405,6059075405,754.05,Census Tract 754.05,G5020,S,884092,0,33.7634533,-117.8412681,1400000US06059075405,"Census Tract 754.05, Orange County, California",59,67652,6,3180,75405,2084,310.0456817380329
6,59,75505,6059075505,755.05,Census Tract 755.05,G5020,S,1670437,0,33.7440129,-117.8247177,1400000US06059075505,"Census Tract 755.05, Orange County, California",59,70938,6,3528,75505,1767,309.165485161448
6,59,75515,6059075515,755.15,Census Tract 755.15,G5020,S,18979008,33451,33.7034747,-117.8322336,1400000US06059075515,"Census Tract 755.15, Orange County, California",59,79402,6,18827,75515,7264,310.1903639991237
6,59,99202,6059099202,992.02,Census Tract 992.02,G5020,S,1768336,19922,33.7336169,-117.9248099,1400000US06059099202,"Census Tract 992.02, Orange County, California",59,55775,6,8430,99202,1563,309.495717413661
6,59,99203,6059099203,992.03,Census Tract 992.03,G5020,S,1274203,0,33.7378670,-117.9417387,1400000US06059099203,"Census Tract 992.03, Orange County, California",59,68384,6,6416,99203,1950,309.6811035346551
6,59,74003,6059074003,740.03,Census Tract 740.03,G5020,S,3600726,17402,33.7068329,-117.8625730,1400000US06059074003,"Census Tract 740.03, Orange County, California",59,86202,6,4311,74003,2613,310.1903639991237
6,59,74801,6059074801,748.01,Census Tract 748.01,G5020,S,861320,0,33.7435528,-117.8892270,1400000US06059074801,"Census Tract 748.01, Orange County, California",59,64405,6,6568,74801,1271,309.91597885160115
6,59,74300,6059074300,743,Census Tract 743,G5020,S,520237,0,33.7196057,-117.8602323,1400000US06059074300,"Census Tract 743, Orange County, California",59,56000,6,4163,74300,2071,309.44688747172773
6,59,74403,6059074403,744.03,Census Tract 744.03,G5020,S,4447818,0,33.7280568,-117.8469700,1400000US06059074403,"Census Tract 744.03, Orange County, California",59,38005,6,6023,74403,3416,311.1697605693101
6,59,74803,6059074803,748.03,Census Tract 748.03,G5020,S,1604059,136802,33.7358623,-117.9084412,1400000US06059074803,"Census Tract 748.03, Orange County, California",59,56016,6,8937,74803,2027,309.3024600808699
6,59,75701,6059075701,757.01,Census Tract 757.01,G5020,S,2111675,0,33.7667020,-117.8278544,1400000US06059075701,"Census Tract 757.01, Orange County, California",59,82591,6,7366,75701,5235,310.3122474052395
6,59,74405,6059074405,744.05,Census Tract 744.05,G5020,S,1057964,0,33.7522099,-117.8596881,1400000US06059074405,"Census Tract 744.05, Orange County, California",59,39290,6,6187,74405,3949,309.52392187921794
6,59,74806,6059074806,748.06,Census Tract 748.06,G5020,S,615101,0,33.7368361,-117.8922742,1400000US06059074806,"Census Tract 748.06, Orange County, California",59,54727,6,5299,74806,1645,309.6052465306822
6,59,74901,6059074901,749.01,Census Tract 749.01,G5020,S,1010604,0,33.7432715,-117.8789080,1400000US06059074901,"Census Tract 749.01, Orange County, California",59,48530,6,9846,74901,1754,309.10456076700973
6,59,74902,6059074902,749.02,Census Tract 749.02,G5020,S,562375,0,33.7370553,-117.8799075,1400000US06059074902,"Census Tract 749.02, Orange County, California",59,45324,6,6497,74902,1444,309.4067246064208
6,59,75806,6059075806,758.06,Census Tract 758.06,G5020,S,2020168,0,33.7805453,-117.8376698,1400000US06059075806,"Census Tract 758.06, Orange County, California",59,77546,6,6569,75806,4493,308.0512447442757
6,59,88903,6059088903,889.03,Census Tract 889.03,G5020,S,1948055,0,33.7535135,-117.9447927,1400000US06059088903,"Census Tract 889.03, Orange County, California",59,63339,6,8926,88903,1589,309.6561839848826
6,59,99247,6059099247,992.47,Census Tract 992.47,G5020,S,615518,0,33.7416273,-117.9331000,1400000US06059099247,"Census Tract 992.47, Orange County, California",59,62143,6,3542,99247,610,309.56296408142623
6,59,99248,6059099248,992.48,Census Tract 992.48,G5020,S,607380,0,33.7416930,-117.9244479,1400000US06059099248,"Census Tract 992.48, Orange County, California",59,49275,6,5743,99248,1591,309.8229454397479
6,59,99249,6059099249,992.49,Census Tract 992.49,G5020,S,551569,21847,33.7429733,-117.9165724,1400000US06059099249,"Census Tract 992.49, Orange County, California",59,55863,6,4690,99249,1248,309.86297960821827
6,59,74406,6059074406,744.06,Census Tract 744.06,G5020,S,1529728,0,33.7481442,-117.8492851,1400000US06059074406,"Census Tract 744.06, Orange County, California",59,47256,6,3422,74406,2241,309.8142877805818
6,59,74502,6059074502,745.02,Census Tract 745.02,G5020,S,792510,0,33.7284144,-117.8600160,1400000US06059074502,"Census Tract 745.02, Orange County, California",59,58250,6,5631,74502,2901,309.4197517661279
6,59,75002,6059075002,750.02,Census Tract 750.02,G5020,S,1517055,0,33.7480730,-117.8685376,1400000US06059075002,"Census Tract 750.02, Orange County, California",59,30285,6,8022,75002,4573,309.16657283587017
6,59,75003,6059075003,750.03,Census Tract 750.03,G5020,S,526185,0,33.7572599,-117.8707228,1400000US06059075003,"Census Tract 750.03, Orange County, California",59,38590,6,7205,75003,2425,309.3915245958264
6,59,75902,6059075902,759.02,Census Tract 759.02,G5020,S,1916586,0,33.7807141,-117.8508355,1400000US06059075902,"Census Tract 759.02, Orange County, California",59,69669,6,6820,75902,5214,308.2003700167599
6,59,76000,6059076000,760,Census Tract 760,G5020,S,3187267,34230,33.7812601,-117.8679465,1400000US06059076000,"Census Tract 760, Orange County, California",59,62753,6,9353,76000,4535,308.77005225352445
6,59,75004,6059075004,750.04,Census Tract 750.04,G5020,S,344531,0,33.7582622,-117.8656949,1400000US06059075004,"Census Tract 750.04, Orange County, California",59,30577,6,5344,75004,1987,309.7146831812249
6,59,75504,6059075504,755.04,Census Tract 755.04,G5020,S,2015181,0,33.7530974,-117.8244625,1400000US06059075504,"Census Tract 755.04, Orange County, California",59,66797,6,4077,75504,3380,309.3698071971235
6,59,74108,6059074108,741.08,Census Tract 741.08,G5020,S,2031758,110506,33.7211578,-117.9108898,1400000US06059074108,"Census Tract 741.08, Orange County, California",59,74770,6,5002,74108,2519,309.41323835018477
6,59,74109,6059074109,741.09,Census Tract 741.09,G5020,S,864495,0,33.7211060,-117.8986838,1400000US06059074109,"Census Tract 741.09, Orange County, California",59,63558,6,3536,74109,2051,309.33070668966496
6,59,74111,6059074111,741.11,Census Tract 741.11,G5020,S,1448684,5399,33.7090417,-117.8928808,1400000US06059074111,"Census Tract 741.11, Orange County, California",59,85313,6,5449,74111,3830,308.83113487962646
6,59,74200,6059074200,742,Census Tract 742,G5020,S,1501162,0,33.7216725,-117.8700847,1400000US06059074200,"Census Tract 742, Orange County, California",59,78355,6,9575,74200,5968,309.4067246064208
6,59,74004,6059074004,740.04,Census Tract 740.04,G5020,S,1345987,0,33.7015157,-117.8725713,1400000US06059074004,"Census Tract 740.04, Orange County, California",59,59867,6,8555,74004,3937,309.35025842081126
6,59,74005,6059074005,740.05,Census Tract 740.05,G5020,S,1282141,0,33.7088171,-117.8809246,1400000US06059074005,"Census Tract 740.05, Orange County, California",59,74524,6,7955,74005,5101,309.8878594960764
6,59,74006,6059074006,740.06,Census Tract 740.06,G5020,S,671983,0,33.6980366,-117.8817476,1400000US06059074006,"Census Tract 740.06, Orange County, California",59,55071,6,5590,74006,3876,308.36464534755754
6,59,74102,6059074102,741.02,Census Tract 741.02,G5020,S,1139512,0,33.7212817,-117.8902708,1400000US06059074102,"Census Tract 741.02, Orange County, California",59,86297,6,6653,74102,3027,309.61933761596435
6,59,74103,6059074103,741.03,Census Tract 741.03,G5020,S,990668,0,33.7217274,-117.8809064,1400000US06059074103,"Census Tract 741.03, Orange County, California",59,73200,6,4923,74103,3093,309.3024600808699
