STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
4,13,105002,4013105002,1050.02,Census Tract 1050.02,G5020,S,8045189,2469,33.5228894,-111.9475270,1400000US04013105002,"Census Tract 1050.02, Maricopa County, Arizona",13,175368,4,3078,105002,2914,318.8036522803433
4,13,216813,4013216813,2168.13,Census Tract 2168.13,G5020,S,4472667,130010,33.5718035,-111.9115720,1400000US04013216813,"Census Tract 2168.13, Maricopa County, Arizona",13,103313,4,4182,216813,3886,318.34832898556107
4,13,216816,4013216816,2168.16,Census Tract 2168.16,G5020,S,16171788,5131,33.6115386,-111.9076426,1400000US04013216816,"Census Tract 2168.16, Maricopa County, Arizona",13,111832,4,6186,216816,5583,321.2496032992639
4,13,216826,4013216826,2168.26,Census Tract 2168.26,G5020,S,2614697,3235,33.5887970,-111.8832683,1400000US04013216826,"Census Tract 2168.26, Maricopa County, Arizona",13,50495,4,4485,216826,4172,320.66929296116217
4,13,216902,4013216902,2169.02,Census Tract 2169.02,G5020,S,2544694,35270,33.5293730,-111.8988520,1400000US04013216902,"Census Tract 2169.02, Maricopa County, Arizona",13,66420,4,4025,216902,3710,320.9727051958396
4,13,217001,4013217001,2170.01,Census Tract 2170.01,G5020,S,2814258,34724,33.5153691,-111.9227688,1400000US04013217001,"Census Tract 2170.01, Maricopa County, Arizona",13,69929,4,4793,217001,4587,319.52064437135607
4,13,217101,4013217101,2171.01,Census Tract 2171.01,G5020,S,1294825,6663,33.5012471,-111.9053974,1400000US04013217101,"Census Tract 2171.01, Maricopa County, Arizona",13,63523,4,2811,217101,2405,322.0731386008621
4,13,217102,4013217102,2171.02,Census Tract 2171.02,G5020,S,1284002,1752,33.5038503,-111.8978049,1400000US04013217102,"Census Tract 2171.02, Maricopa County, Arizona",13,73194,4,3094,217102,2890,322.44663509734454
4,13,217201,4013217201,2172.01,Census Tract 2172.01,G5020,S,2060257,12183,33.4945112,-111.9253321,1400000US04013217201,"Census Tract 2172.01, Maricopa County, Arizona",13,61042,4,1775,217201,1635,321.7363587051789
4,13,217700,4013217700,2177,Census Tract 2177,G5020,S,2566393,0,33.4876299,-111.9003184,1400000US04013217700,"Census Tract 2177, Maricopa County, Arizona",13,75081,4,5358,217700,4864,322.9942601324934
4,13,216848,4013216848,2168.48,Census Tract 2168.48,G5020,S,13407832,0,33.5928575,-111.7877469,1400000US04013216848,"Census Tract 2168.48, Maricopa County, Arizona",13,139803,4,6377,216848,5836,320.2790960204051
