STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
53,33,3800,53033003800,38,Census Tract 38,G5020,S,624606,0,47.6794093,-122.2955292,1400000US53033003800,"Census Tract 38, King County, Washington",33,99722,53,2151,3800,1734,307.0964534953298
53,33,7900,53033007900,79,Census Tract 79,G5020,S,698477,0,47.6143865,-122.3076722,1400000US53033007900,"Census Tract 79, King County, Washington",33,76652,53,6339,7900,4800,307.1771221054343
53,33,2500,53033002500,25,Census Tract 25,G5020,S,984334,0,47.6838969,-122.3022793,1400000US53033002500,"Census Tract 25, King County, Washington",33,107401,53,3316,2500,2802,307.00356584249266
53,33,8100,53033008100,81,Census Tract 81,G5020,S,827621,368877,47.6058683,-122.3393353,1400000US53033008100,"Census Tract 81, King County, Washington",33,79800,53,4872,8100,3144,305.33772898847053
53,33,900,53033000900,9,Census Tract 9,G5020,S,1007015,1851901,47.7063747,-122.2749586,1400000US53033000900,"Census Tract 9, King County, Washington",33,135625,53,1972,900,1602,303.9524110983933
53,33,5400,53033005400,54,Census Tract 54,G5020,S,1199276,647090,47.6486281,-122.3381362,1400000US53033005400,"Census Tract 54, King County, Washington",33,95703,53,5683,5400,4603,307.329479099155
53,33,8600,53033008600,86,Census Tract 86,G5020,S,711564,0,47.6071031,-122.3166894,1400000US53033008600,"Census Tract 86, King County, Washington",33,50774,53,5300,8600,3115,307.66226281946876
53,33,9600,53033009600,96,Census Tract 96,G5020,S,1905650,1385222,47.5899898,-122.3882351,1400000US53033009600,"Census Tract 96, King County, Washington",33,92888,53,5783,9600,4913,301.81308463292874
53,33,9701,53033009701,97.01,Census Tract 97.01,G5020,S,1861357,1607123,47.5731929,-122.4101745,1400000US53033009701,"Census Tract 97.01, King County, Washington",33,106821,53,6254,9701,5255,302.71751324000746
53,33,9702,53033009702,97.02,Census Tract 97.02,G5020,S,2219067,0,47.5719270,-122.3960103,1400000US53033009702,"Census Tract 97.02, King County, Washington",33,114741,53,5551,9702,4808,305.3500587653999
53,33,9800,53033009800,98,Census Tract 98,G5020,S,1930637,0,47.5719546,-122.3830940,1400000US53033009800,"Census Tract 98, King County, Washington",33,105110,53,7326,9800,6345,306.60137356634806
53,33,9900,53033009900,99,Census Tract 99,G5020,S,6566267,2286605,47.5794536,-122.3550326,1400000US53033009900,"Census Tract 99, King County, Washington",33,75000,53,5675,9900,4456,304.9402829410694
53,33,10100,53033010100,101,Census Tract 101,G5020,S,2509573,2170059,47.5673382,-122.2727022,1400000US53033010100,"Census Tract 101, King County, Washington",33,64161,53,8025,10100,3132,306.53033082925754
53,33,10200,53033010200,102,Census Tract 102,G5020,S,2783290,2076608,47.5564564,-122.2517138,1400000US53033010200,"Census Tract 102, King County, Washington",33,99483,53,4570,10200,2961,305.52702522539636
53,33,10300,53033010300,103,Census Tract 103,G5020,S,1660254,0,47.5541363,-122.2826390,1400000US53033010300,"Census Tract 103, King County, Washington",33,60444,53,7084,10300,3082,307.27429838922035
53,33,10600,53033010600,106,Census Tract 106,G5020,S,2594296,817132,47.5476485,-122.3918719,1400000US53033010600,"Census Tract 106, King County, Washington",33,90306,53,8328,10600,6664,305.4508931226863
53,33,10800,53033010800,108,Census Tract 108,G5020,S,4093698,330620,47.5440342,-122.3498743,1400000US53033010800,"Census Tract 108, King County, Washington",33,85885,53,4970,10800,2530,304.0385278205293
53,33,10900,53033010900,109,Census Tract 109,G5020,S,4775571,272911,47.5425052,-122.3199752,1400000US53033010900,"Census Tract 109, King County, Washington",33,58611,53,1045,10900,849,309.86406144155006
53,33,11800,53033011800,118,Census Tract 118,G5020,S,2301121,1668242,47.5168113,-122.2639039,1400000US53033011800,"Census Tract 118, King County, Washington",33,49264,53,8415,11800,2114,306.61468963356316
53,33,11101,53033011101,111.01,Census Tract 111.01,G5020,S,1150365,0,47.5394840,-122.2773724,1400000US53033011101,"Census Tract 111.01, King County, Washington",33,52311,53,5450,11101,1215,307.79425388883305
53,33,11900,53033011900,119,Census Tract 119,G5020,S,3197091,1217487,47.5072824,-122.2517998,1400000US53033011900,"Census Tract 119, King County, Washington",33,86603,53,7597,11900,2201,306.0898620713018
53,33,12000,53033012000,120,Census Tract 120,G5020,S,1447511,0,47.5129291,-122.3806808,1400000US53033012000,"Census Tract 120, King County, Washington",33,100855,53,3615,12000,2877,305.6679713216623
53,33,11200,53033011200,112,Census Tract 112,G5020,S,2771967,228120,47.5296655,-122.3262393,1400000US53033011200,"Census Tract 112, King County, Washington",33,35120,53,3719,11200,1697,307.3007881192764
