STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
53,63,10601,53063010601,106.01,Census Tract 106.01,G5020,S,7503588,627456,47.7314840,-117.5056498,1400000US53063010601,"Census Tract 106.01, Spokane County, Washington",63,64656,53,3802,10601,3381,303.50272273808446
53,63,10602,53063010602,106.02,Census Tract 106.02,G5020,S,8205943,0,47.7431921,-117.4892582,1400000US53063010602,"Census Tract 106.02, Spokane County, Washington",63,84069,53,8034,10602,7442,303.63916525986906
53,63,10401,53063010401,104.01,Census Tract 104.01,G5020,S,28168917,0,47.6405937,-117.5907240,1400000US53063010401,"Census Tract 104.01, Spokane County, Washington",63,45239,53,6843,10401,4917,309.38066635213636
53,63,10700,53063010700,107,Census Tract 107,G5020,S,12169639,0,47.7412908,-117.4521233,1400000US53063010700,"Census Tract 107, Spokane County, Washington",63,103894,53,6603,10700,5952,303.6800685607973
53,63,10800,53063010800,108,Census Tract 108,G5020,S,1239572,0,47.7500587,-117.4083743,1400000US53063010800,"Census Tract 108, Spokane County, Washington",63,31797,53,2026,10800,1797,304.54720546061617
53,63,11101,53063011101,111.01,Census Tract 111.01,G5020,S,1917190,0,47.7222803,-117.4033288,1400000US53063011101,"Census Tract 111.01, Spokane County, Washington",63,25693,53,6454,11101,4765,304.7591035376936
53,63,11102,53063011102,111.02,Census Tract 111.02,G5020,S,2391020,0,47.7387511,-117.4024276,1400000US53063011102,"Census Tract 111.02, Spokane County, Washington",63,34167,53,4455,11102,3544,304.6103618302718
53,63,4200,53063004200,42,Census Tract 42,G5020,S,2651374,0,47.6340716,-117.4184943,1400000US53063004200,"Census Tract 42, Spokane County, Washington",63,88750,53,4644,4200,4402,298.93084664020665
53,63,4300,53063004300,43,Census Tract 43,G5020,S,2305355,0,47.6229539,-117.4139910,1400000US53063004300,"Census Tract 43, Spokane County, Washington",63,78882,53,3269,4300,3199,300.808846462024
53,63,11202,53063011202,112.02,Census Tract 112.02,G5020,S,33157387,0,47.7409941,-117.3331075,1400000US53063011202,"Census Tract 112.02, Spokane County, Washington",63,49063,53,4139,11202,3926,303.5413968064198
53,63,5000,53063005000,50,Census Tract 50,G5020,S,10663419,0,47.5885705,-117.3692775,1400000US53063005000,"Census Tract 50, Spokane County, Washington",63,56861,53,3766,5000,3385,304.8919192097404
53,63,13600,53063013600,136,Census Tract 136,G5020,S,31899590,0,47.6054260,-117.4835800,1400000US53063013600,"Census Tract 136, Spokane County, Washington",63,59880,53,4918,13600,4279,301.1781538553923
53,63,3100,53063003100,31,Census Tract 31,G5020,S,2265051,0,47.6458408,-117.3918401,1400000US53063003100,"Census Tract 31, Spokane County, Washington",63,45102,53,4658,3100,4076,300.62959120100044
53,63,11201,53063011201,112.01,Census Tract 112.01,G5020,S,15014579,0,47.7396162,-117.3775169,1400000US53063011201,"Census Tract 112.01, Spokane County, Washington",63,35419,53,7284,11201,5903,305.41280969630975
53,63,900,53063000900,9,Census Tract 9,G5020,S,4291691,0,47.7077852,-117.4717467,1400000US53063000900,"Census Tract 9, Spokane County, Washington",63,57711,53,6328,900,5650,302.8639801429122
53,63,2300,53063002300,23,Census Tract 23,G5020,S,2519306,224703,47.6668625,-117.4498224,1400000US53063002300,"Census Tract 23, Spokane County, Washington",63,45195,53,5727,2300,5088,302.53532910643696
53,63,2400,53063002400,24,Census Tract 24,G5020,S,2092898,72733,47.6667098,-117.4230915,1400000US53063002400,"Census Tract 24, Spokane County, Washington",63,20686,53,2979,2400,2131,304.531411348311
53,63,1100,53063001100,11,Census Tract 11,G5020,S,2302538,0,47.6929996,-117.4451548,1400000US53063001100,"Census Tract 11, Spokane County, Washington",63,54261,53,3449,1100,2915,303.2772612311126
53,63,1200,53063001200,12,Census Tract 12,G5020,S,1000481,0,47.6950548,-117.4311576,1400000US53063001200,"Census Tract 12, Spokane County, Washington",63,43614,53,2513,1200,2330,303.91386575509694
53,63,1300,53063001300,13,Census Tract 13,G5020,S,1577450,0,47.6942591,-117.4183329,1400000US53063001300,"Census Tract 13, Spokane County, Washington",63,41000,53,3445,1300,3114,303.9524110983933
53,63,1600,53063001600,16,Census Tract 16,G5020,S,2102595,0,47.6923205,-117.3712197,1400000US53063001600,"Census Tract 16, Spokane County, Washington",63,32699,53,3474,1600,2730,304.3372051545905
53,63,13700,53063013700,137,Census Tract 137,G5020,S,70974219,625656,47.6607719,-117.5254260,1400000US53063013700,"Census Tract 137, Spokane County, Washington",63,54861,53,3200,13700,2561,307.25442746784466
53,63,3600,53063003600,36,Census Tract 36,G5020,S,4415155,371675,47.6738581,-117.4684527,1400000US53063003600,"Census Tract 36, Spokane County, Washington",63,30491,53,4345,3600,3550,301.1456816350216
53,63,11300,53063011300,113,Census Tract 113,G5020,S,18608936,421888,47.7023266,-117.2903039,1400000US53063011300,"Census Tract 113, Spokane County, Washington",63,75625,53,8093,11300,7068,302.3965033920071
