STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
29,510,108100,29510108100,1081,Census Tract 1081,G5020,S,3214671,0,38.7072590,-90.2391665,1400000US29510108100,"Census Tract 1081, St. Louis city, Missouri",510,32609,29,3309,108100,118,303.79134772321555
29,510,102300,29510102300,1023,Census Tract 1023,G5020,S,1282333,49882,38.5642278,-90.2834473,1400000US29510102300,"Census Tract 1023, St. Louis city, Missouri",510,51650,29,2126,102300,1763,306.1867637812992
29,510,102400,29510102400,1024,Census Tract 1024,G5020,S,584695,0,38.5771575,-90.2778545,1400000US29510102400,"Census Tract 1024, St. Louis city, Missouri",510,45375,29,2499,102400,2252,309.59332210818826
29,510,103100,29510103100,1031,Census Tract 1031,G5020,S,1188365,35565,38.5885152,-90.3106306,1400000US29510103100,"Census Tract 1031, St. Louis city, Missouri",510,43201,29,3098,103100,2795,307.4750412476878
29,510,103400,29510103400,1034,Census Tract 1034,G5020,S,909286,0,38.6077397,-90.3015703,1400000US29510103400,"Census Tract 1034, St. Louis city, Missouri",510,66509,29,1860,103400,1724,307.55987569282104
29,510,102500,29510102500,1025,Census Tract 1025,G5020,S,954053,0,38.5719913,-90.2769595,1400000US29510102500,"Census Tract 1025, St. Louis city, Missouri",510,44507,29,1949,102500,1724,307.3758123961284
29,510,103700,29510103700,1037,Census Tract 1037,G5020,S,910969,0,38.6080393,-90.2918864,1400000US29510103700,"Census Tract 1037, St. Louis city, Missouri",510,50565,29,2406,103700,2184,309.4110671386905
29,510,103800,29510103800,1038,Census Tract 1038,G5020,S,1640332,35369,38.5978485,-90.3091337,1400000US29510103800,"Census Tract 1038, St. Louis city, Missouri",510,74425,29,3856,103800,3383,307.00467204807734
29,510,104500,29510104500,1045,Census Tract 1045,G5020,S,1939714,0,38.6265570,-90.2808684,1400000US29510104500,"Census Tract 1045, St. Louis city, Missouri",510,54286,29,1990,104500,1487,310.0208320361538
29,510,106100,29510106100,1061,Census Tract 1061,G5020,S,962329,0,38.6693968,-90.2811551,1400000US29510106100,"Census Tract 1061, St. Louis city, Missouri",510,18895,29,1826,106100,32,307.72167569956
29,510,105500,29510105500,1055,Census Tract 1055,G5020,S,1195495,0,38.6600293,-90.2769757,1400000US29510105500,"Census Tract 1055, St. Louis city, Missouri",510,36130,29,2819,105500,67,306.9427096662791
29,510,105200,29510105200,1052,Census Tract 1052,G5020,S,830999,0,38.6505568,-90.2888132,1400000US29510105200,"Census Tract 1052, St. Louis city, Missouri",510,60938,29,2981,105200,1098,307.78985638539103
29,510,105300,29510105300,1053,Census Tract 1053,G5020,S,958234,0,38.6575904,-90.2883021,1400000US29510105300,"Census Tract 1053, St. Louis city, Missouri",510,23274,29,2796,105300,289,307.2444908418231
29,510,105400,29510105400,1054,Census Tract 1054,G5020,S,721523,0,38.6650530,-90.2895436,1400000US29510105400,"Census Tract 1054, St. Louis city, Missouri",510,30326,29,2388,105400,471,306.5447646191815
29,510,104200,29510104200,1042,Census Tract 1042,G5020,S,1130319,0,38.6283945,-90.3001219,1400000US29510104200,"Census Tract 1042, St. Louis city, Missouri",510,56758,29,3292,104200,2878,307.311823877789
29,510,103600,29510103600,1036,Census Tract 1036,G5020,S,1372429,0,38.6168916,-90.2893166,1400000US29510103600,"Census Tract 1036, St. Louis city, Missouri",510,48929,29,1298,103600,1185,309.4088958907698
29,510,105198,29510105198,1051.98,Census Tract 1051.98,G5020,S,1175841,0,38.6495453,-90.2997487,1400000US29510105198,"Census Tract 1051.98, St. Louis city, Missouri",510,57222,29,3120,105198,2292,307.100875021007
29,510,106500,29510106500,1065,Census Tract 1065,G5020,S,1064162,0,38.6689218,-90.2655684,1400000US29510106500,"Census Tract 1065, St. Louis city, Missouri",510,35000,29,2863,106500,122,307.88327076393296
29,510,106600,29510106600,1066,Census Tract 1066,G5020,S,854853,0,38.6627121,-90.2664515,1400000US29510106600,"Census Tract 1066, St. Louis city, Missouri",510,18779,29,1694,106600,49,307.3956643578373
29,510,106300,29510106300,1063,Census Tract 1063,G5020,S,1017115,0,38.6778384,-90.2714789,1400000US29510106300,"Census Tract 1063, St. Louis city, Missouri",510,28056,29,1408,106300,13,306.95377659891307
29,510,107200,29510107200,1072,Census Tract 1072,G5020,S,655397,0,38.7006180,-90.2534537,1400000US29510107200,"Census Tract 1072, St. Louis city, Missouri",510,21467,29,1140,107200,0,306.7632905233205
29,510,106700,29510106700,1067,Census Tract 1067,G5020,S,1238490,0,38.6681216,-90.2527465,1400000US29510106700,"Census Tract 1067, St. Louis city, Missouri",510,18962,29,3168,106700,2,307.73597466849463
29,510,107400,29510107400,1074,Census Tract 1074,G5020,S,1085049,0,38.6958808,-90.2505970,1400000US29510107400,"Census Tract 1074, St. Louis city, Missouri",510,23896,29,2561,107400,33,306.3158501833898
29,510,107500,29510107500,1075,Census Tract 1075,G5020,S,911787,0,38.6913421,-90.2444047,1400000US29510107500,"Census Tract 1075, St. Louis city, Missouri",510,23333,29,1991,107500,28,307.8206357289748
29,510,107600,29510107600,1076,Census Tract 1076,G5020,S,1145685,0,38.6849338,-90.2389790,1400000US29510107600,"Census Tract 1076, St. Louis city, Missouri",510,21678,29,1958,107600,57,308.627049195859
29,510,111100,29510111100,1111,Census Tract 1111,G5020,S,1090861,0,38.6484878,-90.2397912,1400000US29510111100,"Census Tract 1111, St. Louis city, Missouri",510,29315,29,2001,111100,60,308.1433720395006
29,510,111200,29510111200,1112,Census Tract 1112,G5020,S,1047490,0,38.6633743,-90.2505543,1400000US29510111200,"Census Tract 1112, St. Louis city, Missouri",510,22054,29,862,111200,66,307.15060657412755
29,510,111300,29510111300,1113,Census Tract 1113,G5020,S,951117,0,38.6592135,-90.2403939,1400000US29510111300,"Census Tract 1113, St. Louis city, Missouri",510,19261,29,1269,111300,3,307.08208247280805
29,510,111400,29510111400,1114,Census Tract 1114,G5020,S,911523,0,38.6547267,-90.2316895,1400000US29510111400,"Census Tract 1114, St. Louis city, Missouri",510,30601,29,1495,111400,24,308.1324079808102
29,510,111500,29510111500,1115,Census Tract 1115,G5020,S,788065,0,38.6506865,-90.2251410,1400000US29510111500,"Census Tract 1115, St. Louis city, Missouri",510,35153,29,617,111500,1,308.6445237442337
29,510,112200,29510112200,1122,Census Tract 1122,G5020,S,695272,0,38.6550030,-90.2689147,1400000US29510112200,"Census Tract 1122, St. Louis city, Missouri",510,22406,29,1363,112200,133,307.8810735632723
29,510,115400,29510115400,1154,Census Tract 1154,G5020,S,977870,0,38.5750025,-90.2604604,1400000US29510115400,"Census Tract 1154, St. Louis city, Missouri",510,35250,29,3441,115400,2130,308.30334051323683
29,510,115500,29510115500,1155,Census Tract 1155,G5020,S,1215464,0,38.5723148,-90.2460761,1400000US29510115500,"Census Tract 1155, St. Louis city, Missouri",510,25346,29,6929,115500,2349,308.8158669395584
29,510,115600,29510115600,1156,Census Tract 1156,G5020,S,1833610,812206,38.5739516,-90.2318005,1400000US29510115600,"Census Tract 1156, St. Louis city, Missouri",510,20853,29,4383,115600,1958,307.1561310997999
29,510,119200,29510119200,1192,Census Tract 1192,G5020,S,733658,0,38.6462108,-90.2482793,1400000US29510119200,"Census Tract 1192, St. Louis city, Missouri",510,49219,29,2019,119200,660,308.5461984935954
29,510,119300,29510119300,1193,Census Tract 1193,G5020,S,1179768,0,38.6400138,-90.2381614,1400000US29510119300,"Census Tract 1193, St. Louis city, Missouri",510,22056,29,4119,119300,2033,310.28960512659984
29,510,120200,29510120200,1202,Census Tract 1202,G5020,S,579422,0,38.6596094,-90.2086099,1400000US29510120200,"Census Tract 1202, St. Louis city, Missouri",510,19688,29,1439,120200,202,308.318669469593
29,510,114200,29510114200,1142,Census Tract 1142,G5020,S,1512784,0,38.5985814,-90.2852826,1400000US29510114200,"Census Tract 1142, St. Louis city, Missouri",510,55865,29,4561,114200,3826,309.27420729999585
29,510,114300,29510114300,1143,Census Tract 1143,G5020,S,1366899,0,38.5861304,-90.2846106,1400000US29510114300,"Census Tract 1143, St. Louis city, Missouri",510,65175,29,4995,114300,4517,309.7341770530873
29,510,115100,29510115100,1151,Census Tract 1151,G5020,S,1145337,0,38.5853619,-90.2712367,1400000US29510115100,"Census Tract 1151, St. Louis city, Missouri",510,30432,29,4519,115100,3568,310.23999400905046
29,510,110400,29510110400,1104,Census Tract 1104,G5020,S,885191,0,38.6591535,-90.2210771,1400000US29510110400,"Census Tract 1104, St. Louis city, Missouri",510,24179,29,2173,110400,28,309.0675569230809
29,510,110500,29510110500,1105,Census Tract 1105,G5020,S,1247137,0,38.6659536,-90.2176533,1400000US29510110500,"Census Tract 1105, St. Louis city, Missouri",510,19397,29,1070,110500,28,307.1019803783562
29,510,110100,29510110100,1101,Census Tract 1101,G5020,S,993915,0,38.6712646,-90.2394771,1400000US29510110100,"Census Tract 1101, St. Louis city, Missouri",510,24048,29,2820,110100,44,307.9908873445451
29,510,110200,29510110200,1102,Census Tract 1102,G5020,S,777608,0,38.6721943,-90.2282524,1400000US29510110200,"Census Tract 1102, St. Louis city, Missouri",510,26185,29,2142,110200,0,308.07318583075903
29,510,112300,29510112300,1123,Census Tract 1123,G5020,S,851831,0,38.6549037,-90.2573298,1400000US29510112300,"Census Tract 1123, St. Louis city, Missouri",510,18992,29,1888,112300,56,307.78216038982106
29,510,116100,29510116100,1161,Census Tract 1161,G5020,S,765176,0,38.5922486,-90.2550617,1400000US29510116100,"Census Tract 1161, St. Louis city, Missouri",510,38021,29,2888,116100,1629,309.89218594682546
29,510,116200,29510116200,1162,Census Tract 1162,G5020,S,2348173,0,38.6037797,-90.2574568,1400000US29510116200,"Census Tract 1162, St. Louis city, Missouri",510,51970,29,4061,116200,3200,306.11103088215515
29,510,116400,29510116400,1164,Census Tract 1164,G5020,S,1004115,0,38.5910370,-90.2398246,1400000US29510116400,"Census Tract 1164, St. Louis city, Missouri",510,25186,29,4384,116400,1309,309.64859882360366
29,510,107300,29510107300,1073,Census Tract 1073,G5020,S,1573602,0,38.7073981,-90.2552269,1400000US29510107300,"Census Tract 1073, St. Louis city, Missouri",510,27662,29,4979,107300,50,307.47063271890863
29,510,118400,29510118400,1184,Census Tract 1184,G5020,S,1448165,0,38.6286783,-90.2267576,1400000US29510118400,"Census Tract 1184, St. Louis city, Missouri",510,10545,29,1460,118400,821,310.5524447703679
29,510,118600,29510118600,1186,Census Tract 1186,G5020,S,2737925,0,38.6318226,-90.2506578,1400000US29510118600,"Census Tract 1186, St. Louis city, Missouri",510,40952,29,4163,118600,2020,310.54383546113746
29,510,113500,29510113500,1135,Census Tract 1135,G5020,S,1797194,0,38.6174957,-90.2743422,1400000US29510113500,"Census Tract 1135, St. Louis city, Missouri",510,41436,29,2389,113500,2304,310.6729155976196
