STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
27,123,30202,27123030202,302.02,Census Tract 302.02,G5020,S,2323598,16518,44.9767007,-93.1501854,1400000US27123030202,"Census Tract 302.02, Ramsey County, Minnesota",123,61921,27,2205,30202,1853,305.6634992780155
27,123,30500,27123030500,305,Census Tract 305,G5020,S,2522570,11829,44.9826596,-93.0972932,1400000US27123030500,"Census Tract 305, Ramsey County, Minnesota",123,31489,27,5944,30500,1198,306.1912172392999
27,123,30602,27123030602,306.02,Census Tract 306.02,G5020,S,2094737,645455,44.9878215,-93.0619341,1400000US27123030602,"Census Tract 306.02, Ramsey County, Minnesota",123,69362,27,4167,30602,2596,304.3372051545905
27,123,30800,27123030800,308,Census Tract 308,G5020,S,1575437,53069,44.9760452,-93.1154874,1400000US27123030800,"Census Tract 308, Ramsey County, Minnesota",123,44070,27,5253,30800,2125,305.56283608459603
27,123,30900,27123030900,309,Census Tract 309,G5020,S,927015,0,44.9743687,-93.0819442,1400000US27123030900,"Census Tract 309, Ramsey County, Minnesota",123,51458,27,4442,30900,1698,305.06728892481647
27,123,31000,27123031000,310,Census Tract 310,G5020,S,1038322,0,44.9761630,-93.0708334,1400000US27123031000,"Census Tract 310, Ramsey County, Minnesota",123,32714,27,4389,31000,1586,305.7797206136063
27,123,31100,27123031100,311,Census Tract 311,G5020,S,1370667,972,44.9779708,-93.0570567,1400000US27123031100,"Census Tract 311, Ramsey County, Minnesota",123,51306,27,3942,31100,1993,305.3747146721492
27,123,31200,27123031200,312,Census Tract 312,G5020,S,1396963,0,44.9703403,-93.1356392,1400000US27123031200,"Census Tract 312, Ramsey County, Minnesota",123,47955,27,2933,31200,1769,305.2693326884129
27,123,31400,27123031400,314,Census Tract 314,G5020,S,1606761,9777,44.9692738,-93.0989379,1400000US27123031400,"Census Tract 314, Ramsey County, Minnesota",123,30644,27,2925,31400,921,305.53821721898146
27,123,31701,27123031701,317.01,Census Tract 317.01,G5020,S,868150,0,44.9658343,-93.0519867,1400000US27123031701,"Census Tract 317.01, Ramsey County, Minnesota",123,52800,27,3107,31701,840,305.7495581148369
27,123,31702,27123031702,317.02,Census Tract 317.02,G5020,S,1735600,2423,44.9709006,-93.0376071,1400000US27123031702,"Census Tract 317.02, Ramsey County, Minnesota",123,30604,27,6519,31702,2048,304.95152762991444
27,123,30201,27123030201,302.01,Census Tract 302.01,G5020,S,1563946,0,44.9838410,-93.1592599,1400000US27123030201,"Census Tract 302.01, Ramsey County, Minnesota",123,72823,27,5435,30201,4640,305.1795758288382
27,123,34202,27123034202,342.02,Census Tract 342.02,G5020,S,630926,0,44.9505688,-93.0942628,1400000US27123034202,"Census Tract 342.02, Ramsey County, Minnesota",123,47939,27,5520,34202,3899,307.33389252147316
27,123,34201,27123034201,342.01,Census Tract 342.01,G5020,S,973449,133600,44.9467170,-93.0910381,1400000US27123034201,"Census Tract 342.01, Ramsey County, Minnesota",123,40441,27,2296,34201,1622,307.4276415599546
27,123,42800,27123042800,428,Census Tract 428,G5020,S,1607109,0,44.9569236,-93.0994839,1400000US27123042800,"Census Tract 428, Ramsey County, Minnesota",123,21333,27,2417,42800,513,306.61690884169514
27,123,43000,27123043000,430,Census Tract 430,G5020,S,3311905,613124,44.9370091,-93.1969939,1400000US27123043000,"Census Tract 430, Ramsey County, Minnesota",123,105947,27,6338,43000,5891,303.5413968064198
27,123,42900,27123042900,429,Census Tract 429,G5020,S,1211122,0,44.9427314,-93.1376753,1400000US27123042900,"Census Tract 429, Ramsey County, Minnesota",123,80606,27,3899,42900,3303,305.71827082474607
27,123,31500,27123031500,315,Census Tract 315,G5020,S,1037796,0,44.9668356,-93.0760019,1400000US27123031500,"Census Tract 315, Ramsey County, Minnesota",123,34167,27,3039,31500,943,305.8857903408182
27,123,31600,27123031600,316,Census Tract 316,G5020,S,1131420,0,44.9704165,-93.0573957,1400000US27123031600,"Census Tract 316, Ramsey County, Minnesota",123,41896,27,4197,31600,1451,305.6679713216623
27,123,31801,27123031801,318.01,Census Tract 318.01,G5020,S,1424723,0,44.9694392,-93.0263522,1400000US27123031801,"Census Tract 318.01, Ramsey County, Minnesota",123,32093,27,5143,31801,1948,305.1750862918711
27,123,31802,27123031802,318.02,Census Tract 318.02,G5020,S,1892489,165247,44.9707805,-93.0133617,1400000US27123031802,"Census Tract 318.02, Ramsey County, Minnesota",123,49303,27,4279,31802,2514,304.56863711450774
27,123,31900,27123031900,319,Census Tract 319,G5020,S,3666498,96418,44.9679779,-93.1900647,1400000US27123031900,"Census Tract 319, Ramsey County, Minnesota",123,28235,27,1900,31900,1218,307.85140765478275
27,123,32000,27123032000,320,Census Tract 320,G5020,S,990631,0,44.9627325,-93.1754780,1400000US27123032000,"Census Tract 320, Ramsey County, Minnesota",123,53260,27,3286,32000,2200,304.84578745571673
27,123,32200,27123032200,322,Census Tract 322,G5020,S,721713,0,44.9618615,-93.1599952,1400000US27123032200,"Census Tract 322, Ramsey County, Minnesota",123,56576,27,2474,32200,1911,305.7640817045691
27,123,32300,27123032300,323,Census Tract 323,G5020,S,1107813,0,44.9619037,-93.1518198,1400000US27123032300,"Census Tract 323, Ramsey County, Minnesota",123,71096,27,3490,32300,2513,305.9382338348682
27,123,32500,27123032500,325,Census Tract 325,G5020,S,806486,0,44.9579934,-93.1365039,1400000US27123032500,"Census Tract 325, Ramsey County, Minnesota",123,34805,27,3832,32500,1285,306.1232848820365
27,123,32600,27123032600,326,Census Tract 326,G5020,S,875625,0,44.9606179,-93.1213027,1400000US27123032600,"Census Tract 326, Ramsey County, Minnesota",123,42772,27,3744,32600,788,306.15669881904495
27,123,32700,27123032700,327,Census Tract 327,G5020,S,740026,0,44.9599665,-93.1113116,1400000US27123032700,"Census Tract 327, Ramsey County, Minnesota",123,34844,27,2769,32700,444,306.81758609963964
