STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
12,103,22402,12103022402,224.02,Census Tract 224.02,G5020,S,4887399,3016037,27.7933501,-82.7508167,1400000US12103022402,"Census Tract 224.02, Pinellas County, Florida",103,61250,12,4993,22402,4917,305.25026475201804
12,103,20400,12103020400,204,Census Tract 204,G5020,S,1377502,1069856,27.7483895,-82.6289690,1400000US12103020400,"Census Tract 204, Pinellas County, Florida",103,59338,12,2500,20400,1672,305.5180709102091
12,103,20500,12103020500,205,Census Tract 205,G5020,S,1582628,16218,27.7507467,-82.6435084,1400000US12103020500,"Census Tract 205, Pinellas County, Florida",103,21695,12,3674,20500,627,306.0341376476633
12,103,20600,12103020600,206,Census Tract 206,G5020,S,1750691,0,27.7471585,-82.6547794,1400000US12103020600,"Census Tract 206, Pinellas County, Florida",103,41125,12,4197,20600,407,306.2056898902001
12,103,20700,12103020700,207,Census Tract 207,G5020,S,1893524,13783,27.7500620,-82.6691148,1400000US12103020700,"Census Tract 207, Pinellas County, Florida",103,27527,12,3463,20700,51,305.28727632349194
12,103,20800,12103020800,208,Census Tract 208,G5020,S,2543988,16455,27.7569413,-82.6895368,1400000US12103020800,"Census Tract 208, Pinellas County, Florida",103,23851,12,5184,20800,394,305.12569072476947
12,103,21200,12103021200,212,Census Tract 212,G5020,S,1302580,0,27.7566181,-82.6527337,1400000US12103021200,"Census Tract 212, Pinellas County, Florida",103,20469,12,3514,21200,446,306.63466110412026
12,103,21500,12103021500,215,Census Tract 215,G5020,S,1291581,858086,27.7755405,-82.6314698,1400000US12103021500,"Census Tract 215, Pinellas County, Florida",103,33821,12,3311,21500,2887,306.06534636615396
12,103,21600,12103021600,216,Census Tract 216,G5020,S,1359724,0,27.7717336,-82.6524035,1400000US12103021600,"Census Tract 216, Pinellas County, Florida",103,21080,12,2436,21600,1353,307.7392742029965
12,103,21800,12103021800,218,Census Tract 218,G5020,S,2116541,0,27.7697454,-82.6651019,1400000US12103021800,"Census Tract 218, Pinellas County, Florida",103,44500,12,3175,21800,2649,307.27650607759836
12,103,21900,12103021900,219,Census Tract 219,G5020,S,2350048,3249,27.7714212,-82.6761132,1400000US12103021900,"Census Tract 219, Pinellas County, Florida",103,39595,12,2762,21900,2005,306.93828262262446
12,103,22000,12103022000,220,Census Tract 220,G5020,S,1818485,0,27.7668776,-82.6896388,1400000US12103022000,"Census Tract 220, Pinellas County, Florida",103,34334,12,3034,22000,713,306.1388791564858
12,103,22200,12103022200,222,Census Tract 222,G5020,S,2251459,1538,27.7722895,-82.7060175,1400000US12103022200,"Census Tract 222, Pinellas County, Florida",103,42092,12,4222,22200,2946,305.7484408459827
12,103,22301,12103022301,223.01,Census Tract 223.01,G5020,S,1886951,10947,27.7667762,-82.7232895,1400000US12103022301,"Census Tract 223.01, Pinellas County, Florida",103,46875,12,3060,22301,2636,306.214595310321
12,103,22302,12103022302,223.02,Census Tract 223.02,G5020,S,2580497,50397,27.7759418,-82.7232075,1400000US12103022302,"Census Tract 223.02, Pinellas County, Florida",103,52850,12,3700,22302,3214,306.34587719613666
12,103,22401,12103022401,224.01,Census Tract 224.01,G5020,S,2664788,1680768,27.7692260,-82.7457446,1400000US12103022401,"Census Tract 224.01, Pinellas County, Florida",103,74519,12,3656,22401,3354,306.15669881904495
12,103,22501,12103022501,225.01,Census Tract 225.01,G5020,S,2858475,33779,27.7863565,-82.7249007,1400000US12103022501,"Census Tract 225.01, Pinellas County, Florida",103,42948,12,4951,22501,4289,306.99582213316967
12,103,22502,12103022502,225.02,Census Tract 225.02,G5020,S,2219639,18963,27.8019984,-82.7355984,1400000US12103022502,"Census Tract 225.02, Pinellas County, Florida",103,56199,12,3977,22502,3304,307.9173225431958
12,103,22503,12103022503,225.03,Census Tract 225.03,G5020,S,2933442,4154,27.8006095,-82.7206674,1400000US12103022503,"Census Tract 225.03, Pinellas County, Florida",103,68056,12,5370,22503,4335,307.09534808983904
12,103,22601,12103022601,226.01,Census Tract 226.01,G5020,S,1456551,15701,27.7868535,-82.7062973,1400000US12103022601,"Census Tract 226.01, Pinellas County, Florida",103,50647,12,3497,22601,3050,305.83779093396754
12,103,22602,12103022602,226.02,Census Tract 226.02,G5020,S,2196322,15951,27.7995085,-82.7059830,1400000US12103022602,"Census Tract 226.02, Pinellas County, Florida",103,61597,12,4735,22602,4255,306.6357705377418
12,103,22700,12103022700,227,Census Tract 227,G5020,S,2330628,117484,27.7861425,-82.6892847,1400000US12103022700,"Census Tract 227, Pinellas County, Florida",103,56983,12,4155,22700,3198,306.88514603099446
12,103,22801,12103022801,228.01,Census Tract 228.01,G5020,S,2034923,19357,27.8041538,-82.6894716,1400000US12103022801,"Census Tract 228.01, Pinellas County, Florida",103,48471,12,4821,22801,3777,307.5378462038222
12,103,22802,12103022802,228.02,Census Tract 228.02,G5020,S,1594080,25599,27.7958573,-82.6887234,1400000US12103022802,"Census Tract 228.02, Pinellas County, Florida",103,63667,12,3742,22802,2773,307.43535899118376
12,103,22901,12103022901,229.01,Census Tract 229.01,G5020,S,2219675,128157,27.7860139,-82.6682559,1400000US12103022901,"Census Tract 229.01, Pinellas County, Florida",103,53182,12,2851,22901,2024,306.5591967598592
12,103,23100,12103023100,231,Census Tract 231,G5020,S,1089409,3536,27.7996093,-82.6586537,1400000US12103023100,"Census Tract 231, Pinellas County, Florida",103,43200,12,2305,23100,1620,306.721167705622
12,103,23200,12103023200,232,Census Tract 232,G5020,S,1311891,0,27.7993677,-82.6508380,1400000US12103023200,"Census Tract 232, Pinellas County, Florida",103,65282,12,2864,23200,2539,306.3703383651459
12,103,23300,12103023300,233,Census Tract 233,G5020,S,1057063,0,27.7884829,-82.6536548,1400000US12103023300,"Census Tract 233, Pinellas County, Florida",103,45640,12,2355,23300,2096,305.889138452116
