STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,77,3110,6077003110,31.10,Census Tract 31.10,G5020,S,1341993,0,38.0063695,-121.3236839,1400000US06077003110,"Census Tract 31.10, San Joaquin County, California",77,37500,6,3849,3110,1954,312.26093375179295
6,77,3215,6077003215,32.15,Census Tract 32.15,G5020,S,9958692,453809,38.0297973,-121.3881042,1400000US06077003215,"Census Tract 32.15, San Joaquin County, California",77,50075,6,4119,3215,2228,310.7825336456824
6,77,3500,6077003500,35,Census Tract 35,G5020,S,26417375,54005,38.0298609,-121.2450807,1400000US06077003500,"Census Tract 35, San Joaquin County, California",77,72104,6,22858,3500,7313,312.4498794600781
6,77,4102,6077004102,41.02,Census Tract 41.02,G5020,S,58864692,419010,38.0822443,-121.2646161,1400000US06077004102,"Census Tract 41.02, San Joaquin County, California",77,82620,6,8340,4102,3064,311.80231091494386
6,77,3700,6077003700,37,Census Tract 37,G5020,S,41896265,63589,37.9350636,-121.1904318,1400000US06077003700,"Census Tract 37, San Joaquin County, California",77,34464,6,3221,3700,1684,312.34694803124495
6,77,3803,6077003803,38.03,Census Tract 38.03,G5020,S,44063665,198559,37.8833641,-121.2703008,1400000US06077003803,"Census Tract 38.03, San Joaquin County, California",77,43472,6,5787,3803,3296,311.4789358260741
6,77,3801,6077003801,38.01,Census Tract 38.01,G5020,S,4245822,250916,37.9086799,-121.3121279,1400000US06077003801,"Census Tract 38.01, San Joaquin County, California",77,60308,6,12252,3801,4884,309.1763614934965
6,77,3308,6077003308,33.08,Census Tract 33.08,G5020,S,517517,0,37.9905867,-121.3087480,1400000US06077003308,"Census Tract 33.08, San Joaquin County, California",77,40924,6,1723,3308,727,312.0376734062911
6,77,3114,6077003114,31.14,Census Tract 31.14,G5020,S,5794376,576741,37.9812253,-121.3574591,1400000US06077003114,"Census Tract 31.14, San Joaquin County, California",77,107845,6,9876,3114,6202,308.3537002047309
6,77,3900,6077003900,39,Census Tract 39,G5020,S,493559846,36389216,37.9269437,-121.4574107,1400000US06077003900,"Census Tract 39, San Joaquin County, California",77,52083,6,1457,3900,1200,307.3846358726853
6,77,2800,6077002800,28,Census Tract 28,G5020,S,7311961,0,37.9156574,-121.2537583,1400000US06077002800,"Census Tract 28, San Joaquin County, California",77,51528,6,6299,2800,2874,312.57498753517007
6,77,3109,6077003109,31.09,Census Tract 31.09,G5020,S,3119480,44323,38.0092936,-121.3447729,1400000US06077003109,"Census Tract 31.09, San Joaquin County, California",77,63517,6,6365,3109,3425,308.1806428182749
6,77,1800,6077001800,18,Census Tract 18,G5020,S,1916226,0,37.9672954,-121.2542261,1400000US06077001800,"Census Tract 18, San Joaquin County, California",77,33944,6,3608,1800,2259,312.8713839797565
6,77,3406,6077003406,34.06,Census Tract 34.06,G5020,S,839429,14789,38.0247217,-121.3027511,1400000US06077003406,"Census Tract 34.06, San Joaquin County, California",77,26580,6,3944,3406,816,312.5304710455494
6,77,3305,6077003305,33.05,Census Tract 33.05,G5020,S,2046351,0,38.0019053,-121.3072652,1400000US06077003305,"Census Tract 33.05, San Joaquin County, California",77,46702,6,4086,3305,2126,312.68727243321734
6,77,100,6077000100,1,Census Tract 1,G5020,S,1847903,16915,37.9539960,-121.2853628,1400000US06077000100,"Census Tract 1, San Joaquin County, California",77,14779,6,3985,100,1691,312.87244135682994
6,77,300,6077000300,3,Census Tract 3,G5020,S,1313201,152316,37.9524848,-121.3008145,1400000US06077000300,"Census Tract 3, San Joaquin County, California",77,18459,6,2008,300,835,311.93016154602327
6,77,401,6077000401,4.01,Census Tract 4.01,G5020,S,1045664,0,37.9613437,-121.3057992,1400000US06077000401,"Census Tract 4.01, San Joaquin County, California",77,46122,6,3168,401,2050,310.4921676883289
6,77,402,6077000402,4.02,Census Tract 4.02,G5020,S,1459857,0,37.9640353,-121.2901386,1400000US06077000402,"Census Tract 4.02, San Joaquin County, California",77,21043,6,4140,402,1994,311.72020819130313
6,77,500,6077000500,5,Census Tract 5,G5020,S,994139,0,37.9626057,-121.2768386,1400000US06077000500,"Census Tract 5, San Joaquin County, California",77,29567,6,2549,500,1390,312.87349872551255
6,77,600,6077000600,6,Census Tract 6,G5020,S,962236,0,37.9483459,-121.2731105,1400000US06077000600,"Census Tract 6, San Joaquin County, California",77,28320,6,1882,600,868,312.7412625453881
6,77,700,6077000700,7,Census Tract 7,G5020,S,1787703,25674,37.9431727,-121.2878729,1400000US06077000700,"Census Tract 7, San Joaquin County, California",77,26398,6,4421,700,2284,311.897145315138
6,77,900,6077000900,9,Census Tract 9,G5020,S,2976610,407564,37.9577717,-121.3278662,1400000US06077000900,"Census Tract 9, San Joaquin County, California",77,40795,6,6017,900,3636,310.3532091574997
6,77,1000,6077001000,10,Census Tract 10,G5020,S,3411412,419168,37.9661183,-121.3474050,1400000US06077001000,"Census Tract 10, San Joaquin County, California",77,42188,6,5098,1000,3037,310.67506585403066
6,77,1101,6077001101,11.01,Census Tract 11.01,G5020,S,1931199,104000,37.9761614,-121.3288819,1400000US06077001101,"Census Tract 11.01, San Joaquin County, California",77,48819,6,5313,1101,3153,310.88561980009445
6,77,1102,6077001102,11.02,Census Tract 11.02,G5020,S,1649875,0,37.9675673,-121.3254307,1400000US06077001102,"Census Tract 11.02, San Joaquin County, California",77,44189,6,4987,1102,3001,310.9821894723538
6,77,1200,6077001200,12,Census Tract 12,G5020,S,2210097,95933,37.9724931,-121.3089795,1400000US06077001200,"Census Tract 12, San Joaquin County, California",77,70880,6,5349,1200,3803,310.780385154376
6,77,1300,6077001300,13,Census Tract 13,G5020,S,2310525,0,37.9747159,-121.2928911,1400000US06077001300,"Census Tract 13, San Joaquin County, California",77,45352,6,5089,1300,3153,311.6561966161946
6,77,1400,6077001400,14,Census Tract 14,G5020,S,1947692,143701,37.9853105,-121.2990060,1400000US06077001400,"Census Tract 14, San Joaquin County, California",77,36275,6,4751,1400,2436,311.65406236198254
6,77,1500,6077001500,15,Census Tract 15,G5020,S,4762836,20052,37.9805494,-121.2764321,1400000US06077001500,"Census Tract 15, San Joaquin County, California",77,37650,6,8462,1500,3975,313.6631255856892
6,77,1600,6077001600,16,Census Tract 16,G5020,S,1489141,0,37.9651247,-121.2685355,1400000US06077001600,"Census Tract 16, San Joaquin County, California",77,34918,6,2121,1600,1520,313.6000424967606
6,77,1700,6077001700,17,Census Tract 17,G5020,S,1685935,0,37.9774362,-121.2573976,1400000US06077001700,"Census Tract 17, San Joaquin County, California",77,31495,6,4116,1700,2496,312.8237933235981
