STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
12,57,102,12057000102,1.02,Census Tract 1.02,G5020,S,3362557,57019,28.0380365,-82.4109883,1400000US12057000102,"Census Tract 1.02, Hillsborough County, Florida",57,24498,12,6187,102,3041,306.73003683280496
12,57,601,12057000601,6.01,Census Tract 6.01,G5020,S,1337169,16872,28.0295881,-82.4765398,1400000US12057000601,"Census Tract 6.01, Hillsborough County, Florida",57,36867,12,5169,601,3860,306.12551275382845
12,57,901,12057000901,9.01,Census Tract 9.01,G5020,S,875951,0,28.0289804,-82.4108652,1400000US12057000901,"Census Tract 9.01, Hillsborough County, Florida",57,32298,12,2785,901,1359,306.92500056367004
12,57,11904,12057011904,119.04,Census Tract 119.04,G5020,S,512457,12268,28.0009239,-82.5037637,1400000US12057011904,"Census Tract 119.04, Hillsborough County, Florida",57,34861,12,1640,11904,1011,307.65676022656044
12,57,11712,12057011712,117.12,Census Tract 117.12,G5020,S,2516922,661541,27.9856638,-82.5766119,1400000US12057011712,"Census Tract 117.12, Hillsborough County, Florida",57,70893,12,5878,11712,4853,300.204829130142
12,57,980500,12057980500,9805,Census Tract 9805,G5020,S,5875378,4230599,28.0018766,-82.6211117,1400000US12057980500,"Census Tract 9805, Hillsborough County, Florida",57,-666666666,12,19,980500,19,300.202491105816
12,57,3200,12057003200,32,Census Tract 32,G5020,S,818242,0,27.9696358,-82.4470715,1400000US12057003200,"Census Tract 32, Hillsborough County, Florida",57,23281,12,2559,3200,1487,307.8140407799933
12,57,2400,12057002400,24,Census Tract 24,G5020,S,2369303,70256,27.9895135,-82.4774143,1400000US12057002400,"Census Tract 24, Hillsborough County, Florida",57,35818,12,3588,2400,3048,306.78102225227235
12,57,6000,12057006000,60,Census Tract 60,G5020,S,3189965,23814,27.9315985,-82.4943916,1400000US12057006000,"Census Tract 60, Hillsborough County, Florida",57,107569,12,5441,6000,5200,306.23463020377096
12,57,2000,12057002000,20,Census Tract 20,G5020,S,1296246,10339,27.9891174,-82.4393627,1400000US12057002000,"Census Tract 20, Hillsborough County, Florida",57,31673,12,3069,2000,687,306.27691562960194
12,57,13501,12057013501,135.01,Census Tract 135.01,G5020,S,6933729,1748956,27.9331746,-82.4028891,1400000US12057013501,"Census Tract 135.01, Hillsborough County, Florida",57,34113,12,3967,13501,2184,299.84892336602763
12,57,3300,12057003300,33,Census Tract 33,G5020,S,790735,0,27.9697247,-82.4389002,1400000US12057003300,"Census Tract 33, Hillsborough County, Florida",57,20195,12,2132,3300,475,308.83658727671525
12,57,5102,12057005102,51.02,Census Tract 51.02,G5020,S,695171,524044,27.9336935,-82.4484335,1400000US12057005102,"Census Tract 51.02, Hillsborough County, Florida",57,94118,12,3713,5102,3429,305.1952879369612
12,57,6200,12057006200,62,Census Tract 62,G5020,S,1654261,0,27.9168559,-82.5003139,1400000US12057006200,"Census Tract 62, Hillsborough County, Florida",57,110595,12,4181,6200,3608,306.85635440177526
12,57,300,12057000300,3,Census Tract 3,G5020,S,2957505,21108,28.0376886,-82.4387824,1400000US12057000300,"Census Tract 3, Hillsborough County, Florida",57,35169,12,7513,300,3837,306.12551275382845
12,57,700,12057000700,7,Census Tract 7,G5020,S,2103525,29386,28.0246393,-82.4446021,1400000US12057000700,"Census Tract 7, Hillsborough County, Florida",57,27774,12,5888,700,1769,306.2657892617498
12,57,800,12057000800,8,Census Tract 8,G5020,S,2593051,432004,28.0272386,-82.4356620,1400000US12057000800,"Census Tract 8, Hillsborough County, Florida",57,32415,12,3415,800,1620,305.96946636609
12,57,11605,12057011605,116.05,Census Tract 116.05,G5020,S,8155456,239340,28.0093058,-82.5400349,1400000US12057011605,"Census Tract 116.05, Hillsborough County, Florida",57,50509,12,6592,11605,5042,309.3002870092136
12,57,1100,12057001100,11,Census Tract 11,G5020,S,1631653,45399,28.0140191,-82.4461143,1400000US12057001100,"Census Tract 11, Hillsborough County, Florida",57,49561,12,2594,1100,1906,304.45918408952895
12,57,1200,12057001200,12,Census Tract 12,G5020,S,1362890,35703,28.0156612,-82.4586636,1400000US12057001200,"Census Tract 12, Hillsborough County, Florida",57,24040,12,2558,1200,1201,306.0229897996539
12,57,4300,12057004300,43,Census Tract 43,G5020,S,748979,143520,27.9609757,-82.4725247,1400000US12057004300,"Census Tract 43, Hillsborough County, Florida",57,8804,12,2322,4300,545,308.99351738332314
12,57,500,12057000500,5,Census Tract 5,G5020,S,2910803,54497,28.0434003,-82.4730957,1400000US12057000500,"Census Tract 5, Hillsborough County, Florida",57,50688,12,3651,500,3375,305.7640817045691
12,57,402,12057000402,4.02,Census Tract 4.02,G5020,S,1961437,0,28.0381828,-82.4594723,1400000US12057000402,"Census Tract 4.02, Hillsborough County, Florida",57,27793,12,2839,402,2010,307.48826591816817
12,57,1300,12057001300,13,Census Tract 13,G5020,S,3806327,100874,28.0194445,-82.4719263,1400000US12057001300,"Census Tract 13, Hillsborough County, Florida",57,40572,12,6494,1300,4880,306.07426172080034
12,57,1400,12057001400,14,Census Tract 14,G5020,S,2352953,84840,28.0037546,-82.4772015,1400000US12057001400,"Census Tract 14, Hillsborough County, Florida",57,33886,12,4755,1400,4061,306.1143730004595
12,57,1500,12057001500,15,Census Tract 15,G5020,S,1465641,85708,28.0027970,-82.4655029,1400000US12057001500,"Census Tract 15, Hillsborough County, Florida",57,62357,12,2624,1500,2137,305.2715757837276
