STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
4,19,3003,4019003003,30.03,Census Tract 30.03,G5020,S,2053859,0,32.2471612,-110.8661956,1400000US04019003003,"Census Tract 30.03, Pima County, Arizona",19,33858,4,4673,3003,3124,317.45977361317813
4,19,3707,4019003707,37.07,Census Tract 37.07,G5020,S,1522818,0,32.1518293,-110.9522876,1400000US04019003707,"Census Tract 37.07, Pima County, Arizona",19,32005,4,3449,3707,2570,318.7732759784521
4,19,4067,4019004067,40.67,Census Tract 40.67,G5020,S,1851359,0,32.2405665,-110.8490480,1400000US04019004067,"Census Tract 40.67, Pima County, Arizona",19,36917,4,2576,4067,2229,317.0400127191604
4,19,3303,4019003303,33.03,Census Tract 33.03,G5020,S,3004756,0,32.2206105,-110.8666444,1400000US04019003303,"Census Tract 33.03, Pima County, Arizona",19,34922,4,3582,3303,3047,318.1267219596453
4,19,3706,4019003706,37.06,Census Tract 37.06,G5020,S,1371036,0,32.1596545,-110.9523197,1400000US04019003706,"Census Tract 37.06, Pima County, Arizona",19,26400,4,5405,3706,3924,318.8147886062527
4,19,4068,4019004068,40.68,Census Tract 40.68,G5020,S,4057575,0,32.2279672,-110.8444766,1400000US04019004068,"Census Tract 40.68, Pima County, Arizona",19,45509,4,4773,4068,4373,317.46386257143723
4,19,4511,4019004511,45.11,Census Tract 45.11,G5020,S,1613445,0,32.2796583,-110.9669487,1400000US04019004511,"Census Tract 45.11, Pima County, Arizona",19,34267,4,4442,4511,3232,318.3158215728075
4,19,4725,4019004725,47.25,Census Tract 47.25,G5020,S,4482153,0,32.3090255,-110.9691791,1400000US04019004725,"Census Tract 47.25, Pima County, Arizona",19,30833,4,3061,4725,2621,317.101520872068
4,19,2202,4019002202,22.02,Census Tract 22.02,G5020,S,4121314,0,32.1927418,-110.9519364,1400000US04019002202,"Census Tract 22.02, Pima County, Arizona",19,27098,4,3249,2202,1656,319.6314012145833
4,19,1303,4019001303,13.03,Census Tract 13.03,G5020,S,967938,0,32.2556507,-110.9822535,1400000US04019001303,"Census Tract 13.03, Pima County, Arizona",19,23468,4,2819,1303,1465,318.6993327538952
4,19,4069,4019004069,40.69,Census Tract 40.69,G5020,S,2067353,0,32.2139514,-110.8211377,1400000US04019004069,"Census Tract 40.69, Pima County, Arizona",19,37620,4,3731,4069,2719,317.6395736798862
4,19,4070,4019004070,40.70,Census Tract 40.70,G5020,S,1144433,0,32.2138056,-110.8106328,1400000US04019004070,"Census Tract 40.70, Pima County, Arizona",19,32815,4,3077,4070,2100,317.34523370511215
4,19,1304,4019001304,13.04,Census Tract 13.04,G5020,S,1622243,0,32.2558909,-110.9708483,1400000US04019001304,"Census Tract 13.04, Pima County, Arizona",19,18506,4,5218,1304,3452,318.2782254258384
4,19,4122,4019004122,41.22,Census Tract 41.22,G5020,S,3328485,0,32.1414071,-110.9370743,1400000US04019004122,"Census Tract 41.22, Pima County, Arizona",19,31172,4,4252,4122,2721,319.1999652992948
4,19,4072,4019004072,40.72,Census Tract 40.72,G5020,S,1256188,0,32.2276876,-110.8110436,1400000US04019004072,"Census Tract 40.72, Pima County, Arizona",19,43012,4,2748,4072,2319,316.8727769500305
4,19,4071,4019004071,40.71,Census Tract 40.71,G5020,S,1333184,0,32.2287665,-110.8193648,1400000US04019004071,"Census Tract 40.71, Pima County, Arizona",19,32700,4,4739,4071,4013,317.30225677700497
4,19,1801,4019001801,18.01,Census Tract 18.01,G5020,S,2429820,0,32.2492877,-110.9209011,1400000US04019001801,"Census Tract 18.01, Pima County, Arizona",19,29000,4,5287,1801,3650,318.08398648619175
4,19,1802,4019001802,18.02,Census Tract 18.02,G5020,S,1126134,0,32.2382255,-110.9212062,1400000US04019001802,"Census Tract 18.02, Pima County, Arizona",19,30579,4,2431,1802,1899,317.98625608462675
4,19,2703,4019002703,27.03,Census Tract 27.03,G5020,S,1634688,0,32.2641229,-110.9493710,1400000US04019002703,"Census Tract 27.03, Pima County, Arizona",19,29688,4,4094,2703,2948,317.62527993961675
4,19,2905,4019002905,29.05,Census Tract 29.05,G5020,S,1967765,0,32.2647271,-110.9033842,1400000US04019002905,"Census Tract 29.05, Pima County, Arizona",19,31375,4,3584,2905,3007,317.41274190947513
4,19,4115,4019004115,41.15,Census Tract 41.15,G5020,S,3179814,0,32.1434925,-110.9186326,1400000US04019004115,"Census Tract 41.15, Pima County, Arizona",19,29890,4,6992,4115,5557,319.0737115579296
4,19,5300,4019005300,53,Census Tract 53,G5020,S,18550994,0,32.2429338,-110.7277087,1400000US04019005300,"Census Tract 53, Pima County, Arizona",19,91509,4,3879,5300,3256,316.0066754556151
4,19,4073,4019004073,40.73,Census Tract 40.73,G5020,S,26292942,0,32.1169674,-110.8242738,1400000US04019004073,"Census Tract 40.73, Pima County, Arizona",19,79643,4,4815,4073,3801,319.11008428066054
4,19,4064,4019004064,40.64,Census Tract 40.64,G5020,S,35752715,0,32.1128359,-110.7222785,1400000US04019004064,"Census Tract 40.64, Pima County, Arizona",19,90261,4,9336,4064,7990,317.2776925332598
4,19,4422,4019004422,44.22,Census Tract 44.22,G5020,S,47200565,0,32.2041822,-111.0630752,1400000US04019004422,"Census Tract 44.22, Pima County, Arizona",19,67315,4,5207,4422,4113,318.34020284280723
4,19,4118,4019004118,41.18,Census Tract 41.18,G5020,S,15329418,0,32.1512228,-110.8922273,1400000US04019004118,"Census Tract 41.18, Pima County, Arizona",19,54952,4,5032,4118,3080,318.9078941228867
4,19,4022,4019004022,40.22,Census Tract 40.22,G5020,S,4199627,0,32.1997588,-110.8038746,1400000US04019004022,"Census Tract 40.22, Pima County, Arizona",19,61208,4,6562,4022,5465,316.7865147855279
4,19,4029,4019004029,40.29,Census Tract 40.29,G5020,S,2572576,0,32.1701448,-110.8323974,1400000US04019004029,"Census Tract 40.29, Pima County, Arizona",19,48650,4,4577,4029,3248,318.45595571125517
4,19,4030,4019004030,40.30,Census Tract 40.30,G5020,S,3902042,88537,32.2623955,-110.8539465,1400000US04019004030,"Census Tract 40.30, Pima County, Arizona",19,116029,4,1812,4030,1687,318.50365044807285
4,19,4031,4019004031,40.31,Census Tract 40.31,G5020,S,2292435,0,32.2569005,-110.8325423,1400000US04019004031,"Census Tract 40.31, Pima County, Arizona",19,61028,4,3791,4031,3270,316.54901463078517
4,19,4032,4019004032,40.32,Census Tract 40.32,G5020,S,3369955,0,32.2434579,-110.8325893,1400000US04019004032,"Census Tract 40.32, Pima County, Arizona",19,42833,4,3595,4032,2993,316.84402889818693
4,19,2702,4019002702,27.02,Census Tract 27.02,G5020,S,3262295,0,32.2722880,-110.9366015,1400000US04019002702,"Census Tract 27.02, Pima County, Arizona",19,40413,4,4468,2702,3553,317.72734577566246
4,19,2801,4019002801,28.01,Census Tract 28.01,G5020,S,1126149,0,32.2682506,-110.9184398,1400000US04019002801,"Census Tract 28.01, Pima County, Arizona",19,19693,4,1695,2801,1272,317.32272364671667
4,19,2802,4019002802,28.02,Census Tract 28.02,G5020,S,1292586,0,32.2614084,-110.9182965,1400000US04019002802,"Census Tract 28.02, Pima County, Arizona",19,29428,4,4002,2802,3030,317.75183040547944
