STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
40,145,30405,40145030405,304.05,Census Tract 304.05,G5020,S,5363332,5846,36.1120515,-95.7419888,1400000US40145030405,"Census Tract 304.05, Wagoner County, Oklahoma",145,79420,40,6031,30405,4238,297.8625929330027
40,143,7311,40143007311,73.11,Census Tract 73.11,G5020,S,4839807,19620,36.1461971,-95.8254309,1400000US40143007311,"Census Tract 73.11, Tulsa County, Oklahoma",143,41027,40,2646,7311,1372,303.35929508558047
40,143,5900,40143005900,59,Census Tract 59,G5020,S,48739733,218877,36.1988841,-95.8418784,1400000US40143005900,"Census Tract 59, Tulsa County, Oklahoma",143,31217,40,2468,5900,1277,302.05853068360943
40,143,1800,40143001800,18,Census Tract 18,G5020,S,1156139,0,36.1542718,-95.9269700,1400000US40143001800,"Census Tract 18, Tulsa County, Oklahoma",143,46458,40,1857,1800,1383,305.9159201302358
40,143,5801,40143005801,58.01,Census Tract 58.01,G5020,S,6094560,26,36.2672705,-95.8577802,1400000US40143005801,"Census Tract 58.01, Tulsa County, Oklahoma",143,49828,40,4581,5801,3505,296.9144096435487
40,143,7613,40143007613,76.13,Census Tract 76.13,G5020,S,2590314,0,36.0681057,-95.9310673,1400000US40143007613,"Census Tract 76.13, Tulsa County, Oklahoma",143,66467,40,2858,7613,2273,306.002921182317
40,143,8501,40143008501,85.01,Census Tract 85.01,G5020,S,2430760,11230,36.1251802,-95.8797001,1400000US40143008501,"Census Tract 85.01, Tulsa County, Oklahoma",143,45000,40,2849,8501,2000,307.78545873045323
40,143,7629,40143007629,76.29,Census Tract 76.29,G5020,S,2576870,0,36.0245963,-95.8953639,1400000US40143007629,"Census Tract 76.29, Tulsa County, Oklahoma",143,58934,40,3747,7629,2978,306.6035930083257
40,143,4500,40143004500,45,Census Tract 45,G5020,S,1726985,263411,36.1251266,-95.9846747,1400000US40143004500,"Census Tract 45, Tulsa County, Oklahoma",143,116250,40,2383,4500,2250,305.07852216380167
40,143,5001,40143005001,50.01,Census Tract 50.01,G5020,S,1347772,279283,36.0970220,-95.9826906,1400000US40143005001,"Census Tract 50.01, Tulsa County, Oklahoma",143,46213,40,1988,5001,1618,305.61429626445596
40,143,7312,40143007312,73.12,Census Tract 73.12,G5020,S,2578061,7142,36.1299990,-95.8258754,1400000US40143007312,"Census Tract 73.12, Tulsa County, Oklahoma",143,42682,40,4490,7312,2496,306.47035741999
40,143,6804,40143006804,68.04,Census Tract 68.04,G5020,S,1243341,0,36.0822107,-95.9713108,1400000US40143006804,"Census Tract 68.04, Tulsa County, Oklahoma",143,35586,40,2799,6804,1757,306.15669881904495
40,143,7642,40143007642,76.42,Census Tract 76.42,G5020,S,685678,663690,36.0534087,-95.9707339,1400000US40143007642,"Census Tract 76.42, Tulsa County, Oklahoma",143,36007,40,1998,7642,1105,306.65906639489344
40,143,7641,40143007641,76.41,Census Tract 76.41,G5020,S,1338304,77147,36.0523450,-95.9628093,1400000US40143007641,"Census Tract 76.41, Tulsa County, Oklahoma",143,29348,40,4862,7641,2068,308.8943685009818
40,143,2301,40143002301,23.01,Census Tract 23.01,G5020,S,2653259,0,36.1538373,-95.9690956,1400000US40143002301,"Census Tract 23.01, Tulsa County, Oklahoma",143,27563,40,2464,2301,1424,308.5866302026375
40,143,4600,40143004600,46,Census Tract 46,G5020,S,1405620,267758,36.1318877,-96.0017861,1400000US40143004600,"Census Tract 46, Tulsa County, Oklahoma",143,18616,40,3274,4600,1567,307.9996683731584
40,143,4800,40143004800,48,Census Tract 48,G5020,S,3411897,0,36.0970141,-96.0211218,1400000US40143004800,"Census Tract 48, Tulsa County, Oklahoma",143,42050,40,4267,4800,3151,305.5292637041415
40,143,4900,40143004900,49,Census Tract 49,G5020,S,7819234,1392478,36.1067541,-95.9990449,1400000US40143004900,"Census Tract 49, Tulsa County, Oklahoma",143,35682,40,1912,4900,1215,306.07426172080034
40,143,5002,40143005002,50.02,Census Tract 50.02,G5020,S,2612398,0,36.0968998,-95.9669857,1400000US40143005002,"Census Tract 50.02, Tulsa County, Oklahoma",143,42188,40,3540,5002,2709,305.2827906562941
40,143,5100,40143005100,51,Census Tract 51,G5020,S,2456465,0,36.0973889,-95.9490613,1400000US40143005100,"Census Tract 51, Tulsa County, Oklahoma",143,88958,40,1755,5100,1557,305.2917618296715
40,143,5200,40143005200,52,Census Tract 52,G5020,S,2592893,0,36.0970764,-95.9312323,1400000US40143005200,"Census Tract 52, Tulsa County, Oklahoma",143,61369,40,3075,5200,2478,307.17159849300504
40,143,5300,40143005300,53,Census Tract 53,G5020,S,2588206,0,36.1261280,-95.9135099,1400000US40143005300,"Census Tract 53, Tulsa County, Oklahoma",143,51977,40,4758,5300,3789,307.98100796651715
40,143,5600,40143005600,56,Census Tract 56,G5020,S,44094347,235078,36.3014757,-95.9644933,1400000US40143005600,"Census Tract 56, Tulsa County, Oklahoma",143,51724,40,2315,5600,1770,300.1826160534545
40,143,4700,40143004700,47,Census Tract 47,G5020,S,3249220,0,36.0981837,-96.0372100,1400000US40143004700,"Census Tract 47, Tulsa County, Oklahoma",143,48000,40,1923,4700,1355,305.6064667308929
40,143,5700,40143005700,57,Census Tract 57,G5020,S,4268480,9576,36.2296793,-95.9628116,1400000US40143005700,"Census Tract 57, Tulsa County, Oklahoma",143,34487,40,2579,5700,444,302.2701608535337
40,143,6000,40143006000,60,Census Tract 60,G5020,S,2911044,0,36.1688934,-95.8956512,1400000US40143006000,"Census Tract 60, Tulsa County, Oklahoma",143,36296,40,5053,6000,2923,306.29694061657284
40,143,6200,40143006200,62,Census Tract 62,G5020,S,4554548,0,36.1995800,-95.9847231,1400000US40143006200,"Census Tract 62, Tulsa County, Oklahoma",143,22788,40,2604,6200,320,304.66897829613987
40,143,6600,40143006600,66,Census Tract 66,G5020,S,26491233,899743,36.1148468,-96.0323202,1400000US40143006600,"Census Tract 66, Tulsa County, Oklahoma",143,51296,40,2790,6600,2056,301.0911550266249
40,143,6701,40143006701,67.01,Census Tract 67.01,G5020,S,7684198,530078,36.0811196,-96.0199910,1400000US40143006701,"Census Tract 67.01, Tulsa County, Oklahoma",143,30061,40,3064,6701,1614,301.5671408528353
40,143,6703,40143006703,67.03,Census Tract 67.03,G5020,S,7668138,2456381,36.0220896,-95.9689411,1400000US40143006703,"Census Tract 67.03, Tulsa County, Oklahoma",143,51209,40,4324,6703,3304,296.97930407551
40,143,6705,40143006705,67.05,Census Tract 67.05,G5020,S,21079184,1052308,36.0536814,-96.0014698,1400000US40143006705,"Census Tract 67.05, Tulsa County, Oklahoma",143,54815,40,6230,6705,4502,302.31152374676265
40,143,6801,40143006801,68.01,Census Tract 68.01,G5020,S,1330410,308397,36.0834089,-95.9808396,1400000US40143006801,"Census Tract 68.01, Tulsa County, Oklahoma",143,32861,40,2623,6801,1783,305.5449319350251
