STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
51,810,46206,51810046206,462.06,Census Tract 462.06,G5020,S,2928948,25761,36.8078709,-76.1818870,1400000US51810046206,"Census Tract 462.06, Virginia Beach city, Virginia",810,81284,51,5817,46206,3353,305.86011852178274
51,810,46207,51810046207,462.07,Census Tract 462.07,G5020,S,6100870,641727,36.7902737,-76.1945427,1400000US51810046207,"Census Tract 462.07, Virginia Beach city, Virginia",810,71081,51,7223,46207,4324,303.2829597968029
51,810,46211,51810046211,462.11,Census Tract 462.11,G5020,S,2136037,0,36.8037381,-76.1653026,1400000US51810046211,"Census Tract 462.11, Virginia Beach city, Virginia",810,90759,51,3161,46211,2332,304.9369093365063
51,810,46212,51810046212,462.12,Census Tract 462.12,G5020,S,2555447,67598,36.8025659,-76.1463777,1400000US51810046212,"Census Tract 462.12, Virginia Beach city, Virginia",810,99900,51,3928,46212,2810,303.9433426879298
51,810,46213,51810046213,462.13,Census Tract 462.13,G5020,S,1569858,60817,36.7912448,-76.1583873,1400000US51810046213,"Census Tract 462.13, Virginia Beach city, Virginia",810,45099,51,6077,46213,3397,305.96388969761
51,810,46015,51810046015,460.15,Census Tract 460.15,G5020,S,6039683,201688,36.7696890,-76.1081089,1400000US51810046015,"Census Tract 460.15, Virginia Beach city, Virginia",810,73775,51,5431,46015,3179,303.51864882619657
51,810,45424,51810045424,454.24,Census Tract 454.24,G5020,S,16659539,246528,36.7425451,-76.0088440,1400000US51810045424,"Census Tract 454.24, Virginia Beach city, Virginia",810,112083,51,5471,45424,4449,302.24027891217565
51,810,46224,51810046224,462.24,Census Tract 462.24,G5020,S,1283744,60549,36.7786921,-76.1533321,1400000US51810046224,"Census Tract 462.24, Virginia Beach city, Virginia",810,75284,51,4467,46224,2147,305.48896496211006
51,810,45425,51810045425,454.25,Census Tract 454.25,G5020,S,1402953,0,36.7682082,-76.0065153,1400000US51810045425,"Census Tract 454.25, Virginia Beach city, Virginia",810,77692,51,2801,45425,2483,305.4620919248301
51,810,42802,51810042802,428.02,Census Tract 428.02,G5020,S,1867580,48467,36.8313907,-76.0776850,1400000US51810042802,"Census Tract 428.02, Virginia Beach city, Virginia",810,48856,51,4693,42802,2254,304.51561522648393
51,810,43002,51810043002,430.02,Census Tract 430.02,G5020,S,6929764,3505820,36.8918736,-76.0617545,1400000US51810043002,"Census Tract 430.02, Virginia Beach city, Virginia",810,144338,51,4063,43002,3535,300.9204549017093
51,810,43200,51810043200,432,Census Tract 432,G5020,S,17915364,950928,36.9045619,-76.0173310,1400000US51810043200,"Census Tract 432, Virginia Beach city, Virginia",810,52083,51,1388,43200,1052,298.5023353900403
51,810,43400,51810043400,434,Census Tract 434,G5020,S,1495867,0,36.9017705,-75.9912773,1400000US51810043400,"Census Tract 434, Virginia Beach city, Virginia",810,107929,51,2001,43400,1907,304.9369093365063
51,810,43600,51810043600,436,Census Tract 436,G5020,S,1248803,166837,36.8826119,-75.9901227,1400000US51810043600,"Census Tract 436, Virginia Beach city, Virginia",810,116875,51,1788,43600,1707,303.7175513317874
51,810,44001,51810044001,440.01,Census Tract 440.01,G5020,S,1590752,85083,36.8509915,-75.9921540,1400000US51810044001,"Census Tract 440.01, Virginia Beach city, Virginia",810,52167,51,6230,44001,4912,304.48401695112943
51,810,44200,51810044200,442,Census Tract 442,G5020,S,6126365,431118,36.8308315,-75.9909799,1400000US51810044200,"Census Tract 442, Virginia Beach city, Virginia",810,46733,51,7563,44200,4385,300.66453204273216
51,810,44401,51810044401,444.01,Census Tract 444.01,G5020,S,4193072,1217062,36.8665863,-76.0543382,1400000US51810044401,"Census Tract 444.01, Virginia Beach city, Virginia",810,113375,51,3379,44401,3079,301.4653842572394
51,810,44402,51810044402,444.02,Census Tract 444.02,G5020,S,3600387,24063,36.8664248,-76.0367757,1400000US51810044402,"Census Tract 444.02, Virginia Beach city, Virginia",810,66401,51,5566,44402,4133,304.682501247739
51,810,44600,51810044600,446,Census Tract 446,G5020,S,7938141,3559087,36.8744566,-76.0214234,1400000US51810044600,"Census Tract 446, Virginia Beach city, Virginia",810,103848,51,5648,44600,5209,301.4329891962921
51,810,44805,51810044805,448.05,Census Tract 448.05,G5020,S,1564480,49969,36.8475037,-76.0220792,1400000US51810044805,"Census Tract 448.05, Virginia Beach city, Virginia",810,52326,51,3394,44805,1992,306.4548041063639
