STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
11,1,10900,11001010900,109,Census Tract 109,G5020,S,2379832,2936613,38.8132450,-77.0238468,1400000US11001010900,"Census Tract 109, District of Columbia, District of Columbia",1,31094,11,4054,10900,23,305.1066008363858
11,1,10400,11001010400,104,Census Tract 104,G5020,S,2744444,83,38.8499425,-77.0004103,1400000US11001010400,"Census Tract 104, District of Columbia, District of Columbia",1,36477,11,4625,10400,363,305.63107218926297
11,1,9903,11001009903,99.03,Census Tract 99.03,G5020,S,383679,0,38.8883180,-76.9212121,1400000US11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",1,64279,11,1952,9903,99,307.7590696185131
11,1,9904,11001009904,99.04,Census Tract 99.04,G5020,S,426198,0,38.8851712,-76.9311353,1400000US11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",1,30728,11,2979,9904,53,308.21790275421495
11,1,9905,11001009905,99.05,Census Tract 99.05,G5020,S,431557,0,38.8843295,-76.9250522,1400000US11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",1,40650,11,2890,9905,129,307.765667408041
11,1,9906,11001009906,99.06,Census Tract 99.06,G5020,S,252684,0,38.8879464,-76.9359151,1400000US11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",1,44357,11,1623,9906,22,307.3316858294622
11,1,2102,11001002102,21.02,Census Tract 21.02,G5020,S,726388,0,38.9557857,-77.0142326,1400000US11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",1,76836,11,5264,2102,673,306.4459156379606
11,1,2201,11001002201,22.01,Census Tract 22.01,G5020,S,415172,0,38.9491337,-77.0232932,1400000US11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",1,65069,11,2955,2201,630,306.87075103449297
11,1,2202,11001002202,22.02,Census Tract 22.02,G5020,S,693964,566,38.9479653,-77.0118821,1400000US11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",1,54817,11,3347,2202,350,305.2558732707277
11,1,2301,11001002301,23.01,Census Tract 23.01,G5020,S,412610,0,38.9425896,-77.0165738,1400000US11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",1,118750,11,3625,2301,955,305.9136885417928
