STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
20,173,7301,20173007301,73.01,Census Tract 73.01,G5020,S,4483607,75368,37.7042406,-97.2426956,1400000US20173007301,"Census Tract 73.01, Sedgwick County, Kansas",173,75865,20,3805,7301,3460,308.4740454566435
20,173,7302,20173007302,73.02,Census Tract 73.02,G5020,S,4218539,0,37.6869828,-97.2412800,1400000US20173007302,"Census Tract 73.02, Sedgwick County, Kansas",173,74824,20,3647,7302,3023,309.72118146391364
20,173,7600,20173007600,76,Census Tract 76,G5020,S,4253763,12123,37.7102380,-97.2663752,1400000US20173007600,"Census Tract 76, Sedgwick County, Kansas",173,47928,20,3783,7600,2811,309.2285551437411
20,173,8200,20173008200,82,Census Tract 82,G5020,S,4923423,0,37.7403149,-97.3479280,1400000US20173008200,"Census Tract 82, Sedgwick County, Kansas",173,40408,20,6225,8200,4182,307.0334300067805
20,173,7800,20173007800,78,Census Tract 78,G5020,S,2285171,0,37.7322890,-97.3062635,1400000US20173007800,"Census Tract 78, Sedgwick County, Kansas",173,23145,20,3134,7800,758,308.74713879436854
20,173,8300,20173008300,83,Census Tract 83,G5020,S,5140164,160942,37.7426481,-97.3679806,1400000US20173008300,"Census Tract 83, Sedgwick County, Kansas",173,57630,20,4353,8300,3408,307.3736064313561
20,173,8400,20173008400,84,Census Tract 84,G5020,S,2525850,219624,37.7238166,-97.3702462,1400000US20173008400,"Census Tract 84, Sedgwick County, Kansas",173,51822,20,3249,8400,2814,308.36245639370514
20,173,8500,20173008500,85,Census Tract 85,G5020,S,1842689,102339,37.7146085,-97.3722550,1400000US20173008500,"Census Tract 85, Sedgwick County, Kansas",173,52335,20,2488,8500,2297,308.07208886578894
20,173,8600,20173008600,86,Census Tract 86,G5020,S,2329106,33417,37.7141889,-97.3891178,1400000US20173008600,"Census Tract 86, Sedgwick County, Kansas",173,52067,20,3703,8600,3087,307.93489410539524
20,173,8700,20173008700,87,Census Tract 87,G5020,S,2312197,55986,37.7027335,-97.3793069,1400000US20173008700,"Census Tract 87, Sedgwick County, Kansas",173,32485,20,3948,8700,3279,307.63144524001575
20,173,8900,20173008900,89,Census Tract 89,G5020,S,3927621,157641,37.6847092,-97.3993385,1400000US20173008900,"Census Tract 89, Sedgwick County, Kansas",173,36537,20,3603,8900,2967,308.98698244187744
20,173,9100,20173009100,91,Census Tract 91,G5020,S,10286454,350050,37.6442270,-97.3831802,1400000US20173009100,"Census Tract 91, Sedgwick County, Kansas",173,42756,20,7604,9100,5820,308.20256174017317
20,173,9200,20173009200,92,Census Tract 92,G5020,S,21009030,769946,37.6576036,-97.4276743,1400000US20173009200,"Census Tract 92, Sedgwick County, Kansas",173,56100,20,2682,9200,2491,307.9370903808123
20,173,9302,20173009302,93.02,Census Tract 93.02,G5020,S,4362513,237346,37.6837005,-97.4295920,1400000US20173009302,"Census Tract 93.02, Sedgwick County, Kansas",173,41855,20,5953,9302,4668,308.90853729734073
20,173,9401,20173009401,94.01,Census Tract 94.01,G5020,S,2623348,0,37.7012658,-97.4534584,1400000US20173009401,"Census Tract 94.01, Sedgwick County, Kansas",173,63354,20,3931,9401,3861,308.2113282588596
20,173,6600,20173006600,66,Census Tract 66,G5020,S,23057164,87711,37.6198147,-97.2689537,1400000US20173006600,"Census Tract 66, Sedgwick County, Kansas",173,38708,20,2357,6600,1477,310.0748470728348
20,173,6700,20173006700,67,Census Tract 67,G5020,S,1313997,0,37.6528256,-97.2738703,1400000US20173006700,"Census Tract 67, Sedgwick County, Kansas",173,30000,20,2286,6700,1358,309.2655128942841
20,173,10001,20173010001,100.01,Census Tract 100.01,G5020,S,10162723,268851,37.6794250,-97.1644111,1400000US20173010001,"Census Tract 100.01, Sedgwick County, Kansas",173,115030,20,4151,10001,3779,307.91512592803304
20,173,10002,20173010002,100.02,Census Tract 100.02,G5020,S,10219771,221732,37.6793754,-97.1828324,1400000US20173010002,"Census Tract 100.02, Sedgwick County, Kansas",173,104922,20,4429,10002,3328,308.74495634738764
20,173,7700,20173007700,77,Census Tract 77,G5020,S,6661929,35341,37.7310020,-97.2821860,1400000US20173007700,"Census Tract 77, Sedgwick County, Kansas",173,32475,20,8147,7700,3295,308.65544413109166
20,173,8800,20173008800,88,Census Tract 88,G5020,S,3447285,59972,37.7007787,-97.3994645,1400000US20173008800,"Census Tract 88, Sedgwick County, Kansas",173,47598,20,4470,8800,3984,308.42592089748365
20,173,10003,20173010003,100.03,Census Tract 100.03,G5020,S,1844192,441,37.6437374,-97.2347794,1400000US20173010003,"Census Tract 100.03, Sedgwick County, Kansas",173,71125,20,2369,10003,1409,309.9678755314279
20,173,10005,20173010005,100.05,Census Tract 100.05,G5020,S,4494688,232746,37.5709677,-97.2797679,1400000US20173010005,"Census Tract 100.05, Sedgwick County, Kansas",173,72690,20,4122,10005,3508,306.87407310196807
20,173,10106,20173010106,101.06,Census Tract 101.06,G5020,S,4227955,87909,37.7580548,-97.2402001,1400000US20173010106,"Census Tract 101.06, Sedgwick County, Kansas",173,90313,20,2909,10106,2413,308.7798710588972
20,173,10108,20173010108,101.08,Census Tract 101.08,G5020,S,2616957,23040,37.7289117,-97.2336111,1400000US20173010108,"Census Tract 101.08, Sedgwick County, Kansas",173,79444,20,2144,10108,1584,308.4292026906388
20,173,10109,20173010109,101.09,Census Tract 101.09,G5020,S,2617815,6276,37.7203844,-97.2428549,1400000US20173010109,"Census Tract 101.09, Sedgwick County, Kansas",173,41598,20,2283,10109,1681,309.71576625094036
20,173,9503,20173009503,95.03,Census Tract 95.03,G5020,S,15493379,2236285,37.7252563,-97.4278423,1400000US20173009503,"Census Tract 95.03, Sedgwick County, Kansas",173,105489,20,9913,9503,8722,307.46622403745937
20,173,10500,20173010500,105,Census Tract 105,G5020,S,189805478,447279,37.7816410,-97.5931942,1400000US20173010500,"Census Tract 105, Sedgwick County, Kansas",173,89286,20,4126,10500,4100,306.50367949759004
20,173,3400,20173003400,34,Census Tract 34,G5020,S,2108389,0,37.6682601,-97.3242511,1400000US20173003400,"Census Tract 34, Sedgwick County, Kansas",173,31484,20,2967,3400,2175,309.43711927301865
20,173,10107,20173010107,101.07,Census Tract 101.07,G5020,S,2450905,74014,37.7312354,-97.2530048,1400000US20173010107,"Census Tract 101.07, Sedgwick County, Kansas",173,55506,20,3893,10107,3186,309.5597110138701
20,173,9505,20173009505,95.05,Census Tract 95.05,G5020,S,2590974,87644,37.7015240,-97.4730448,1400000US20173009505,"Census Tract 95.05, Sedgwick County, Kansas",173,89911,20,2971,9505,2722,307.1671794300601
20,173,9507,20173009507,95.07,Census Tract 95.07,G5020,S,45636477,116418,37.7146518,-97.5262752,1400000US20173009507,"Census Tract 95.07, Sedgwick County, Kansas",173,103051,20,6046,9507,5432,307.40889727822537
20,173,9504,20173009504,95.04,Census Tract 95.04,G5020,S,2538125,0,37.7157228,-97.4535971,1400000US20173009504,"Census Tract 95.04, Sedgwick County, Kansas",173,76418,20,4384,9504,4182,308.46967124212017
