STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
37,67,3903,37067003903,39.03,Census Tract 39.03,G5020,S,3615537,5554,36.0831156,-80.3190082,1400000US37067003903,"Census Tract 39.03, Forsyth County, North Carolina",67,30825,37,4304,3903,2147,303.81631496627034
37,67,100,37067000100,1,Census Tract 1,G5020,S,1437313,0,36.0976707,-80.2468224,1400000US37067000100,"Census Tract 1, Forsyth County, North Carolina",67,50469,37,2145,100,1406,307.8590994778533
37,67,200,37067000200,2,Census Tract 2,G5020,S,1522564,0,36.1055007,-80.2481499,1400000US37067000200,"Census Tract 2, Forsyth County, North Carolina",67,14565,37,1073,200,558,305.65455471208634
37,67,301,37067000301,3.01,Census Tract 3.01,G5020,S,895941,0,36.1110323,-80.2529776,1400000US37067000301,"Census Tract 3.01, Forsyth County, North Carolina",67,16008,37,1962,301,106,304.6013414575965
37,67,302,37067000302,3.02,Census Tract 3.02,G5020,S,1206696,655,36.1185146,-80.2561384,1400000US37067000302,"Census Tract 3.02, Forsyth County, North Carolina",67,23026,37,1554,302,300,304.68926217192364
37,67,3307,37067003307,33.07,Census Tract 33.07,G5020,S,7123927,59191,36.1014584,-80.1014712,1400000US37067003307,"Census Tract 33.07, Forsyth County, North Carolina",67,49596,37,3788,3307,2800,302.68774069994106
37,67,3308,37067003308,33.08,Census Tract 33.08,G5020,S,13873977,120364,36.0934513,-80.1253732,1400000US37067003308,"Census Tract 33.08, Forsyth County, North Carolina",67,69966,37,8741,3308,7023,302.1505890435292
37,67,3500,37067003500,35,Census Tract 35,G5020,S,16654145,57436,36.0362900,-80.2030990,1400000US37067003500,"Census Tract 35, Forsyth County, North Carolina",67,38986,37,6524,3500,3392,300.89256249742385
37,67,801,37067000801,8.01,Census Tract 8.01,G5020,S,2062077,0,36.0858058,-80.2277613,1400000US37067000801,"Census Tract 8.01, Forsyth County, North Carolina",67,9676,37,3238,801,641,305.09424699905543
37,67,802,37067000802,8.02,Census Tract 8.02,G5020,S,2089653,0,36.0765195,-80.2311995,1400000US37067000802,"Census Tract 8.02, Forsyth County, North Carolina",67,14625,37,2324,802,708,304.6554538731588
37,67,600,37067000600,6,Census Tract 6,G5020,S,1337866,0,36.1080695,-80.2294584,1400000US37067000600,"Census Tract 6, Forsyth County, North Carolina",67,17883,37,1955,600,148,305.69480023419493
37,67,2603,37067002603,26.03,Census Tract 26.03,G5020,S,9438876,112435,36.1328722,-80.3147760,1400000US37067002603,"Census Tract 26.03, Forsyth County, North Carolina",67,52541,37,5972,2603,4449,300.38238545379346
37,67,3904,37067003904,39.04,Census Tract 39.04,G5020,S,8694771,35992,36.0705939,-80.3556017,1400000US37067003904,"Census Tract 39.04, Forsyth County, North Carolina",67,51682,37,6282,3904,4534,302.2632656718467
37,67,2807,37067002807,28.07,Census Tract 28.07,G5020,S,29421663,85760,36.2376923,-80.2778189,1400000US37067002807,"Census Tract 28.07, Forsyth County, North Carolina",67,50813,37,5582,2807,3848,301.73693006344075
37,67,4102,37067004102,41.02,Census Tract 41.02,G5020,S,38998613,646067,36.1699115,-80.4124613,1400000US37067004102,"Census Tract 41.02, Forsyth County, North Carolina",67,63095,37,3405,4102,3119,299.3907721200686
37,67,1300,37067001300,13,Census Tract 13,G5020,S,4217748,60469,36.1296874,-80.2770425,1400000US37067001300,"Census Tract 13, Forsyth County, North Carolina",67,55417,37,4601,1300,3205,301.55789378890705
37,67,900,37067000900,9,Census Tract 9,G5020,S,3067754,0,36.0842099,-80.2490427,1400000US37067000900,"Census Tract 9, Forsyth County, North Carolina",67,30112,37,3365,900,2269,304.6013414575965
37,67,400,37067000400,4,Census Tract 4,G5020,S,2166791,0,36.1202984,-80.2418719,1400000US37067000400,"Census Tract 4, Forsyth County, North Carolina",67,33068,37,3765,400,406,304.43886259626635
37,67,500,37067000500,5,Census Tract 5,G5020,S,1631318,0,36.1174831,-80.2280518,1400000US37067000500,"Census Tract 5, Forsyth County, North Carolina",67,19427,37,2220,500,126,303.85375636149126
37,67,1000,37067001000,10,Census Tract 10,G5020,S,2844257,0,36.0784638,-80.2648934,1400000US37067001000,"Census Tract 10, Forsyth County, North Carolina",67,36354,37,4364,1000,3098,303.53684754667756
37,67,3402,37067003402,34.02,Census Tract 34.02,G5020,S,20703627,24618,36.0388638,-80.1437212,1400000US37067003402,"Census Tract 34.02, Forsyth County, North Carolina",67,49167,37,2435,3402,2183,301.2106173361936
37,67,700,37067000700,7,Census Tract 7,G5020,S,1830425,0,36.0982748,-80.2310491,1400000US37067000700,"Census Tract 7, Forsyth County, North Carolina",67,17381,37,1822,700,275,305.7484408459827
37,67,3600,37067003600,36,Census Tract 36,G5020,S,16395786,79921,36.0191245,-80.2425765,1400000US37067003600,"Census Tract 36, Forsyth County, North Carolina",67,49390,37,6108,3600,4068,301.73693006344075
37,67,3905,37067003905,39.05,Census Tract 39.05,G5020,S,2860112,380,36.0904548,-80.3240156,1400000US37067003905,"Census Tract 39.05, Forsyth County, North Carolina",67,40599,37,3273,3905,2461,302.5662851996966
37,67,3002,37067003002,30.02,Census Tract 30.02,G5020,S,16319308,60930,36.1515079,-80.1744490,1400000US37067003002,"Census Tract 30.02, Forsyth County, North Carolina",67,49900,37,4655,3002,2139,300.2562541075815
37,67,3803,37067003803,38.03,Census Tract 38.03,G5020,S,14858053,206103,36.0179794,-80.3174678,1400000US37067003803,"Census Tract 38.03, Forsyth County, North Carolina",67,54726,37,5381,3803,3661,301.92953171170655
37,67,2801,37067002801,28.01,Census Tract 28.01,G5020,S,53340893,407139,36.2255758,-80.3966691,1400000US37067002801,"Census Tract 28.01, Forsyth County, North Carolina",67,58431,37,4064,2801,3521,298.9804629564843
37,67,2901,37067002901,29.01,Census Tract 29.01,G5020,S,38647380,45319,36.2017332,-80.2266496,1400000US37067002901,"Census Tract 29.01, Forsyth County, North Carolina",67,44601,37,4707,2901,3178,299.67761679541
37,67,1602,37067001602,16.02,Census Tract 16.02,G5020,S,3844513,0,36.1226178,-80.2209341,1400000US37067001602,"Census Tract 16.02, Forsyth County, North Carolina",67,15545,37,3385,1602,820,303.1449802046702
37,67,3804,37067003804,38.04,Census Tract 38.04,G5020,S,15832487,203193,36.0370920,-80.3194362,1400000US37067003804,"Census Tract 38.04, Forsyth County, North Carolina",67,47548,37,4598,3804,2940,304.6329098971198
37,67,1100,37067001100,11,Census Tract 11,G5020,S,1630135,0,36.0950453,-80.2621726,1400000US37067001100,"Census Tract 11, Forsyth County, North Carolina",67,39527,37,2374,1100,1714,304.6554538731588
37,67,1200,37067001200,12,Census Tract 12,G5020,S,3680155,2257,36.1082426,-80.2695203,1400000US37067001200,"Census Tract 12, Forsyth County, North Carolina",67,96750,37,2037,1200,1849,301.8857330505743
37,67,2604,37067002604,26.04,Census Tract 26.04,G5020,S,9778485,141511,36.1506439,-80.3361706,1400000US37067002604,"Census Tract 26.04, Forsyth County, North Carolina",67,71507,37,6283,2604,4190,301.19206784546964
37,67,1400,37067001400,14,Census Tract 14,G5020,S,7438737,9072,36.1381648,-80.2559043,1400000US37067001400,"Census Tract 14, Forsyth County, North Carolina",67,22349,37,3740,1400,876,303.4833811454519
37,67,1500,37067001500,15,Census Tract 15,G5020,S,7487048,20192,36.1526103,-80.2391496,1400000US37067001500,"Census Tract 15, Forsyth County, North Carolina",67,29909,37,4340,1500,1405,301.51627325417866
37,67,1601,37067001601,16.01,Census Tract 16.01,G5020,S,6132156,2414,36.1392760,-80.2124724,1400000US37067001601,"Census Tract 16.01, Forsyth County, North Carolina",67,36991,37,3577,1601,174,301.9157022628048
37,67,1700,37067001700,17,Census Tract 17,G5020,S,8840126,80861,36.1185506,-80.2053871,1400000US37067001700,"Census Tract 17, Forsyth County, North Carolina",67,27745,37,5484,1700,1165,300.6971343248833
37,67,1800,37067001800,18,Census Tract 18,G5020,S,4930276,69915,36.0793249,-80.2108615,1400000US37067001800,"Census Tract 18, Forsyth County, North Carolina",67,24473,37,4578,1800,1488,302.0827027510942
37,67,1901,37067001901,19.01,Census Tract 19.01,G5020,S,1551657,0,36.0649146,-80.2267603,1400000US37067001901,"Census Tract 19.01, Forsyth County, North Carolina",67,24485,37,1524,1901,737,303.9626122645344
37,67,1902,37067001902,19.02,Census Tract 19.02,G5020,S,2303057,0,36.0710167,-80.2463148,1400000US37067001902,"Census Tract 19.02, Forsyth County, North Carolina",67,33860,37,1776,1902,1240,304.07250475481806
37,67,2001,37067002001,20.01,Census Tract 20.01,G5020,S,2820102,1875,36.0567468,-80.2334848,1400000US37067002001,"Census Tract 20.01, Forsyth County, North Carolina",67,26792,37,2684,2001,1232,304.12458459735313
37,67,2002,37067002002,20.02,Census Tract 20.02,G5020,S,3318487,471,36.0538231,-80.2532520,1400000US37067002002,"Census Tract 20.02, Forsyth County, North Carolina",67,25212,37,3421,2002,2271,303.4162308414274
37,67,2100,37067002100,21,Census Tract 21,G5020,S,2034562,0,36.0745142,-80.2851857,1400000US37067002100,"Census Tract 21, Forsyth County, North Carolina",67,56571,37,2193,2100,1924,304.1766425260481
37,67,2200,37067002200,22,Census Tract 22,G5020,S,4447328,0,36.0855284,-80.2848462,1400000US37067002200,"Census Tract 22, Forsyth County, North Carolina",67,52652,37,3963,2200,3283,305.16161671212177
37,67,2501,37067002501,25.01,Census Tract 25.01,G5020,S,2800612,0,36.1044367,-80.2828792,1400000US37067002501,"Census Tract 25.01, Forsyth County, North Carolina",67,162976,37,2547,2501,2428,302.14598778034275
37,67,2502,37067002502,25.02,Census Tract 25.02,G5020,S,4751927,12703,36.1008605,-80.3010423,1400000US37067002502,"Census Tract 25.02, Forsyth County, North Carolina",67,103309,37,2958,2502,2705,301.8280791390944
37,67,2601,37067002601,26.01,Census Tract 26.01,G5020,S,4827068,28889,36.1292907,-80.2951956,1400000US37067002601,"Census Tract 26.01, Forsyth County, North Carolina",67,79919,37,2842,2601,2628,301.62260840615755
37,67,2701,37067002701,27.01,Census Tract 27.01,G5020,S,5596727,17656,36.1610055,-80.3087589,1400000US37067002701,"Census Tract 27.01, Forsyth County, North Carolina",67,32377,37,6953,2701,3414,301.3959556360906
